,MGH258,UKF248,UKF259,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.018835952929890414,,,,,,,-0.01636013470758524,,-0.02271836483561357,
BMP1,-0.012484165465196468,0.006721525367804614,-0.033529701015250025,0.08008886625435445,0.012392695792089787,0.059035782377434266,0.022452480338437216,-0.011847583472490646,-0.023495251608286142,0.023834254831567793,0.03943543686979153,0.04722537224845098,0.0351974760763438,0.04792191489173852
NDP,0.0009526993422734195,-0.002663411282017785,-0.03713409479561539,0.008100907081267835,-0.0188393022664361,0.02309641117286761,-0.047915364222242865,0.04763724900475746,0.02962489903301245,0.04697808746248523,0.02526730005471983,-0.03902839187219522,0.004229598677981853,0.006683306872584394
TNFSF18,-0.02115380653898456,-0.03292272569618985,,0.05488071935044553,-0.010492886331704632,,,-0.06717218637339355,,,-0.016871918150596844,,-0.03832181985096409,-0.008083244786254686
IL36G,,,,,,-0.016140241569825575,,,,,,,,
RTN4,-0.05880297872784708,0.034360988331602824,-0.008641609527287618,-0.11561902614926917,0.008310737912569387,-0.040157033526886904,-0.11364918380881052,0.01036200506352837,-0.009565982511304265,-0.00792912842012948,-0.02356281437625488,0.029625719876274218,-0.023400217828284362,-0.0800216347444856
HEBP1,-0.041125648745764354,0.016241258204364298,0.0033384923040538383,0.005560002324478109,0.015804207836717796,-0.004430202565716962,0.0006145604606223175,0.02372388918524806,0.0065077587236313725,0.0043730055552413495,-0.0006434799206409296,0.05936841424069127,0.03994569515380925,0.008070967603468853
WNT7B,-0.018635841005200295,0.031477482502974996,-0.024032618184704844,-0.04602347386046129,-0.030076881911555303,-0.017739985509264842,0.010718685524844791,,0.02770501278158985,-0.01040697227134983,-0.03528054575556116,-0.02701474587347474,-0.0037129755387181073,0.11705468853655285
PTMA,0.019917652167790324,0.060785864616149855,0.014999161779312733,-0.06683127790301543,0.0007864285078558779,0.039678655675590487,0.01577286060624049,-0.02879289148292674,-0.027439165701638096,-0.021689535710495207,0.00040018085839071385,-0.03532061141016357,0.028893017932838383,-0.003638182026517047
FASLG,-0.018635846273504803,,,,,,,,,,,,0.10764564933853565,
