,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,ZH1019T1,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,,,,0.027788083059856108,,,,0.12001862282793307
BMP1,-0.00447252068006991,0.03765302400449819,0.038247495718174776,0.04505470670659627,0.09816135252570825,0.018523700205928428,0.005214528322011742,0.14363344836057743,0.12495085157823459,0.04672418996881758,-0.015465379901371925,0.057673964369596015,-0.057861248268902946
NDP,0.0340437559447239,0.052742525665822056,0.07260736164639982,-0.01953924766250376,0.10418248380678023,-0.06136755900288371,0.005551642958894876,0.025800645329092063,0.10949985378548095,0.0016836358165666506,-0.07528545908057434,0.06016986645518941,0.07578128289073095
TNFSF18,-0.01983219650756485,-0.03492907271743747,0.012362503633435034,-0.018272501224178277,,,,0.010661080918582288,0.061891409407076305,-0.02143899056262275,-0.041558807644300574,,0.009783205110501564
RTN4,0.04699282568479068,-0.03980053104549727,0.008383838633508063,0.002624679010270707,0.08473744849422159,0.005194370725071718,-0.04880112278074567,-0.1438718252551337,-0.19827836690874803,-0.02362860720821824,0.05751723297739085,0.005237572414001121,-0.01661273545532544
HEBP1,-0.027551314483860428,0.13242482214227394,0.020892525530732037,0.01960679432719918,-0.014474848457011476,6.535097889623931e-06,0.04175355724336442,0.021864676244064737,0.08074866805518044,0.010710358822604994,-0.05070608558591998,0.003573262545091596,0.047225449308867164
WNT7B,-0.017471543961496794,-0.08152484399993445,-0.026477852435621146,-0.018628561257655923,0.08168684639268536,-0.0016338647335566176,-0.01832511269144361,0.003423939381818399,-0.10683877681867145,-0.007517452011692882,,-0.007621358776220298,0.009964750857391248
PTMA,-0.036819629965598545,-0.06218462213394109,-0.0062183091705102144,0.039591752005343636,0.10987635890654242,-0.01715004663829854,0.04400210136496771,0.17313310993117897,-0.061105414408521304,-0.019885600249621264,0.010005066754506338,0.06162295128188083,-0.0735060613613398
FASLG,-0.017471548900657517,,,,,,,,,,,,-0.024299063915867794
CEACAM1,0.013132254795142271,,-0.023289240769685478,-0.01429630033273753,,-0.0294968734749333,0.04751363458452783,,0.06343451817785487,0.0009976600623074724,0.003005942247424498,-0.016687428226912635,0.0042614539328092406
PDAP1,0.09753143551772878,-0.039809356714701226,0.009414920197608229,-0.017431721798629677,-0.051679869381501424,-0.007938868982616086,0.05937456318190998,0.06853354413444086,0.1247800676122138,-0.011230354014505619,-0.13353852383599643,-0.02257507040574674,-0.043443266917684825
QDPR,-0.0845559583444933,0.002852358752021617,0.011136446327396719,0.026242298627867314,0.09482179204129135,-0.04290059905279434,-0.02343430847574947,-0.08510715620852084,-0.157393756252898,0.0015490791620117231,0.016541520692057502,-0.057353551990972015,0.05728253650268794
POMC,0.0118916128139742,0.029332098253048524,-0.022809363709544988,-0.025402244822383794,,-0.027468685371948843,0.008679382125745132,-0.0006029998543772999,0.0880250150599386,-0.024876109293429004,0.015067459288110447,0.07183954057911658,0.04295056947107042
CCL18,,0.040198162761951005,-0.029062772019309867,,,,,,,,,0.07269403100442437,
CCL17,,,,,,0.015980830887492994,,,,0.01642364175951693,,-0.006927783181473795,-0.022024372178134962
VEGFD,,-0.041798089093219394,-0.004854673012569421,-0.02047658196897295,,-0.019047670492779722,-0.03500221475776945,,0.002844151477391919,-0.028487711683841326,-0.015319838649444749,-0.016687428226912635,
TNFSF13,,,-0.02193170734899684,,,0.012329919395140228,,-0.014323529416712603,,,,-0.02618430015789991,0.04546191716302538
WNT5A,0.039490211359056254,0.055722103162955075,-0.007597397085305963,0.009738952913353359,0.0339742996666709,-0.0008903497299010735,0.03609358788795167,0.15867140301670327,0.16147685268499748,-0.005907545898090727,-0.08380487345355238,0.019577216536543117,-0.027580142859852576
CXCL8,,0.01747685831094999,0.02163889055005593,0.015729557728561296,-0.12759329439205716,-0.030986696512752404,0.06426894615571391,-0.020374291583250586,0.059507692659123076,-0.022781691275532204,-0.0041073263937726956,0.002952804293942903,-0.020825668015405568
GRN,-0.041881894776968825,-0.004723773461887333,0.0313210395183122,-0.0033065201424107436,0.08490923489244218,-0.010122214585493342,0.005797145433382896,-0.014223098224833676,0.09976936131181886,-0.001997655750258471,-0.002243127589914844,0.027951896155879563,-0.05289829707618031
MIA,-0.022868750552245232,-0.029436134010889552,-0.05790308732960527,-0.01821044001801228,0.031015289009083947,0.007980111249626888,0.052157883627096245,0.030951886203311196,0.10759131446286824,0.007038266420390914,0.02055035593642906,-0.034348559963198494,0.004215426978556474
COL4A4,-0.020234182523855115,0.1282496444105939,-0.014587847785229601,0.058550502146210354,0.05610051572442781,-0.006958231559658122,0.03375632961002041,0.2035340684809504,0.0034218934386854327,-0.027915920723551643,-0.031107716547036403,-0.026719181819420013,-0.04395841417342631
TAC1,-0.017471539395106643,-0.03867428408643255,0.0005894475104775399,0.020844159677261512,0.06696007160284163,-0.02929240675157665,-0.018229156997579987,-0.08828414956546965,-0.12402804767060273,-0.004714085258555309,,,0.01357579171250635
RARRES2,0.10293564582482843,0.06802726732237888,-0.02862830983909266,-0.05401771659640752,-0.020518939515841522,-0.029989016436911434,0.029727325924777226,-0.006687857339514906,0.1776713140765983,-0.02077067421655481,0.030589955922503582,-0.04336869472969862,0.015920429112187603
FGF7,0.010886921094537382,0.015477660919328111,,0.005170668607612497,-0.014510816848964755,-0.030305580438884844,-0.014677321748398366,-0.0010462764954810154,0.042311121391811896,-0.01819430442001816,-0.017139496247250526,0.023420934346638764,0.05894837257932074
EFNA2,,,,,,,,,,,,-0.015860283755633336,
HBEGF,-0.006785126809854293,0.0009359535524997084,0.02965150335799915,-0.057843366017931344,0.0012163320558226968,-0.002946201270166547,0.04461051464329858,0.1317117877176065,0.0451583508998406,0.034344526149830315,0.061761523592653994,0.0633314331623506,-0.05070409014337723
CSF3,,-0.05313032389355972,,,-0.017718620105162508,-0.020377838495637134,-0.02487109524513033,,0.022621360177268332,,,0.051980291423752,0.04943935742957863
PI3,,-0.016403572126809058,-0.018754925078383472,,-0.022918878719044748,-0.008768548730350286,0.016150632060316427,,-0.008304384378119574,,,-0.008930277622554165,-0.034041342975648516
PCSK1N,0.05459856820091032,-0.08138246380566479,0.022640319792852248,-0.03553428986141834,0.057376041312958856,0.025374866105501482,-0.005534291720034676,-0.10871776396197842,-0.07740276519957805,0.06344527533513616,-0.024159966542453195,-0.02441382630557625,0.08969311621585611
NTS,,,,,,,0.08107551648901093,0.026882444525788998,0.06916338530092592,0.02738737846326055,,-0.01932274605449087,0.05757201224459925
SFRP1,-0.025421531147242892,-0.015110770117777398,-0.010378531092123668,-0.04618920618267667,,-0.014917577577992147,-0.020478440522772593,0.031535281673559,0.06450876715513337,-0.0035149819584810046,0.09558286148218469,0.027508679005086644,0.016386612770945268
CXCL13,,,,-0.03456968073012996,0.07738244564951353,,0.03610168772768448,,,,,-0.017632378908408446,
MICA,0.005003949450738928,0.024320349357525375,0.014768835818909162,-0.005423185255105521,0.028301886053916765,-0.010375323201999583,0.02519212944732653,0.07929984248428647,0.09426965725328218,0.015966666349928715,-0.06960580949390092,0.026019591906781055,0.024975864980905434
TG,0.0728588024448758,-0.04235334836883353,0.014742243665522166,-0.01944008797238372,,-0.01609842966177276,0.04492046469509654,-0.019203417223918995,-0.02405611811292569,0.04992225123567408,-0.00417186531571133,-0.005796700147464781,-0.006444453679518755
ADA,0.02571838868409297,-0.003613522082796728,0.059530324576760066,0.05058228373036824,0.07535916996021283,-0.03624063239139627,-0.00966997207162728,0.0025707528826007324,0.1335866289559801,-0.02279746793521352,-0.007447404998842766,0.026508832452353963,0.018822505394421887
