,MGH258,UKF248,UKF259,UKF266,UKF269,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.0141586286927863,,,,,,-0.023331097399387483,,-0.02594930477560887,
BMP1,0.020009748344592956,0.021605185282417394,0.01614267834596946,0.1493891250146314,0.09502452285934818,-0.0008164318666154317,0.15573744680495535,-0.019317889545863033,0.09742433072776573,-0.03974775513930398,0.06339417840471105,0.056574509771218764,0.14250533623126346,0.07538045086455658
NDP,-0.015255463833013036,0.08050422634228052,-0.0031669309917852317,0.001364479415765354,0.09482937705873501,-0.012577486904052014,0.026270195886752674,-0.03890897594925222,-0.018446874312335874,0.020342376939743563,0.01857260374342969,-0.013554530416495337,-0.002334354669055154,0.0027784600332546195
TNFSF18,0.07806873732472408,0.004887247971968611,,0.1575798670645059,0.01727046150802519,,0.056029750315612074,-0.026579308844458336,,,-0.02406094892993518,,0.07957592614188966,0.044356611760761784
IL36G,,,,,,0.036135343752839576,,,,,,,,
RTN4,0.07084841774894747,0.0400378953838097,-0.010283356486812324,-0.09882033972486477,-0.13868139899787865,0.02888088133168493,0.001579101844521605,-0.00806471038451546,0.02390227610932414,-0.01975299086950244,-0.06424135753731443,-0.06444541648045542,-0.05200104493586414,-0.16234063633794207
HEBP1,0.05272663818103261,0.00263628481372802,0.0870518961318976,0.008700497438084362,0.07249342507854092,0.013437143675610266,0.11672690327393408,-0.009728858480977981,0.025525084343679467,0.06384358049143939,0.07902420973136585,-0.004903042363872027,0.04054594781618198,0.023718227442072155
WNT7B,-0.016736851330393054,-0.011864091976795091,-0.02107402450996621,0.06474839656730362,-0.04481801783311782,-0.014896075457424161,0.057099021764437506,,-0.03046731953947147,0.05477603206344571,-0.050313390692614826,-0.020366671197185545,0.11790968153633782,-0.03314218894197675
PTMA,0.1035529747991606,0.027107272825678964,0.03428107617035864,0.11915096114149525,-0.025306371142600516,-0.0005733035368240888,0.0627563494174143,0.04161793844181234,-0.040388582237401514,-0.07842980628782446,-0.05624829114903714,-0.01285655305084389,0.028895386637413475,0.053003039636165344
FASLG,-0.01673685606185805,,,,,,,,,,,,0.05461057559471743,
CEACAM1,0.23259421674962003,-0.019317950202655653,0.01748824124441118,,0.061077215909712816,,,-0.04330686463610399,-0.02732358016866472,0.039435533210690626,0.054844132835543125,-0.013517655880337041,0.03487555324730889,
