,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.0337937288272563,,,,,,,,0.05639125119469087,,,,
BMP1,0.003549226227899404,0.00040475132875137136,-0.02289728460345559,-0.042035158807652,-0.07464427114736809,-0.020212205790586815,-0.18560712455342357,-0.019810089995231404,0.019580350054995987,-0.08803642286500939,-0.09110281840210063,0.042747068033816796,0.036307405043362155,-0.015071044736981605,-0.02194174313284623,-0.05678492771997277,-0.06301649081338659,-0.09431893483984882,-0.044882612883316284
NDP,0.030360658370236153,0.02689122112276811,0.0009391517273713704,0.027624888661019486,0.035415823112846405,0.04600443705413937,-0.09983964188429151,0.007068782559733638,-0.026920739281973277,-0.0312029940934796,0.06189289855068707,0.03886795312310656,0.0884257109504318,-0.047597274324182814,-0.005166600204882083,0.1131589916578431,0.02702862420209258,0.12267853622774219,0.03282822077999716
TNFSF18,-0.005805786699784829,-0.018837100373283684,0.002857141718981221,,,-0.012015020788560371,-0.04007388837232743,-0.026328538419660437,,,,-0.046688506087268294,,,-0.036372697215524864,,0.021283103808230147,-0.03061013793159748,
IL36G,,,,,,,,,,,0.01327902528831475,,,,,,,,
RTN4,0.034130508001536795,-0.0022612288482146245,0.03914631105124114,-0.01349209038556978,0.0871421716181005,0.08880947010404057,0.22466445104599472,0.044952293459943955,-0.07215643142522754,0.32425649425259234,0.2212113496795988,0.00975083377107811,0.03036470321540607,0.024492381456826955,0.015150589621468476,-0.035947933961575675,-0.04682729132714805,0.10110964363743571,-0.03962498674658418
HEBP1,-0.008837516677996865,0.05514319786502909,0.04938552179553955,-0.0180851570907778,0.028315853248465816,0.039709631694624936,-0.10014270023635401,0.02972809449501342,0.06016031313992749,-0.0461594343569265,-0.031692684947510597,0.026211421986068708,-0.017799255912206147,0.019790852521552212,0.03726093397111596,-0.007567745856831666,-0.08498746795810076,0.07868387475306221,-0.04465512286887851
WNT7B,-0.021587525600885574,0.06021738580686696,-0.020264144475158032,0.041402240913241316,0.04603829676175065,0.006860862767669276,0.024523699862971607,-0.043639625595859204,-0.030110180275976874,,0.046682744682065805,0.08001357892594761,0.035405356681233964,-0.03890237495693207,-0.00048787697647041195,0.0943967954380167,0.09022585489090168,0.054325564892787774,0.08782914277350039
PTMA,0.004920267132266587,0.04554168330475787,-0.03941677033905095,-0.014188087309266566,-0.08238078031137555,-0.1138662629941468,0.09792571109172045,0.04314835574317615,0.10671432069617284,-0.3842868666326938,-0.17818491928899113,0.028232514733721223,0.006437193908590265,0.03809485578925675,0.027449951567865748,-0.09898972601360793,-0.10503621384742909,-0.1674185640793733,-0.18475330853938385
FASLG,0.0009429593399891065,,,,,,,,,,,,,,,,,,
CEACAM1,0.10872864287368358,-0.019128114593523267,-0.02997759235962436,0.044937499455897215,-0.02309445053299519,,-0.03172580829414292,0.006024435681862468,,,,,0.0499143860421028,0.018054422242001256,0.008991131710838358,0.023610448794824046,,,
