,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.019110977486479466,,,,,,,,,-0.016603062899822635,,0.03332785947215077,
BMP1,0.035183627466529546,-0.044016935461112426,0.042923868059527547,0.02350942474071777,-0.03694037547474898,0.12830439219294854,-0.0379923397316005,0.0798790307499705,-0.05365778901413139,-0.015893973922266356,0.005895072971948104,0.04013629358693085,0.06506127382139129,-0.034950295819017714,0.07917414296024006,-0.024612197069960002,0.017564601110090047,0.006828774132273301
NDP,0.10058115470700053,0.007465248084615809,0.009003863986437918,0.014994181603843236,0.010601839945251434,-0.01831792624878941,0.012867949617381781,0.07012972304202189,-0.03590935065658614,-0.01092158636125164,-0.07813154486667331,0.11325706607097745,0.01706916117612431,0.04515342026918295,0.05528019006762075,0.05968432382862802,0.07691858876423321,-0.01689712819659762
TNFSF18,-0.031018906114124625,-0.006996278671387974,,,-0.012582392235934414,0.07197547949876566,-0.012392833632594823,,,,,,,,-0.017122445707316865,,-0.01945945589779397,0.09352047339237775
IL36G,,,,,,,,,,-0.012722259596027347,,,,,,,,
RTN4,-0.06763862655403277,-0.018314310917557416,0.0674468750871285,0.08002259572900988,0.02143030255472689,-0.08007410060659706,-0.06422666156522892,-0.1068177462868384,0.02419955076371198,-0.006955635654192249,-0.04540177880729777,-0.09722428111037003,0.015855513338843316,-0.04046027641996545,-0.06753601613883581,0.056088526485253275,0.03124676306200862,-0.1212673847469651
HEBP1,0.0008972530123782714,-0.04123455533062676,0.02219268861603552,0.0686563162887172,-0.044442929303611295,0.03261349942717436,-0.011373080299865267,0.03449887793322631,-0.05567959869894273,0.016377316903729844,0.08723265019963765,0.08108196681450795,0.025208676396235818,0.0047495326975014835,0.06175239005001177,0.015990214648520854,0.034992436577667735,0.029574923403369053
WNT7B,0.06753701710344341,0.016557126922229024,-0.008033643899089307,-0.04845479807933932,-0.045011664307026175,0.011497284615268553,-0.052610499197209705,-0.059449483081145754,,-0.013983229427034513,0.010458651952772133,0.04055716572091745,0.0196056410945049,0.010392122395524915,0.09582514274569992,-0.009999063166838433,0.017071560579623023,0.06660052488730643
PTMA,-0.10757767431187415,-0.0006661402098781275,-0.056721449201765924,0.072482642498464,0.019707199817648124,-0.05056696997256662,-0.05637213769137992,0.03912032085954669,-0.09054125468370726,0.026069435006111467,-0.014089517276778384,-0.15262734914685042,-0.06402835049029776,-0.050687883889661174,-0.03594413819515118,0.0312629633209587,-0.059041512075054536,0.07295213731060586
FASLG,,,,,,,,,,,,,,,,,-0.02417473661117924,
CEACAM1,,-0.025218069114622772,-0.0005480565670519213,0.07287684455527894,,0.03955109109515983,0.0427318879138895,,,,-0.023898093872979947,-0.032402802237727873,-0.028453867198317686,-0.022566775466336092,0.05523276184449796,-0.016688750219678503,-0.020791050421832494,
PDAP1,-0.05403955899201511,0.04349561283221996,-0.006545726946447713,0.019653206478294015,-0.0201238930349043,0.06883049962323627,0.01846380476689933,0.04759922876352593,-0.08951145096725457,0.003421697816505004,0.06171385161687135,0.08343351546627598,-0.03537034616554306,-0.02642649659581885,-0.02914062205287657,0.013068158644485356,-0.0019996428342724175,0.007345104501720407
QDPR,-0.019531390423861407,0.003347507865670049,0.035654763063112424,-0.01134693843613318,-0.01735018731752261,-0.11958743790952683,0.08347954930590992,0.06449284324755357,-0.08837111084514593,-0.03266832808228091,-0.08843279937627234,-0.1292897506696884,0.020784433355278274,0.020035898272430526,-0.043060357282544544,0.022391814289617847,0.043929513017056755,-0.08223912220525277
