,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.01585955315221366,,,,,,,,-0.017543362398416168,,-0.02594929985148365,
BMP1,0.05233896923963621,0.03729097777807941,0.020368745232480084,0.04491217979064011,0.04093303377165217,0.011232206907902328,-0.013754126135491812,-0.01384743221836875,0.017169279538225137,0.01650055630681836,0.03194394082003711,0.05710605653733749,0.02821442782830776,0.07941732954179034,0.049644240633128306,0.07121030951212512,0.038317274365946154
NDP,0.05760901158213209,-0.01191311818210631,-0.005379277642422739,0.09099254211244735,0.044949390042004315,0.027724653352711078,-0.0378909133495567,-0.044299509586893986,0.005598023370731125,-0.0535828127280995,0.06075389386625479,0.026758324090678177,0.08012301853178179,0.021287686888512045,0.025784110502328383,0.05847859245855183,0.004450936414521261
TNFSF18,-0.02642754139803435,0.023650261966294484,0.008964506222109812,,,-0.023550960314204613,-0.02215413631373505,,,0.0053896983901658944,,,,0.06582969651165599,,0.015119100805174526,0.04976286378836705
IL36G,,,,,,,,,-0.02026531183906455,,,,,,,,
RTN4,0.017140945746446704,-0.029401529862421026,0.030750682811695896,-0.03188728518459304,0.08587649965231257,-0.0438689014910804,-0.023477140970537897,0.10433203046327547,-0.0036292598196331553,-0.09206699348046198,-0.03435173321148694,0.03472543438505939,-0.033045438043427446,-0.03899172965473092,-0.03767714449846137,-0.031610403455540434,-0.02342412680637005
HEBP1,0.0455061421680773,-0.021188593361793878,-0.0017027555720393324,-0.00741984685417875,0.034876918634199804,-0.0068309971576555025,-0.01573918680023105,-0.08473577086599104,0.04013956417844642,-0.06497363611985596,-0.007938256858033382,0.0003790794828272188,-0.004062666781736517,-0.03515657507004308,0.008606502307478421,0.045910394292969794,-0.0025375614718401228
WNT7B,0.050936101783455714,-0.012642541026081826,-0.01975488731934336,-0.011780214870294752,-0.010866129383650988,-0.065642200678506,0.012956910708459838,,-0.02227391311402928,,-0.034477280638715524,0.03513077507302879,0.015333885608121003,0.07214423250969103,-0.01267930094729747,-0.016546142141397314,0.014645891418019282
PTMA,-0.15534772437482636,0.029448607730989097,0.059741589189983874,0.006621489821264766,0.06482524336798035,0.018991621358345943,-0.08245590643425346,-0.10569248402967842,0.02063045291072039,-0.047406485304691916,-0.15850463958385372,-0.03976994555264239,-0.03354752025176735,-0.018440892405958607,-0.027878137344757897,0.01109850367800587,0.017353702226055638
FASLG,,,,,,,,,,,,,,,,-0.022505818908460203,
CEACAM1,,-0.01733250514458667,-0.015160687841131682,-0.027388828682415843,0.030692080470077262,0.019274506252754658,-0.0016580809621406863,,,-0.03644312410497075,-0.030919777511410115,-0.018763782581180947,-0.01647939354384165,0.01202315320428774,-0.01793007957393883,-0.03131354150799931,
PDAP1,0.001030724445209341,0.0635928059730501,-0.0398347250755324,0.013730772704614314,0.02843809669053008,0.05246468877681401,0.038045348101272795,0.009886818486150573,0.0007019261018302405,-0.0517189753619622,0.007338401270493737,-0.004689222416474396,0.04554395357395091,-0.049682975835440985,0.04529690141184976,-0.027006295539256656,0.01804606605282917
QDPR,0.030217717263132268,-0.010522352783950471,0.021866337578998734,0.04779069926627281,-0.015352340930689032,0.062304788794995326,0.010604659511326437,-0.06336290527913375,0.0008185936220105311,0.02762026509933705,-0.0853531094033172,0.03701563644969746,0.09211055057383401,-0.036677569395715676,-0.03222172611354782,-0.0265108733488784,-0.05736049817656575
POMC,0.04886186133108338,0.00993072499787371,-0.026938123518171802,-0.02550558853035153,0.08498886414483547,-0.020038931071183867,-0.025705907870625853,0.09189867068186885,0.0032688471899160487,-0.08518282596369889,-0.009826910500701723,-0.016807097977704886,-0.015315561611678888,0.09538325526821999,-0.0030398756204063353,-0.006509651634466903,-0.062289792283624114
CCL18,0.02789310458489795,-0.021629328775557188,,,,,,-0.009369113952455347,,,-0.02192263062549804,0.07301803631005335,0.005753728629058452,,0.10925522046327049,,
CCL17,,,,-0.01587490386090401,,,0.023945631045908335,,-0.018512937696993508,,,0.019452896949237894,-0.023789039147533,0.14784925157384832,,0.04094094394508239,
VEGFD,0.12179040393453112,-0.021629335643882128,-0.021714643653229684,-0.01768639596224294,-0.015318415940480709,-0.026569005756201216,0.11454472445306672,0.009458784837451693,-0.019840888737321656,-0.04954362861236109,,,-0.01647939354384165,0.14253973231630532,,,
TNFSF13,,-0.01632219075818291,,0.01544922671227465,,,,,,,,0.09170167597886623,-0.02585787223199583,0.015749734250449756,-0.0017530996349764023,0.05414463833957518,-0.02830485587700456
WNT5A,-0.022006704041249405,-0.013985018945330805,-0.017860185381892983,-0.016223213140573615,-0.004038737393680873,-0.008047810979222783,0.023860616247280843,-0.0037204326406270185,-0.013160605504387595,-0.05149005495830727,0.05261471015416157,0.014186735576848863,-0.00472988049046844,0.08080159738067669,0.06550320633043759,0.04969539906648617,0.040810226270042736
CXCL8,-0.07978057154218643,-0.05484210097903045,-0.02033230524890801,-0.0064803471272108885,-0.042270559724426816,0.046077383217446206,0.06201705575459639,-0.042301392084981675,0.09863406146860015,-0.0071300144584389505,-0.038598242786035755,0.03326360959828771,-0.009895241309362549,-0.0328394301355323,0.1182833132765608,-0.004715905258430084,0.033376202391488544
GRN,-0.02557758035023606,-0.021973984325244913,-0.06210869230586012,-0.014435799474658798,0.007879773103162832,0.024266610137874255,-0.021622730109510654,-0.08055572589600127,0.05736669917634317,0.05536520373101691,0.028412580249572595,0.10206860776966555,-0.028246687566511983,0.035522889412804994,0.003857733863303661,-0.005892311707802837,-0.006131988364569722
MIA,0.05536885806954394,-0.03528255929278146,-0.019311485498841003,-0.033427221732420194,0.02157880461884446,-0.008384763838916226,0.0199772961121888,,-0.027173006385286063,0.0666820480874544,-0.02466790352066489,-0.06035033987678406,0.017830438489771762,0.006517946596130626,0.003974081730546986,0.004783454015934139,0.09265764681539881
COL4A4,0.015564492236414245,0.030535374814119585,0.008995079116113044,-0.005016577239625486,-0.019281491974798826,-0.015628412453523217,0.0499169852328176,,0.062136362726892574,0.012652685417519809,-0.027717054908287925,-0.03517405741315843,0.0052954878073732375,-0.035629756539753955,-0.003996097254976708,-0.02851670240029115,-0.01448058561360036
TAC1,0.08798551394640683,0.018034374700345458,-0.03610493403850415,-0.003306296025662709,0.0721376783171515,-0.04679992659738401,-0.03362169312154102,0.04068193166378803,-0.003089909474442733,,,,,,-0.03093449523080197,0.03547938182899545,-0.03970027702964647
