,MGH258,UKF248,UKF251,UKF259,UKF260,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,0.09144283738933907,,-0.012550866408579473,
BMP1,-0.040488661199624125,0.08432256700121606,0.05014309356542274,0.0014846736429197274,0.061042002578038095,-0.01884783535433764,0.06545096460634447,-0.028807492416792965,-0.008989990869506177,-0.045767321394653886,0.002968278855624837,-0.04429643433604298,0.026041018837904113,0.005216642596134916,0.15091173924194878,0.00947749885935897
NDP,0.007296258356546635,-0.01851285796073109,-0.023390235823898205,0.012014625222048648,3.77745971769198e-05,0.006807527739748191,-0.028175326982435436,-0.02398308416938203,-0.028420381729275093,-0.020682334331538862,-0.04815836441487156,-0.016298727848953636,0.022045435169759667,-0.0028949086303199875,-0.0015010967640862617,0.06923557544691328
TNFSF18,0.044237070245345275,-0.0017042192983238657,0.034977871034393974,,,-0.020950660277492938,,,,0.09617965168468054,,,-0.019462776461364194,,0.03642845308853229,0.0012266501129791555
RTN4,0.10139234133425733,-0.045496469062655635,0.027860398341263328,0.0074018338649029965,-0.004358122180817468,-0.020572337970903524,-0.031600706195544406,-0.1049109766349458,0.042489962657868995,-0.010321642985365812,0.0011251479418225763,-0.05560560478114685,-0.04550838802051725,0.017548700394691374,-0.08354193785174291,0.01598406657472413
HEBP1,-0.02300478294205049,0.04268048472510067,-0.03216130746559607,0.003227948976660744,0.03408965224980067,0.03859808162794139,0.021232899181060014,0.04385607026001171,-0.01673621464711352,0.04831437507382738,0.03778083500140511,0.002217568066543502,-0.003222039325609479,-0.02954266948455178,0.03791353945996185,0.048598553811342836
WNT7B,-0.018635830930566342,-0.0008131683439258014,0.03347794613260383,0.07508403892694514,0.03681057870942968,-0.016730096037466682,-0.031833602806915016,,0.007861260830037964,-0.02821084068915488,-0.0070677824421615095,-0.01429455840335035,0.021109643632206215,-0.02538518225292977,0.014083956417061528,-0.03631299992331243
PTMA,-0.0104251195226093,0.06903467833381956,0.03362914370268892,0.03465474380078332,0.015590356531542029,-0.04135104491726564,0.03183231984350267,0.07777306534353874,0.04643627447605559,-0.006427918398035305,0.027977743823079056,-0.049990494615648404,0.02041762027557798,0.0121084273593958,0.12382581941260044,0.013420539171690655
FASLG,-0.018635836198868005,,,,,,,,,,,,,,0.15287430048357867,
CEACAM1,-0.02587602165713749,0.08447329260578394,-0.01776001048197766,-0.0024114037420121634,-0.017160926469475403,0.0717635518058562,,,,,-0.027323577852441754,-0.02156122482088231,-0.02796597783361555,-0.016848514655755972,0.08545854473039682,
PDAP1,-0.05018836283141671,0.012049548119288555,0.05379900580891412,-0.012987867007722313,0.007232442973430788,0.0742274846725016,0.009149516643834434,-0.00039306475666858975,0.04783489478381417,0.06669113841639167,-0.033403611311954365,-0.012538266318864335,-0.036709287806742485,0.02693293544212792,-0.03705470539957297,-0.07769712387574391
QDPR,0.1032200240884811,-0.021394564318608724,-0.04280693540373771,0.0073649722207042275,0.027313259425932067,-0.04383757056286542,0.02931212485870471,-0.017471579153002938,0.057503418971417274,-0.04383966327514065,-0.008888562844881008,-0.02933493319111164,0.012486277200437608,-0.022869874889234098,-0.06346591040467921,0.05225906859162492
POMC,-0.015353702196260628,0.012579266585390205,-0.03155670514826904,0.009077327918311364,-0.012292864163657147,-0.024309489446813694,0.009483728665371234,-0.07590612796372799,-0.02422257881609324,0.014233087088865398,0.18801780714117936,-0.0346346100396387,0.023130893582848453,-0.013826214728173013,0.10904008904347545,0.012168833419931677
CCL18,,-0.037835220394512724,,,,,,0.02228877248438327,0.091802379812385,,0.16440437244258344,0.04150753423838738,,0.004216345106881642,,
CCL17,,,,0.06016421205290881,,-0.004548669006526887,-0.0012511175593731213,,,,,-0.01529664541780002,0.1232804172800881,,-0.02846665720613009,
VEGFD,,-0.03783523240896729,0.17935180762668035,-0.023759867083471237,0.07256476311137788,0.04152027338952983,0.013725439987248714,-0.023483938074696318,0.007167412520599496,,,,0.01370124835793329,,,
TNFSF13,,-0.004702637356541422,,0.023822472281838352,,,,,,,,-0.029351964965367055,-0.026682913407404123,-0.018919752728246503,0.04467793050686805,0.007936896474389396
WNT5A,-0.05020990200173687,-0.05749154891452724,0.03384221766416792,-0.01862566186799109,-0.04430612511363684,-0.05789191062744951,-0.014046321847956149,0.009191187511382874,0.012929028945946051,0.04287276195379594,-0.012648818762548792,0.053943632135920835,0.004751094173815843,0.07028840003620443,0.10267372158896478,0.03295178226816208
CXCL8,,-0.06507246664691256,-0.023818309441322877,-0.046977548332908514,-0.04113556000419864,-0.00843742020450471,0.025425866919022294,-0.00606790383975486,0.018974572705179552,,-0.034108980614188086,-0.04780097021958534,-0.03532726266231261,-0.039952832663628104,-0.01021551902116963,-0.024266808961573346
GRN,0.05150596986374805,0.1377288628019736,0.020546794624970544,0.08053645911169836,-0.0017465114730944558,0.011399475439863777,0.028612470668096527,0.0375098514754657,0.012331110653612636,0.03552652437944218,0.10137358885795292,-0.009773433966147061,0.0608570422671678,-0.027172208122176387,0.16066302860291912,0.04112805120604718
