,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.08362172348814051,,,,,,,,,0.025670833826286987,,,-0.013721648186213325,
BMP1,0.12803673449504965,0.10124178483564897,0.014506850396513355,0.05407309620789882,0.057927568349070147,-0.04080096356054444,0.11884166657424461,0.21709428125624455,-0.08034476963676813,0.06184425341951385,-0.17465235404661464,0.09577399415092953,-0.05854408965095875,0.09543632240835874,0.017585933904567363,0.0024884563046754017,0.02879308579989236,0.10162208580209856,0.15939038276016526,0.06850334980014727,0.13373761799322278
NDP,0.09049495299836964,-0.0063372907880697455,0.009221373072602268,0.0504105586684154,0.10195842814391834,-0.05235677508661392,0.007804617400448822,0.0970184227177848,0.08159484790145706,-0.031000533160802177,0.037009954978398436,0.05714729014330348,-0.03598454909071788,0.001592162984200451,0.00847579435635058,0.10078988431988738,0.04302111686676257,0.009928591107412427,-0.04220060841890336,0.06110449383510158,-0.043172754612855316
TNFSF18,0.03914311985135238,0.01141631014796999,-0.049141428795126826,,,,0.07230020459315327,0.0005443407066356422,-0.033022973932565314,,,,-0.08058700400925924,,,,0.12025705960919633,,-0.03811816946345493,0.005707098709172399,0.05912880022842788
IL36G,,,,,,,,,,,,0.029671169642831438,,,,,,,,,
RTN4,0.07814002868232481,-0.0037496525983448316,0.04652719161596285,-0.009988589697672488,-0.02845891572064777,0.04379876823781193,-0.15151537534036352,-0.2876474402762546,0.1759245869673928,-0.04842290633811713,-0.021955206283042178,-0.1197121524226972,0.006501743484109162,0.00024167872953811186,-0.027814834436061305,0.021357440224279368,-0.08899519981742142,-0.09194471007241199,-0.033784681574921635,-0.048230902939773855,-0.06375664817777515
HEBP1,0.12124546670418648,0.07298587099273399,0.026650260642108962,0.05031045460772648,-0.05005846913146115,-0.038023144895826665,0.0801902210092487,0.08646624375773293,0.0737733907263063,0.011880102072840048,-0.2023981849664211,0.0682020146297613,0.028602318328063026,0.012577482660289713,-0.024080117138367937,0.08411613331896432,0.02703404954676504,-0.006982673061196333,0.05833427804125559,0.026225588953303174,-0.005865037607362626
WNT7B,-0.06796213441728635,-0.008933558671837163,0.006135220693147294,0.08593733551917646,-0.017555223380271105,-0.03653783775981447,-0.0068476056378080135,-0.1219505720165019,-0.04471794987493163,,-0.11469776571634115,0.015924491683463014,0.046901795149265915,-0.04288072594154704,0.010785493958925344,0.0011394852207816989,-0.047846871519386644,-0.015943748583664097,0.046736738835643186,0.007056739766611162,-0.03304771376607224
PTMA,-0.18985168372191294,-0.00847998098123577,0.03061737225914644,0.101495126402221,-0.03277791835265214,0.041458253271905963,0.1490120349351034,-0.02939094970264794,0.04530294669947165,0.06110110592366152,-0.14137944657384743,0.015851280132826672,-0.005909179721939388,-0.03285110006744113,-0.007186108814856645,-0.006448243030183979,-0.04383460939172756,0.08017418822377825,-0.0018096455117691988,0.04534772171718511,0.03423667270011157
FASLG,,,,,,,,,,,,,,,,,,,,0.040689302213408884,
