,MGH258,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.022523221716901715,,,,,,,,,0.060142693287714696,,,-0.016880322692908758,
BMP1,-0.028993884031155614,0.023109709585668797,0.16054427999656234,0.06260650471546367,0.034629388869482504,0.25818576777494884,0.005692228043333566,-0.03250930076247375,-0.01702467314266306,0.13025728189451297,-0.07067344073613889,0.032171949340588035,0.04982645048942913,-0.10245226859408375,-0.09036947381490647,-0.03488367770501998,-0.04993139921525948,0.0797962352083346,0.09796281891946115,0.10826706232434564
NDP,0.12580794660996128,0.038671580627525175,0.05165385985536926,0.01095152648420369,-0.025438962580909035,-0.020833104865964007,-0.025796503970407548,0.11325164332071394,0.04431812461582599,0.09205567953330186,0.017693763553363922,-0.10772174930637889,0.061703698225612856,0.052021543057888024,0.17671931336266197,0.02295515807166704,0.0459175486602936,0.041431490917906266,0.0012640357833755076,0.027283764424997744
TNFSF18,-0.03542968189989683,0.027906395319074375,,,,0.07176198538839942,0.026483409452018422,-0.005387867516204996,,,,0.14350314576968748,,,,-0.025660712675415222,,0.028104712900070796,-0.028474086491019217,0.04951992193919951
IL36G,,,,,,,,,,,0.006975788615973693,,,,,,,,,
RTN4,-0.006302905944498251,-0.00525705093078529,0.04441788471716359,-0.030907899018242684,0.008566948918522155,-0.4249295926419769,-0.033973919647888914,0.12362266850839672,-0.003959327491265582,-0.11129162603776009,0.1257867232049751,-0.05032677614702945,-0.035528616208685124,-0.11550174929490234,-0.13098728002293203,-0.03525415756813091,0.16644334064747413,-0.0808812957266532,0.048793005349960616,-0.009739319831630925
HEBP1,0.06258854341389392,0.03179150644015972,-0.08443269474473887,-0.020799105581112504,-0.0006204791162286875,0.169831270524218,-0.03231523838060532,0.032088977734630895,0.09874680254376028,0.04797184191654208,0.024396058723630338,-0.026827080536028034,-0.01049494064164468,0.08404626226483078,0.1445654889060865,0.003917406168656207,0.045013226675661454,0.037067556060963416,0.01955624951205231,-0.03372778165596275
WNT7B,-0.031212440065313856,-0.002762748605211466,0.0869894990250569,-0.03528734348981084,0.1297281122607574,-0.02632038196136393,0.04672372581447796,-0.042113041523643584,,0.045200890128279825,-0.016776808908788302,,0.01216611929770649,0.04979701431033778,0.06938771891574452,0.012997152797659568,0.0013460203043934194,0.08637730085037959,-0.011897479809045859,-0.03243118971495027
PTMA,-0.00966903515365206,0.022390003886819516,0.20924913876293547,-0.02872813064811378,-0.03566564538632585,0.5575617177818506,-0.007749635771821301,0.09423500858199048,0.09652995507754035,0.2391270464785064,-0.08873069082435464,-0.0029385064939467945,-0.13649606245575002,-0.0018211083507331362,0.005292874414665397,0.016655512407257447,0.09950871337300929,0.04496470403629628,0.12719993989217404,0.03459828716540999
FASLG,-0.031212448888990704,,,,,,,,,,,,,,,,,,-0.014640298112754463,
CEACAM1,0.011489110615847415,-0.032645793493623974,,0.01945350842037447,-0.0538536412309092,,0.009219411117379407,0.00475937059474886,,,,0.08677708993690239,0.06253901441281008,0.02758474133980368,-0.025822529860903665,-0.023586858722342802,0.030956428326615302,,-0.02036982455550142,
PDAP1,0.09491762280214606,0.023174863558782517,0.07963196836369218,0.0374883420209549,0.0253169527349657,0.21056564123924185,0.020391276333097015,-0.029244562241230225,0.02353847693010273,0.12440821815746017,-0.04408776835963738,0.03529996801258481,-0.007985360233739431,-0.104715535901446,-0.08362594354428489,0.01111936171894269,0.10792040579903855,0.0568379958316061,-0.026375428741940755,-0.01798838052969131
QDPR,-0.0078170755955869,-0.0009847660952537044,0.10497045559119682,-0.028888388341213975,0.038269485989462816,-0.06019946239017671,-0.034512481400928496,0.09581759422409819,0.14599717910897358,0.139335224220365,0.02743797489106478,0.04785597013254219,-0.09860241766413286,0.184000584756631,0.21820343602827272,0.004663222281717624,0.01652723188055362,-0.0008678935539013764,-0.0061869557398492704,-0.06591517336699977
POMC,0.036628372822944934,-0.0024656532554234055,,-0.018367282780712372,-0.011706494755426036,-0.022897610631623034,-0.01788328344640311,-0.0382670243485486,-0.009452597480937457,0.04700583802021495,0.11205465164588099,-0.05847737304245413,0.028669965117875562,0.1293243275172693,0.0401514817618679,0.06296727599007287,0.02110036309500372,,0.02469971181478789,0.01337848944083213
CCL18,,-0.04073886577400335,,,,,,,0.09562183091199465,0.20628696224351986,,,-0.04564400890062857,-0.022602757818696743,0.0012734229703816335,,-0.06276000845826715,,,
CCL17,,,,0.0006675757456005435,,,,-0.03581968579911019,,,0.010336035232348897,,,-0.11971195579297667,-0.10735568781342582,-0.016594788375774175,,,-0.013269785846506994,
VEGFD,,-0.032069895459717224,,0.00039767575443772123,-0.0006555806583596765,,-0.005003716126447102,0.01589750415579766,-0.019515878033373013,0.11458065121067462,-0.01494424429252705,-0.015345723472044905,,,0.026828811090237898,-0.019262750412873914,,,,
TNFSF13,,0.04703786452340865,,-0.035995219993713315,,0.03733951482388005,,,,,,,,0.029269926844075887,0.0729928186644293,-0.006033528724767733,-0.03285678313834132,,-0.021622008452861927,-0.02536236476772877
WNT5A,-0.03561104249932231,0.0028981188522867354,0.13964440875082554,0.005866631129436517,0.17477753609583313,0.3770096844905645,-0.005717920960774272,-0.017645269272060796,0.054859722511515246,-0.05076246372499027,0.02172199076548662,-0.06674808306541996,0.06649910274833894,-0.02268880231109814,0.02769533879259423,-0.0059948527652318,-0.005574974397522502,-0.029461910352479616,0.09479226322003548,0.011171771482006036
