,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.007036731711246769,,,,,,,,,-0.03125656508275428,,0.03040961379098201,,
BMP1,-0.07096154253659188,0.005204116540955925,0.028499230720671166,0.03716531292764665,-0.028747818917178564,0.02652121971201221,0.03305032778733099,0.01405799978624272,0.16068325191983174,0.015415831558211673,0.040967948927243494,0.04738920318545335,0.042150252110373626,0.098560371645034,0.01958969891613092,0.05539073607071384,0.060049717630610046,0.022006250757319462,0.03185148638097896,0.05808739348351437,-0.033877476835798594,0.1981389274626829
NDP,0.0038252731417737977,0.010354598584960236,0.005957440083964224,0.04700858359542961,0.06485919477863576,-0.0383667972569421,-0.007493921605120057,0.060866340052055816,-0.012254366021390205,0.05677939338779932,-0.017444805326557546,-0.06886374397806803,0.042779195943548655,0.026561613736213314,0.015140364676482885,0.07011545751430866,0.07106857514397358,-0.0035614318904143116,0.03168871401757104,0.11482918810374573,0.07518972271027641,-0.004644335077341224
TNFSF18,-0.030204072169326194,-0.03421193574480974,0.053211040998364934,0.08176113629143333,,,,-0.012582390676892909,0.19125615976286778,-0.044209816373431826,,,0.18289750886717457,-0.08210000632427449,,,,-0.03223434385907154,,0.03582990854971845,0.12793473727670854,
RTN4,-0.041047153091073374,0.006702048353567914,-0.008704539744609432,0.030597965183455936,0.026974609529440124,0.008208727207615802,-0.0051547103699221995,-0.0018390452581971417,-0.1505917607032112,0.056867618293046644,-0.04018968205493805,-0.006388274091907493,-0.004469077125953899,-0.04285584372317518,-0.010765455719807271,-0.030216921091784234,-0.05150127871193674,-0.08286966633540169,0.05901940774454632,-0.017499635325409504,0.012740927636364783,0.10403677295207996
HEBP1,0.05181854741546591,0.05097751747717882,0.029627356874146776,-0.016736706770945006,0.02125980006002573,-0.005123530627915272,0.005197832750840441,0.03917740320134667,0.041083984502233925,0.004715781860648067,0.028364229332982743,0.0010216010444294226,-0.01496356266600877,-0.08738761060120624,0.0034871057695116565,-0.018084985763680252,0.09101248529540693,-0.019538598173117164,-0.04854648403606954,0.14233663354857864,0.04225271426208968,-0.04286364080314364
WNT7B,-0.009014053743831947,-0.04595986852004702,-0.0024267152641218267,-0.019754888078288773,0.021508155058314975,0.0061388517343465045,-0.04964224029461059,-0.01302897266699486,-0.0632036522675613,0.007243488423469418,-0.06876198867602101,,-0.01658313291316934,,0.026537055077266412,0.03006951196064831,-0.005337726945364748,-0.0674046206998838,0.013935621749976423,0.0771169586721531,0.10653029395513278,-0.04256279885105772
PTMA,-0.053256124901085826,0.07264409923049706,-0.0289300109851046,-0.0175869106776494,0.001187557705767662,-0.030821221530933526,0.009247964983856613,-0.027311821804607433,-0.13828178183276324,0.05364880098450338,0.1449600233216592,0.02750052299887796,0.016536620777690123,0.03222628236012356,-0.06263447106167419,-0.0013218992768877457,-0.023003547937586803,-0.040301596489782515,-0.014318315080352969,-0.10517706042072464,0.00010970459907993654,0.14438495984923003
FASLG,-0.026608849085580578,,,,,,,,,,,,,,,,,,,-0.01268164611787941,,
CEACAM1,-0.01078478205203608,,0.015374274118410173,-0.01516068842357664,,0.015871195373370863,0.04469220563842832,,0.06281928420799261,0.026602825152456346,,,,0.006406091545458479,0.04408766545579617,0.06155442018297473,-0.0233400076624356,0.01838762655248253,-0.01427955410097144,-0.00841786502878882,,
PDAP1,0.024531653643296368,-0.021430203875792014,-0.104562637066724,0.04860071615476,0.034383906620596594,0.056173857437881544,0.03540531415326377,0.07470247372769237,0.10888303352216128,0.02519148016544937,-0.005822654010808858,-0.013246193081359724,0.041232946560324425,0.023888160782848895,-0.0013527846097956975,0.029534836802929676,0.016750313688115078,0.021918919353834034,-0.028644787546447482,0.006451549319015953,0.01731711265276544,0.02844389413007076
QDPR,-0.05837436697679923,-0.051016247762444615,-0.0456723121463003,0.020534616912263916,-0.0026262946127195586,-0.013057960759587527,-0.1070748639613209,0.02800770122182317,-0.1353207684596967,-0.03938506175843966,0.05775251527113027,-0.05159391592646976,0.03512807595069723,-0.10588236835601407,-0.09187665672235894,0.03186047338678642,-0.0017583391282760864,0.052634833282089295,0.04583661563301505,0.02529896278102878,0.0583180927523253,-0.054575597710418276
POMC,0.04372718247800714,-0.05471231028426793,0.07369262518012137,-0.014927229728152585,,-0.016295776393013398,0.014604594663362674,-0.033194884353204515,0.026566404498083555,-0.015328696498664996,0.010228400514983037,0.08155424814192584,0.15321042854549788,-0.04234279810800272,0.001762272051327153,0.06442389649327378,0.1062875620695487,0.017284169415350097,-0.023359474666546847,-0.004717503461506657,-0.00572158116089252,0.013662839634539434
CCL18,,-0.03256371033888964,-0.024574379632099793,,,,,,,,,-0.009119746065402385,,,-0.04300211043299962,0.09616374617817637,0.04620025817735536,,0.0032698908140303467,,,
CCL17,,,,,,-0.005243828127045236,,,,0.04131673157323788,0.015344703573923356,,,,,-0.015296645477503793,-0.03369276633319389,-0.04120997552553252,,0.11193598366826148,,
VEGFD,,0.0053050072586010195,-0.024574387435616317,-0.021714644487465233,,0.01392137371655112,-0.007653814281681068,,0.018212447587448832,0.03510023046364669,0.025039007885871593,-0.02893470615347193,,-0.036825052410583675,,,0.011509927611842304,0.07996326820635616,,,,
TNFSF13,,,-0.01854462134638317,,,-0.02950320391522233,,0.13754940993130677,,,,,,,,-0.02935196507992963,-0.001026222345141743,0.1359910159916786,0.0768017750436351,0.03353233700827836,-0.009402518921798766,
