,MGH258,UKF248,UKF255,UKF259,UKF269,UKF275,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.014513722549794134,,,0.0010565604717248755,
BMP1,0.019744334655968098,0.01878428624600553,-0.019179920924974836,0.0031635930159676245,0.08755456684588415,0.02423881731963449,-0.014999119876507398,0.08885874575362882,0.05564128775897691
NDP,0.0008663919933099,0.011350002097990275,0.019338646912972865,-0.0016604498259436787,0.008826839892202674,-0.03513553254138239,0.039565175634560475,0.029565326644782845,-0.009779851099339891
TNFSF18,0.09347303703540612,-0.021878187949283635,,,0.014312338756778828,-0.010492886466379098,,0.033112643981829545,-0.03389767591094425
RTN4,0.07385097634995881,-0.014606348619912127,-0.04587009965069498,0.011999816495072063,-0.08440591854343502,-0.0038183123095221825,-0.024292807757993525,-0.007330386501381585,-0.027873990043650616
HEBP1,-0.047416480233673446,0.0916898227127859,0.017450083500130546,0.012658551466643833,0.022781577916142028,0.021994779088584812,0.03735110939502301,0.07332028468567209,-0.025759725943816578
WNT7B,0.11067396196909937,-0.02674960686604328,0.005132530732497289,-0.010005290737767961,-0.053585800941184154,-0.030076882297587124,0.08099145086000795,0.012057068387424383,0.029226325657403025
PTMA,-0.007436644944575888,-0.027187559196774694,-0.003111773298432028,0.015775881070040267,-0.04779928800068224,0.006136965434338838,-0.052350156556953714,0.0775467158698877,0.03137324986800962
FASLG,-0.017710101883520332,,,,,,,0.027079712342428907,
CEACAM1,0.012466702927860722,0.010940688914733892,,-0.02627433897835939,-0.028361786495354646,-0.016502810648907254,0.08629054885404107,-0.034831242430764,
PDAP1,0.0032066391735338126,0.07106276372262502,0.03627369946070615,0.0009403012923208186,0.07600865518592304,-0.018890063079018433,-0.010032438226132359,0.01716501535962523,0.046792695678894866
QDPR,0.03521369262615743,0.02879323503738488,-0.0661034354566973,0.002246489218976642,-0.06472623656598853,0.03623876672505561,0.051741379570549216,-0.03186550174793054,-0.08339274995377871
POMC,-0.015571031659524412,0.010325828885552134,,0.046864553829164116,0.0469841244351376,-0.012175115697670063,0.06636285083268288,-0.012009893208065324,-0.003964494974931383
CCL18,,0.027014036160549513,,,,,-0.03868003961003485,,
CCL17,,,,-0.015228931843954545,,0.07089000648815122,-0.004663796343297045,-0.02269057971337193,
VEGFD,,-0.012802392066137197,,0.00042903315887640335,0.05442654196231441,-0.013942742477186857,-0.015839921590392773,,
TNFSF13,,0.06502361486155604,,-0.0105045763524009,,,0.07812263758352748,-0.01395483325526833,-0.03687583623725273
WNT5A,0.04908651530042143,-0.011697797948817657,-0.06259669832528446,-0.04330837302284709,0.0693404841893268,0.052819778473708896,0.0011600844161094644,0.0486670246475107,0.06160699035818496
CXCL8,,-0.021080271670533637,0.10205339222722962,0.06655383096425685,0.06849232070858136,-0.0015257331672577671,-0.08048627738811316,0.0487666321419314,0.05037208364619123
GRN,0.058059587765112323,0.037497174079696,-0.04469038882858165,0.01877560824202621,0.10372981783228337,0.020485637484015797,-0.008443170987872547,0.06868429088698566,0.0003985932037674853
