,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.0326912767487441,,,,,,,,,,,0.006550294114563828,,,0.10548206587576689,
BMP1,0.017558929078778426,0.0847441872713471,-0.038487806287378475,0.10204163938336824,-0.02347597120819588,-0.016206714043359823,0.009440710418847876,0.07154614823037882,-0.03797641536006546,0.023014214121963642,-0.0500212930680007,0.10533696594248548,-0.06360586124268224,0.0024617094535329797,0.010109880181990763,0.004819045264352439,0.16198069245835608,0.07737696441832388,0.10405930186063155,0.0067659006484903795,0.006311023753161189,-0.06412965770605203,0.07402565290838196
NDP,0.12040111905463467,0.03191852263565122,0.006382511590202178,0.012089654798117485,0.023663299499399888,0.034481638285678275,0.05102565877979658,0.053081626092815554,-0.017883779933905622,-0.006449072802099672,-0.033828223084717175,0.03142259122528696,-0.04051962596689952,0.028132005146435744,0.1289953786803881,0.012946216527968006,0.10831341686224767,0.08752134603480427,0.06088094405060894,0.03583382235827506,-0.040371811212724804,0.2546687368443419,0.21227513583330843
TNFSF18,-0.04172783925942976,-0.02450251585088296,-0.042290316454985884,,,,-0.026044397434720958,0.03318695695862449,-0.020589135658502986,,,,,-0.03881324273275509,0.029109665077994267,,,,0.06961536755597249,,-0.055575486326639015,0.06371380830189773,-0.013158103486966208
IL36G,,,,,,,,,,,,,0.009351087812577147,,,,,,,,,,
RTN4,0.009359563902847971,0.019239902540720052,0.00312922567359784,0.04586731271299089,-0.0025232819029647143,0.09940661180744925,-0.016813275498773903,-0.18275365689188022,0.044973283849113276,-0.027220306359559555,0.03991473743730188,-0.0009447697509044417,0.1293665384041444,0.0490121291452394,0.014599298407498991,-0.013065282872382561,-0.06168603628779206,-0.03270469421185844,-0.054273893713068816,-0.021061471788018704,0.007638993317112693,-0.06264718064970344,-0.036174091449517554
HEBP1,0.017645615430020987,0.07330987639292445,0.024313774168163216,0.016245969197330786,0.034408213562906735,-0.08139552201608524,0.05101427489485666,0.048448758745832925,0.03381082677996205,-0.012739675034167841,0.0037973061236605547,-0.015981690610606197,0.01067849699720633,-0.03573098656735309,-0.015875021503684843,0.021355236880177545,0.0968421742455857,0.10377665083998197,-0.01757432214157342,-0.0012958128707510229,0.060414323051544615,0.1904623957454649,0.06120676896495224
WNT7B,0.0001408288234218226,-0.03298839570736187,-0.026269433634615376,-0.04766343266608043,-0.009618938415977293,0.01640923945734539,0.025563436779651803,-0.038336615085877886,0.0532643318976035,0.031035638710061805,,0.024604292190096314,0.060875962768023775,-0.04272959186629828,,-0.05541974033767104,0.039253288700156194,-0.011122200743081302,-0.00657849320326482,0.017449288606421785,0.04644506510878474,-0.04118541430481036,0.0978867759776345
PTMA,-0.13685051401865436,0.03732742321974871,-0.018630419317117317,0.06744661262993139,-0.030262414397137397,-0.06699874951469097,-0.01778474043361468,-0.021624054217656768,0.01799699329083309,0.003859699833454703,-0.02311187328125595,0.153725041001693,-0.10719621820875908,0.09154575310602765,0.03545820967201994,-0.0480735431784046,-0.13090989069606804,-0.039781254483148405,-0.0023136942205039565,0.01736085045703772,0.005823015228755126,-0.19045818900534456,-0.12388434812782217
FASLG,,,,,,,,,,,,,,,,,,,,,,-0.034337982453935184,
