,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,-0.01586388878746936,,-0.025949295665979418,
BMP1,0.014146559699257554,-0.032624524491570925,0.04334818083936036,0.007923997948374673,0.040439058124891396,-0.02792021368033299,0.03302466228962498,-0.0008757040360318641,-0.024972830356802363,0.11637000343438056,-0.025435284502334392,-0.007863559877359667,0.005219910570335218,-0.032563501313884476,0.013177730902285875,0.05034857802616266,0.01974193838867328,0.016856847170155956
NDP,-0.014058862082899215,-0.06622834516931131,-0.0060877183188715244,-0.05309648694890624,0.12772019662318884,-0.009635622042290954,0.054842858357342074,0.011557807203092964,0.0035779474051057586,0.05622484903475054,0.008377146598035427,0.0541683730945326,0.00415115853013357,0.006735327788205491,-0.030411974364968845,0.011311165591470728,0.03353554574452056,0.034196699721394254
TNFSF18,0.014674519909030072,0.013892445507688825,-0.01310063053622601,,,-0.019545623784220926,-0.00020940970818367782,,,,,-0.028076714424096427,,,-0.01636014849243621,,-0.024457822624330664,0.042813412703344884
IL36G,,,,,,,,,,,-0.018234103482783134,,,,,,,
RTN4,0.07663954475310496,0.002175547444357318,-0.015268625817366367,-0.037444837658592564,0.09249213906405834,0.017222023626955584,0.04943954285604394,-0.018975734031861567,0.11848806276610577,-0.06006576728990645,0.02410849050678096,0.021160477142751905,0.0038717988253182305,-0.032703949616744284,0.020023351782408196,-0.010605041901322384,-0.033100413811700355,0.0504543522443853
HEBP1,-0.019644831373739468,0.03847848538159521,-0.030151974246273083,-0.04112011950859473,-0.010405989350918536,0.003712408386611961,0.06029602983814969,0.05812685400493302,-0.08269219717311387,0.036485403604154,-0.02250974310216958,0.015159658882778525,0.0040570967810447936,0.01716384842547294,0.022115851429336315,-0.08998107816381748,0.04828679793409865,0.05495640131522105
WNT7B,0.0228449516178941,0.06660614994379536,-0.02064963183422944,0.030097327646285994,-0.047749197150777564,-0.033213804822967076,0.005879819313576831,-0.01609916979692206,,0.0016242297832360108,-0.020041381051182378,-0.030909722141711178,-0.03628850010167363,-0.03611579300037539,-0.034210393999259195,-0.027464029207662173,0.06312314480922744,-0.04312124045099651
PTMA,0.051237158487088486,-0.08586662763671662,-0.06322046184833575,-0.028366247185117443,-0.07719861567342245,-0.07540362220114871,0.024557714307644165,-0.021439599022064625,-0.09404102612262619,0.09887120683435173,-0.04703332746834684,0.03277103539282193,0.026678606018462427,0.0013162925019444406,0.049519007769511084,-0.017871903824411874,-0.05767244933060159,0.058084275277603035
FASLG,-0.021389035513098002,,,,,,,,,,,,,,,,0.05047027529484424,
