,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,0.0902611093256028,,,,,,,,0.0559722265124121,
BMP1,0.0071239520590428195,0.06548331655498281,-0.0028685197033654036,0.06791081233424451,0.07040060210188841,0.07334802487789621,-0.011076720334470606,0.00816996798141182,0.016066439062342713,-0.004015883609392935,0.01306704315207017,0.11130511046408388,0.15316367747918191,0.2262520803691842,0.11224274889220177
NDP,0.05068291007064455,0.01922602467881817,0.040491480752433695,0.0006827746128406156,-0.00981177938788875,0.017612156326386304,0.02315220277980822,-0.012921751059245746,0.011201139777814057,0.06762763048101417,0.02579628785124764,-0.13975773003258293,0.1183126486422205,-0.060048496082247445,0.07181291440783832
TNFSF18,0.0512537786831946,0.02792317054254493,-0.02711794406383791,,,0.013982811045605666,-0.019334382246142433,,,,0.18563320395661226,,,0.1575885394279874,0.05108082687791681
RTN4,0.048440500936304975,0.022064504071962844,-0.004978436338944248,0.03422084995339682,0.04858683306091294,-0.12332979641286737,0.0015434206774130634,-0.10851128863590367,-0.03665315017497941,-0.05933234363148583,-0.0827430725538086,-0.0643723005841523,-0.11313752156611398,-0.10681288076638999,-0.030591700164150016
HEBP1,0.07613238100776434,-0.015375222133358634,-0.005267221452773908,-0.033778632719957485,-0.02876747709704417,0.004221215777019449,-0.01210457287159151,-0.004326040463016599,0.08265498012732857,-0.02888568152556107,0.022959128322947,-0.024157118263773047,0.0323434303057677,0.03533567060370585,-0.0017499887588202007
WNT7B,-0.03897762253372472,0.01967697508959562,-0.0021069021233489195,0.0072589002646952375,-0.01430498392347562,-0.0286513554963496,-0.008798540549892283,0.0020827621222790416,,-0.039156480945270314,0.018475083851933524,0.01420252272883119,-0.015871852939694127,0.023027317872373287,0.03585227329816616
PTMA,0.13724463359607594,0.08774379894901937,0.005412889043391829,0.027294505100404994,0.008149170283523093,-0.0414355258367476,0.009480444805149315,0.08630763499774284,0.06304547796845962,0.025344558686513793,0.09229865238028609,-0.03813440576089783,-0.11111253963070473,0.1606311001862981,0.08291764504140417
FASLG,0.054232538939222766,,,,,,,,,,,,,0.055122332548576264,
CEACAM1,0.03598314009912605,0.006120117202879067,-0.003631507202941608,-0.01919362701292576,0.04174898362589162,0.1612055757825174,0.00583486370668673,,,,,0.05844610365607399,-0.021798917093520692,0.09854363302801177,
PDAP1,-0.04979234619314585,0.04213859475257888,-0.021308924413884617,-0.018337285625876578,0.057925287014224745,0.05800402580655001,-0.0004498227462077723,-0.01891400060162523,-0.03228659884897162,0.05269264798692463,0.11675913030916865,-0.05938730256395072,0.04373753249783698,-0.007347825001983654,-0.07005642318581097
QDPR,0.1727663642724317,0.0823030587153485,0.0652377783457553,-0.02278168709984601,0.01556152785562348,-0.1019500347860986,0.017868057357056464,-0.026155981115686882,-0.007576552695095992,0.018584622200669264,-0.02221661484450758,-0.0979358216294114,-0.07845117979000713,-0.0036298974421376767,0.013591517744981957
POMC,0.08544000206783074,0.01595175150200899,0.037882214886666564,0.01969858870522057,0.07109459176094596,0.07709602791366545,-0.010171090487554891,-0.027263407877024453,0.07938240781616748,0.021447060607827993,0.06670857409806392,0.07839889406287393,-0.019380686132093632,0.08131528732518924,0.02913066285339619
CCL18,,-0.04234454809711221,,,,,,,0.016114561837389265,0.06752118792893277,,0.22397129030090512,-0.028297054459849758,,
CCL17,,,,0.03660463354594625,,,0.010474137294957381,0.09148106184174021,,,,,0.38013632456578533,-0.015106942792442866,
VEGFD,,0.007239925238176366,-0.017886439946738997,-0.023219978924053856,0.03114706036460997,0.02232051001026347,0.04146588895977475,-0.026209125347034918,0.049695248755903525,0.05465626129830985,,,,,
TNFSF13,,-0.031954564969726484,,-0.014376152808619957,,,,,,,,,-0.02967554283800549,0.010604194855959077,-0.02877717181695723
WNT5A,0.002832163108609743,0.037254556433884305,0.043016219757411565,-0.09380917641272983,-0.027444465055283068,0.10335994230237511,0.02016012091034386,-0.020552713428616823,0.05352692202129881,0.013264717754148999,0.10110699727887762,0.04530791805741665,0.11803193747449765,0.15416841495736355,0.02317922932578663
CXCL8,,-0.050509059499547176,-0.0034548704470637073,-0.0187222442319106,-0.023164575802541058,0.04079444749831898,-0.04829358413511351,0.0010704885980367372,0.023736715460923992,-0.07651416762065583,,-0.01666649376314006,0.0966287134462779,0.07668718843375295,0.07818378060726038
GRN,0.06674857461631371,0.09741006050190794,-0.03098182352240858,0.028395288588607504,0.06273780563104156,0.0975689254554493,0.03453831326915209,0.0907957186751543,0.021658106927492916,0.028310695126913404,-0.015009081321230461,0.17738685195511222,0.08739016216441284,0.2377905051663867,0.05468923404351837
MIA,-0.05101836041552446,0.004134730493863359,-0.025817316075788566,0.03006707504912486,0.012981259018038623,0.16080682229105955,-0.0012867373983931174,0.009982545590305944,,0.10373868569020203,0.024246758807711738,-0.017800801481230446,0.013428276547010665,-0.03269325588939881,-0.026172554140923943
COL4A4,0.05504054568783997,0.016565608646334582,0.02926303912725491,-0.004027251215179378,-0.043769021127632056,-0.01430219474814177,-0.025175489510366553,0.0439663578993869,,,,-0.03333241769138784,0.061176743366406994,0.12676641408845052,0.056574016527834385
TAC1,-0.015024045768332828,0.012342230639994,-0.057245394451220316,-0.0343663810882215,0.05248718053318307,-0.05236059708848666,0.030087076636346247,-0.07043298693456004,-0.034461027876837,,,,,0.07590295908059351,-0.0611260731937046
RARRES2,-0.10902809243178939,-0.03749704220382557,-0.004802714380022934,-0.06858156842375554,0.009890455136234138,0.0912372164509174,0.0544165031168893,0.036301019806010956,-0.007108609267954503,0.04263175160352057,0.028991316248771826,-0.0855842546965831,0.07868612868707775,-0.002536663187462518,0.008484346721661094
FGF7,0.05723447063634668,,-0.011401156043981155,-0.02817284764497838,0.12162019704166327,0.030707854963526283,-0.046802951617352956,0.005583204124415309,0.02251403600049558,0.04699004244544742,0.0001905218010577965,-0.09068604939152576,-0.05365984908608223,-0.01687781585934056,-0.034493643418092856
HBEGF,-0.0015929580461491186,0.07556486045706538,-0.004733832835316843,-0.04992854129008489,0.05877472716484827,0.06134574688492845,0.018276426199493257,0.00892729870898329,-0.013202431948914338,0.05897557864942105,0.053703102434816824,0.10157839684377228,0.11842318304960527,0.05980745779571492,0.07310574748077543
CSF3,,,,0.02227869588893446,-0.009031670966231612,-0.015131446760468969,,,,-0.01780314890712463,,,0.17964636667029177,-0.020169608944730306,0.017407459374805007
PI3,,-0.03650184874184102,,-0.035071947204551666,0.03306742881393872,-0.017038208765768195,,,,,,,0.05373410139017881,-0.058729099100089034,-0.004932322971204299
PCSK1N,-0.12555285527622112,0.09462537596581583,-0.023905277622725433,-0.015242843943774422,-0.05537503839063574,-0.012426630727786943,-0.044495710290090286,-0.09835097619759799,-0.04728347627990606,-0.026655659681597874,0.008569697545239566,-0.06801381444662541,-0.01929616952305761,-0.1204294275522439,-0.017339652142747682
NTS,,,,,0.05756367606563625,0.021731548263806386,-0.008512561744129227,-0.04363270571030498,0.0844318475787313,,,,-0.03607888038659607,0.007985275171592908,
SFRP1,-0.015078814331395022,0.01575158374107627,0.007996544178389926,-0.0020802433192479465,-0.005237015222908149,-0.023804522262790975,0.024198279906769416,-0.0025022087381193978,0.01186790451292289,-0.007471894540083211,0.05443725920630381,0.009888890851878256,0.006831983744092115,0.05648700642258944,-0.0005217231154346001
CXCL13,,,-0.022217716719768806,,-0.004663225222338632,,,,,0.016115923669015007,,,0.3407751066596152,,0.0900798749539722
