,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.009442856507725675,,,,,,,,,,,-0.0028805581985993293,,,,
BMP1,-0.0303762832791861,0.0040331079149102346,0.0441855276348521,0.042346908916096236,0.33659784856014524,0.005710583082927092,0.08601227401122787,0.3044103271206186,-0.11320765632556401,-0.026985805990685733,0.027220923921051823,0.1641239275573914,0.06252902909138171,-0.03428379367236395,0.07305964966055899,0.023618744335362214,-0.08678021755609028,-0.11467065865688916,-0.043481833822932296,-0.20146907692985203,-0.031398813030310405,0.04978465728308058,-0.06596628134598487,0.07362400162526336
NDP,0.038404853495216724,0.002973363147563013,0.0029169350578816225,-0.040207613660262556,0.13571164071298347,-0.018018631771613388,0.03196610286013053,-0.026928321468623236,0.04082142460848284,0.08364903071179391,-0.05635147697245828,0.1818871299565105,0.07065798428889752,-0.05367564410702745,-0.07429391139462872,0.18826331006957453,-0.03295811230317152,0.019382256437743814,0.11739304673754535,-0.10632647995472491,0.07375692906040791,-0.0681134050253636,0.08932860766456006,0.16645706687675432
TNFSF18,0.09806985345280952,-0.026427516242836666,0.06140632339316346,0.029804030084959143,,,,0.061877407802792814,-0.05402724181267307,-0.030838057272992794,,,,-0.10270650171652926,,0.09348644086575948,,,,-0.01812411224789008,,-0.0572445946125667,-0.061848982334609615,
IL36G,,,,,,,,,,,,,-0.027468715171766765,,,,,,,,,,,
RTN4,0.1785121598455133,0.2534290592930196,-0.03724939799984897,-0.04231243824145044,0.1522906349230249,0.015654251889707833,-0.07039566071334422,-0.5439581472594117,0.08485434668787498,0.04000184369959325,0.020685237191391623,-0.4225806161607135,0.0661400565776002,0.17801820534489432,-0.024757864843615612,-0.10241172804633784,0.16736603959754937,-0.01923260998068951,-0.026531511883480064,0.26388496481997836,-0.07093367017468197,0.07455559333470584,0.31743362163086036,0.03529151768160645
HEBP1,0.010098073246531643,-0.10330831049653086,0.03678958367960069,-0.009831501247481209,-0.09975946798896533,-0.029828126480551765,-0.006964762601648967,0.27247479748775083,-0.046550552148106196,0.06294303325216057,0.03231333277802542,0.23359454753702655,-0.015225875814513819,0.02464199248882339,0.030681556056662874,-0.06636288149376506,0.08255480242804511,0.09281097250322047,0.07362882154312976,0.05816894255271144,-0.02162287545838869,0.03420231240708771,0.025941194040194147,0.10848643958756107
WNT7B,0.07323087025522013,0.2065192797873984,0.00041100681943955267,-0.040266514326608514,0.03665009619628767,-0.033565025307609374,0.14191853096809898,-0.08972574055637583,-0.09160956907958316,-0.021979685062176298,-0.0379938090973239,,-0.03618989262222598,0.014521325256639303,-0.07909425984000223,,-0.08082771547478222,0.010813183910226011,0.037836533593432656,-0.006801571140976658,0.028856813784424132,0.029495772038013516,0.027392835005401663,-0.0226170893849069
PTMA,0.22081443327332181,0.010169403670514728,0.06460146336438068,0.049574636518640997,0.5114721489713373,-0.04931811974478541,0.023222598427716356,0.7020100159127365,0.3487372310505506,0.017385125597973533,0.12919210509600132,0.6320797419776621,0.14063596589366667,0.19245893938482656,-0.05716427423842472,-0.05154773775249267,0.24533373233388872,-0.10902134333318451,-0.05481232370039757,0.31069157714719503,0.02333104330904128,0.1823031955191017,-0.08357504669793331,0.26051836504369896
FASLG,0.05448208284377628,,,,,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.004733935991964704,,-0.07248930666913116,0.05864008720895922,,-0.0012076103529618202,-0.011673049975536275,,-0.07577326417419165,-0.04002057589035825,,,,,0.14085544204406503,-0.05947807122361832,0.01605146635728893,0.07001030009452869,0.0033388558823440506,-0.08708180438206166,0.06527542972379803,,,
PDAP1,-0.1548121076930896,-0.11676974945529757,0.09749341446120607,-0.06950960343724862,0.019355685400550826,-0.07080729452723161,-0.02411128408125327,0.22975268097754387,-0.1709028723231336,0.012088233188163787,0.042615083580433165,0.01876387586734551,-0.028580665992283965,0.019734410464548123,-0.055778695171979496,0.16928520030558797,-0.15892390081843336,-0.14208644430207315,-0.17353387829995673,-0.05692379230054205,0.01207112423836358,0.03821004009146774,-0.0723357890493056,-0.0019466315092106642
QDPR,0.42963011311788474,0.1491977347961628,0.11022787667080246,-0.004355923409153491,0.3127641482419947,0.010051727672402111,0.11560804564011751,-0.07836533322559083,0.44557996581802023,0.09037560878659055,0.18843514987193766,0.5728722092605462,0.2219514665413513,0.09675288709247835,0.04779495002970052,0.047875637039418675,0.39133952898704133,0.21733813040737127,0.2824528168277143,0.2782403432847355,0.1145911027896834,0.1783341994924965,0.318516195037997,0.16360325554683067
POMC,0.03899909561305803,0.18664755540492237,-0.04814787900449969,0.018678208003722486,,0.016877861057813866,0.022748021699674683,-0.04298256745651947,-0.039342124153752114,0.0041368877865049156,0.024484139940405124,0.09620192445163846,0.04776694977472383,-0.035932809070207274,0.01691675292082735,0.0187205792912523,-0.029727423634368526,0.0954548657609468,0.11185425747338465,0.03054274904820063,0.04008961873468542,,0.12001479849478498,-0.00037502525037510896
CCL18,,0.0518795792273189,-0.049047012267533455,,,,,,,,,0.23910913751456708,,,0.04364626122557636,,-0.014813646340730837,0.03340814645752758,-0.10470765567559083,,-0.08977368271352258,,,
CCL17,,,,,,-0.019657545103552998,,,,-0.01507337799207323,-0.008972752320516472,,-0.011792094302182008,,,,,-0.06908736038150723,-0.09670835548975093,-0.07340180378669711,,,,
VEGFD,,-0.03993218023922266,-0.002434494280264183,0.020351020200981198,,-0.03158596573259284,9.291555248479797e-05,,-0.024650319791166733,-0.0005617252756097555,0.009060285365689676,-0.06840853527683678,0.005484868283406596,,0.07013711318544534,-0.03138719713828474,,,-0.023514846376251352,-0.03085321829199222,,,,
TNFSF13,,,-0.008899468220725387,,,0.09669114753158077,,0.03214439339722916,,,,,,,,,,0.03358328169451884,0.018785619094961004,-0.06937687359802687,-0.022369687799009545,,0.02983482962645748,
