,UKF251,UKF296,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.01317161784919668,,0.01028214408694096,,
BMP1,0.007891959387459102,0.04243092275783217,0.044688550382184576,-0.04544005288199083,-0.030373954967413117,0.005113811086644907,-0.03610608215790659,-0.011981806192446952,-0.006888776122067094,-0.05472927011156199
NDP,0.004503360294151209,-0.0017486647042401096,-0.014034202775496715,0.02527557356889122,0.09380416275877164,-0.060072720785718,0.06176649020508502,0.07564436413554552,0.02432152817818458,0.042184437429122666
TNFSF18,0.016611290482148877,,,,,-0.017369589858773064,,-0.002432872339365586,-0.025685323027933856,
RTN4,0.00968278753514042,-0.036654244874185546,0.009978301800471417,-0.030966479884963687,-0.034487115259921826,0.054187394888339055,0.09254353806046861,0.01798617287368155,-0.11728575435626759,-0.047899085653112766
HEBP1,-0.035843460962670534,0.0076807945996552026,-0.005050362782346596,-0.0014502404120145676,0.03241751963835604,-0.0590590871820005,0.03725715144200805,0.059450689957470194,-0.03736817039752976,0.11856375931565509
WNT7B,0.04058061209785873,-0.019671245007927392,-0.020571009994643057,0.09352490436764017,-0.0061960014731516425,0.00789127590283785,-0.016190975532495475,-0.003943010791597534,-0.020110856162849543,0.016847933102467454
PTMA,0.002964339480903717,-0.02382069505048347,0.0013561051089427262,-0.024118547045420238,-0.02982557395313384,-0.03484613106379565,0.012867286972218785,-0.07672363400000091,-0.04045772952067565,0.07020751580958891
FASLG,,,,,,,,-0.026568257433967717,,
CEACAM1,-0.01624641318318614,,0.09745594008688299,-0.02179892084235335,-0.021606669739108526,0.016045474855997728,-0.019379233135981132,0.05970469777288107,,
PDAP1,-0.03744284417194409,0.021853348347576157,-0.01969470135782835,-0.052169700160299315,-0.0075925334775871845,0.024264576292397533,0.021178186474288895,0.006526482015916303,-0.0317679820814697,0.09351684509200031
QDPR,0.02381185237557502,-0.008244195629644246,0.03179046974454179,0.07506934932549088,0.030095846707575643,-0.0378084499471192,-0.013182196733320835,0.07147717211691117,-0.09770597607737043,-0.005186139985020278
POMC,-0.028867284231561253,-0.012155165213360715,-0.04063185280985368,0.015913873564542318,-0.03303293064692265,0.010512882275081981,0.0047377450676330925,0.02621264544285505,0.026109427998709796,-0.06277384012291647
CCL18,,,-0.05106953313936308,0.06804425754982871,-0.014560607897122147,,0.010722505651557114,,,
CCL17,,0.03423348399658378,,-0.015465279240222887,-0.031190584222897687,-0.022206140633668645,,-0.024081141227341337,,
