,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.013794948490724067,,,,,,,,-0.024882325682666146,,0.002898643296548448,
BMP1,0.02007332651062025,-0.019383666918442507,-0.021845211639109394,-0.015865563348199767,0.034325944070869134,-0.024096722973655147,0.036439663310629394,0.03107831047883925,0.04532071882693304,0.02268990956532668,0.023039117446475157,0.08593553995106437,0.033960570640082614,-0.015037976626686898,0.02604916934434186,-0.06134046131597697,0.038502745213806235,-0.0015020675457994325
NDP,0.07989506854103341,0.018199132549657365,0.029256553645608845,0.01121879445022176,-0.0574526982996537,-0.015031574985866738,0.03224700787141966,0.02368485858890619,0.009393520883412472,0.01607851044749223,-0.00010708390133064599,0.09705216894700607,0.07637382648809272,0.08332768492551938,0.061822648956203305,0.0176651486519956,-0.01379121464449681,0.010953299065566437
TNFSF18,0.05925167008153739,-0.02310633527578925,-0.0309293653289117,,,-0.012024545935265845,0.05686176705043815,-0.010647509681371023,,,-0.028076710644683242,,,,0.05321898373302235,,0.01992977855735256,-0.028558123873589046
IL36G,,,,,,,,,,-0.015082913624073224,,,,,,,,
RTN4,0.007308972759999656,-0.028832619605995983,0.054922264577977116,-0.011828029704186878,-0.0093941704569245,-2.7047469366844498e-05,-0.049642507278516365,-0.024568141880148355,-0.04926904020932037,-0.033106288626076424,-0.03275370816213506,-0.026464645946263927,-0.005632847085661572,-0.09066208656987639,-0.06709827476073987,-0.009655453364771352,-0.035061075670797776,-0.05273106969237264
HEBP1,0.05746311442410808,0.016092424516045346,0.025122530288691623,0.0004041397257011903,0.040067722168650004,0.058226034441762865,-0.0037023863161341104,-0.008946480091739203,-0.02927381869186678,0.055476048799476096,-0.012232337141806542,0.02796543752372907,0.027052119884854217,0.10896225321550844,-0.014947894525211232,0.016036742960383103,0.028163625085930635,-0.017663614814775616
WNT7B,-0.020783305255270838,-0.030941358534991147,-0.041605087587436716,-0.018101102152091812,0.006135291949569466,-0.0013392954502336903,0.008741324569122333,-0.021572743939053122,0.005781796923034115,0.06460726837475057,-0.007063024593785636,0.10526031247201897,0.04118515483219966,-0.0013546514466620714,-0.035121281533291616,0.05972516079072672,0.06526944581117923,-0.022698818902402308
PTMA,0.05921990824031038,0.016920695073566076,-0.05220580223755461,-0.019647890253352212,-0.0394208949303603,0.0671957933570986,-0.0029882285198725876,0.02301274402531229,0.11364951338312554,0.03157521615125978,0.02735156604082326,-0.08253723299413031,-0.0852510705250635,-0.07652857742469664,-0.09762792282733365,0.0002993268659838129,-0.05325218720223441,0.044552628658082676
FASLG,0.0017116408178754832,,,,,,,,,,,,,,,,0.02558814896994385,
CEACAM1,-0.012358970280285918,,0.003172024147369039,0.02739052584116343,-0.0018956276371078849,,0.04496315068145931,-0.016745996129576765,,,,0.157794992180205,-0.010185335411100026,0.03271308148064659,-0.009965533889980241,-0.024293745306112557,-0.03380857376884014,
PDAP1,-0.054505427551407394,0.016759583382872218,0.02907513450716708,-0.0208021675266567,0.04693112028807799,-0.0029797030924622763,0.05415067870804629,-0.019686479278186432,0.11068871095770826,0.025570165210818067,0.05357624498351517,-0.05701225657921182,-0.013185487098327746,-0.03669942028398553,0.019990083144819367,0.029507941448186078,0.09086445700881675,0.09055399846606381
QDPR,0.08546686388019777,-0.03880009976184316,-0.030133231259173,0.022443864906660893,0.006630364429031205,0.025950278588798337,-0.05138794650072842,-0.016453253067625545,0.0723240096969823,0.022322154690706367,-0.009911242220731595,0.0010296413016821916,-0.007381737857772988,0.1570019378920727,-0.07278512137614514,-0.006671716229596245,0.036343011764912295,-0.010925043161142449
POMC,0.061208086115138644,0.014041261226911642,-0.0008583775440299264,-0.01544394591588979,-0.04074039586704125,0.04224421065165074,-0.02263770265258187,-0.012354528249030876,0.04650686580519215,-0.032315304100257465,-0.012026787601922224,0.04534080462992805,0.025800140152956185,0.024508101019659223,0.007887387023827973,-0.002150090864613727,0.03720567464709179,-0.04874629881475003
