,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.006988828006655135,,,,,,,,,,0.006834025549859068,
BMP1,-0.006941696663332957,0.015747100116294512,-0.02758154711119747,0.007543312530687018,0.057404031454336264,0.006313072782489304,0.015327692098135816,-0.027043933766240025,0.040845052234040675,-0.02806833684056518,-0.0732312263462736,0.027509202209299775,0.09863570462011498,0.0998019105868149,0.02302624614108686,0.0400027945060763,0.02381454409219404,-0.03513269539296321,-0.041554204241803706,0.005999244091977509
NDP,0.02430889598470441,0.03316204405112635,0.010540864197663506,0.012809983754051497,0.019484238320573093,-0.03282625551179302,0.039031902478199376,0.03564886480573413,0.015595479559889028,-0.025485717740842233,0.01617738781238325,0.05074732050870664,-0.09607984330568192,-0.02619239607065257,0.03703081368087424,0.04285061733842219,0.048853969415255556,-0.008562001537887342,0.14041764518402503,0.047137399661910405
TNFSF18,0.03459944809724726,0.05096844338179162,-0.018153760135617154,-0.027734216443155837,,,,-0.015079732208755754,-0.015317759018366532,-0.01275195157678147,,,,0.0023468759729417307,,,,,0.0781776225824998,-0.036428821830687984
IL36G,,,,,,,,,,,,0.06958389402903017,,,,,,,,
RTN4,-0.0773149839894025,0.051727454921628606,0.03282914461532785,0.03459642035781402,0.024966859966500356,-0.0008460762822263034,0.045026698354204885,-0.025696600458285264,-0.04193027984876423,0.011952765308386714,0.09340589758551487,-0.06923172102882036,-0.02258425360918504,0.05805100122295565,-0.0834537497658539,-0.030645519509809063,-0.030677472220196185,0.006073924371796931,-0.04384351006696732,-0.021174038354885558
HEBP1,0.014614849498424422,0.01655778772337378,0.06006128739142882,-0.018404453100312104,-0.008663819620328413,-0.058615689080795765,-0.014949436132607116,0.026331210835868046,0.03926091431038092,-0.01129201823287049,-0.03532914071004834,0.02710236729337453,-0.016850810594194937,0.06264620312883036,0.002627316321135508,0.07612383666449443,-0.011197769149982346,-0.0065836000490804274,0.07579196658011496,0.008554177936701442
WNT7B,0.09274980906745736,0.01199104495488595,-0.05767688387764055,-0.017227635528266325,0.011907805560956533,-0.0030242030353957194,0.059158849977807564,0.036424435068597945,0.038363135394501174,0.025210345939948392,,-0.010028630490134721,-0.0056177412021782835,,0.04409215098183162,0.012107884805404218,0.026053735013721505,0.05138445863054288,-0.028891405495336447,-0.022260345857463303
PTMA,-0.04053894127329846,-0.04924152599745474,0.0036960122586277727,0.021749342704634623,0.015256347267594323,0.013681981962494977,-0.02251793852746638,0.04906879771383196,-0.07499184219501791,0.051216870600321075,-0.10181338311740262,0.08117237235406002,0.01951071448682601,-0.05909246086467732,-0.06440678492599883,-0.039435616488120696,-0.0175337657734557,-0.001023973562850145,-0.073097220285976,-0.002185704692112239
FASLG,0.047914490809758736,,,,,,,,,,,,,,,,,,-0.03338176140304864,
