,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH881T1,ZH916bulk
IGFL3,,,,,-0.023450988437452355,,,,,,,
BMP1,-0.0076784633194381235,-0.005294261677623131,-0.06310401326544857,-0.03560934650248815,-0.13712207702413676,-0.045595318726049716,0.014865328145669996,-0.07559297569775991,-0.14941726051638088,0.018910949160661186,-0.07939615909223602,0.048657002885431073
NDP,-0.0282332397536549,-0.003132650778844715,0.10969560342493306,-0.041009695016248265,-0.029699046789021754,-0.029287911610969167,0.011634928320903409,-0.031170609357934552,-0.003554566786403078,0.0381752079921284,-0.025096202964334832,0.0903580847957843
TNFSF18,-0.026650747351972405,0.008259159589088828,,-0.017240376477488512,-0.03482401381165162,-0.011814521089224013,,,,,,-0.02430873417830757
IL36G,,,,,,,,,-0.018686333550472688,,,
RTN4,0.22097425418208352,0.014843497635373641,0.1084814958969986,0.02508190766585502,0.2306328599405858,0.056522057643712695,0.08909907442225717,0.06106773997699778,0.1914929993985459,0.019363081467229527,0.07546416876987128,0.038092827955382776
HEBP1,-0.06518810348308997,-0.0002567579308856354,-0.0023044512766189364,0.049752313063245776,-0.1077718456140405,0.009598329379287581,-0.04898083151049997,-0.08196553756655911,-0.0017314919570898036,0.021920298957959446,-0.0037989303136483597,0.005945058645499717
WNT7B,0.24538005966408638,-0.06114879277516554,0.014604757239637216,0.00586401948000798,0.14450813521594516,0.062285020896826256,-0.014006901611541082,,-0.0037976332937722326,-0.0334858786319272,0.005680684170277566,-0.05285473514608917
PTMA,-0.012677234405075956,0.06214853585446258,-0.07247554226063507,-0.017988395566905586,0.07700319463578187,0.041553277627086514,-0.041018264298140844,-0.17124348082509075,-0.20571506564957576,-0.029812989316899154,-0.04103963523891264,0.03829162835378225
CEACAM1,,-0.02629892938619731,0.006759394822030488,,-0.04582641874861306,-0.018581427052290107,,,,-0.0187637893835166,-0.02429374162135727,
PDAP1,-0.13683372111211514,0.05862551522886132,-0.049483728936706814,-0.007579174177895277,-0.1277134232993297,-0.02460407938788172,-0.009968169519384434,0.060320211931686,-0.06423876448013888,-0.013529116481607185,-0.021213688793994753,-0.0205329397792639
QDPR,0.17346314244422018,0.07737066747942137,0.05877878590362767,0.020927857287092403,0.05408076888144192,0.036029405234927446,0.0028835054497944055,-0.16483132710078166,0.018642352067548225,0.03243746899294547,0.054068354778525445,0.05256075435324224
POMC,0.13325583526593285,0.023978417406596494,0.03520011594117189,0.05760850250390076,0.006857345302740184,-0.013708636001615187,-0.013245196387043752,-0.021333289141493565,0.041792774103638304,0.051022931486115475,-0.01912228988563264,0.06081995282267746
CCL18,-0.01830892609115843,-0.03281857904521562,,,,,,-0.0719710058600845,,0.054763203613587545,-0.08366146848349848,
CCL17,,,,,,-0.014735008014864876,-0.017336617668961076,,-0.01707049620318643,0.01887915196284255,,
VEGFD,-0.04026948416150957,-0.032818589466651595,0.1253828989678254,,-0.039286696214156085,-0.015698904735713563,-0.012716618719277897,-0.0003443043959395666,0.03784127146973606,,,
TNFSF13,,-0.02476596075389373,,0.005138760903372147,,,,,,-0.025543729225859808,-0.02728024361263,0.01259592917447566
WNT5A,-0.09068930261272945,-0.022674091209755456,-0.09128145767826297,-0.014439461958379534,-0.139788516536636,-0.0629905432607775,-0.017036971619052807,-0.0057443232332823725,-0.011854795767732199,0.009084267565820692,0.023440681705919432,0.02261155679703635
