,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
WNT5A,0.006475218358313046,0.03494350165256029,-0.07013178956548076,-0.0038959946323003656,-0.007867964648695101,0.07563669505042063,0.03889273749405764,-0.0007787902055101366,0.012763813628552986,-0.019641822767903588,0.06041056966053847,0.04145175623275534,0.009206252633686995,-0.0050815855322961295,0.09349233695273787,0.0006959054149292275,0.012260047659892307,0.07066607967578287,0.13556034979211554,0.04661588494763324,0.16857270666563595,0.020699113864491497
CXCL8,,-0.047327449861558374,-0.024932688499759322,-0.04303636601684649,-0.03210864035255306,0.010696628015186668,0.060267813155520565,-0.005127772052304253,0.04616728498268443,-0.034112937231965235,0.06601455715970611,,-0.10084001774477618,0.16597176295838692,-0.026917968191925493,-0.08645336083737122,-0.048404408637726375,0.006895191308563568,-0.062420949989391454,-0.04027201881793736,-0.04636767925261298,-0.06967677936116631
GRN,-0.05623168602152458,0.23091532781011992,0.03945735031781222,0.001991753803381721,0.03679645139909129,-0.006844860227370447,0.04388177054630469,0.028293272146834386,0.0356198629772846,-0.006543040797269656,0.017267241493755543,0.09774690480396624,0.08319496334220385,0.1737177596835062,0.10837420241063882,0.03952372649612808,0.05961430817315349,0.15633592252900463,0.13156870927551026,-0.0825470672140159,0.27009933475316333,0.12867340783038603
MIA,0.1463553305811438,0.0539019990604322,0.0744784034818494,0.019655221535841524,-0.057373658313245625,-0.02677143117680842,0.05926896677803146,0.017203191314448963,0.017826556750485813,,0.13254391171935825,0.09910490347737472,-0.007133115078893505,0.07263838703930146,0.02731843862626619,0.07766674665448448,0.008887065324865256,0.09286590198783988,0.0190024409911882,,-0.01658907795865838,-0.029913844479981265
COL4A4,-0.030240234358927875,0.025952413969845538,-0.023917210041987325,-0.04797304974106848,0.04471140099923745,0.055531730797546884,0.11095936202687659,-0.025517868300795735,-0.036710661601409754,,,,,-0.015360299794745891,0.06224808923658803,0.01102524086063708,-0.016709699878241047,-0.03290777873158684,0.07827998583137954,,-0.00217577786580149,-0.02667487562629834
TAC1,-0.026111430263929602,-0.07612440959556305,0.012711569210110584,0.019220225518456244,0.03420800246759692,0.0013282801852570296,-0.018255725915389983,0.016602640654745402,0.008005115495244372,0.026625045734163813,,,,,,,,,-0.053980151927780495,0.06860460979394997,0.10008115504770008,0.07425285820786544
RARRES2,0.05420075700258855,-0.0914150086822702,0.021216579276787283,0.029062705197444416,-0.058565198750897246,-0.02119770923771789,0.0431724444658019,0.012702227595167344,0.0067019444581523785,0.06398770029592082,0.09625062593286528,-0.07394336177259074,-0.13705472475461375,-0.10129842499552007,0.08216356946123017,-0.028509233617272447,-0.0352629570340961,-0.013659371498375527,0.016161158429296656,-0.07308586654136796,-0.07705124470272334,-0.11888183462431749
FGF7,0.05879623482040234,,-0.030054389795328942,0.019224517431196013,-0.015736065043637646,0.05479391681030249,0.05109530600206378,0.006674385879530641,0.021031702443585775,0.015449361413363758,0.03952354897934038,0.04911565998459708,0.007374897056520419,0.00868446326715726,0.05462612195270262,-0.012274928595370348,-0.03734842754266733,-0.0034366120176587012,-0.03465676138404076,-0.08777362069518756,-0.043853622184093596,0.09348434186303545
EFNA2,,,,,,,,,,,,,,,,,-0.022897214924033932,,,,,
HBEGF,0.041037897574007394,0.17810851458139482,-0.011271746142990893,0.03350652393876159,-0.036834854254184694,0.005132681051361915,0.017434054541009235,0.008224460314477048,-0.014220190246614505,-0.08826836970617924,0.18122996879814082,0.1452714422762221,0.10060414063289717,0.08201755992535789,0.13140080715056018,0.014087983533045386,0.0469532739425786,-0.0068257022715688545,-0.02599099051660684,0.02756099627734332,0.16864561593925434,0.028070423611947934
