,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.007022054133687389,,,,,,,,0.032170505572100626,
BMP1,0.040348196036362825,0.03039311251116266,0.01667386731369197,-0.03475058606862285,-0.008412016137855187,0.09039318160966422,0.006023481507909469,0.11056092727841203,-0.0041970315298975,0.0017618314454449799,-0.028423758663919586,0.009695249582842257,-0.003528423706360143,-0.06988474938996697,-0.02572050971257452,0.07036591673914849,0.057179580828716624
NDP,-0.04258299422850639,0.02288345732210082,0.04821661312385213,-0.06361090594289857,-0.016813844179855895,-0.0280963628075126,-0.01875277071949191,0.010859985884583949,-0.03351706530783496,0.03939801152299305,0.0008341311460599508,-0.030429114031074372,0.0007115261374584739,0.11011291162550171,-0.006300833965066133,0.0535325066815161,0.009367887708322139
TNFSF18,0.03818789572038882,0.11997738936057956,0.04633809022573579,,,,0.11359285022593113,0.05375735214758479,-0.010647509681371023,,,,,,,0.005403691308226729,0.019267435051790863
IL36G,,,,,,,,,,,0.07380218280045768,,,,,,
RTN4,-0.01873086439915898,0.012320256466193703,-0.015223910368254337,0.05398214971189374,0.03067924496431064,-0.050338880564510365,-0.047695157930040616,-0.13790721598460662,0.012618886817595317,-0.023021394452149475,-0.0030700093984730287,-0.02932657846360147,0.020871650535524165,-0.04249050445344526,0.10540740024226661,-0.0011592821752298742,-0.039369995301745536
HEBP1,-0.004447688754065016,-0.02285182518206485,0.014711938711783987,0.0018797382849819117,-0.02258387265777124,-0.06974402751828822,0.025344782003663063,0.07303344020114157,0.0502775626792542,-0.024562750154081978,-0.05103552030956133,0.004991269299835618,-0.026261903615117856,0.02245217204925463,-0.010780398596105113,0.028314993725583208,0.013002564068544954
WNT7B,-0.019949769920922303,-0.029213721408307837,0.024187933373204035,-0.0024810661809722178,0.10040505839115277,0.0003590730467892476,-0.009811120523812935,-0.03507436785403838,0.010047135278321956,-0.019183747549080487,-0.01657785501082532,-0.021884795521891397,-0.01464494292467623,0.05734172408347232,0.0570085391784181,0.027250050529089267,0.01577666457814479
PTMA,-0.02031653405148641,-0.06675775625167923,-0.005503122638426284,0.11690503336602187,0.0452531321193159,0.010467265831650339,0.09534054060967942,-0.06483298299219199,0.026546187803583924,-0.012303493384535945,-0.03831231599938933,-0.09268002912771828,-0.04924678601805563,-0.032968937602218876,-0.05499432593813428,-0.0203824993696828,0.05529008912424516
FASLG,-0.01994977556067115,,,,,,,,,,,,,,,0.00394825252707927,
CEACAM1,0.007395313909780115,,0.10858263199636185,,0.03202081257677113,-0.021029423324364038,,0.0311813838645806,-0.016745996129576765,,,0.15710852577681195,0.024472475995839835,0.030537043972825667,0.0032267714781139983,-0.05492398969138062,
PDAP1,0.04757922753948134,0.0415718462187608,-0.013352762755893541,0.02038784831103853,0.023060251312550725,-0.018034076786946993,0.011544312228903442,0.10608516135368502,-0.007559165302627451,0.012708039782882439,-0.02036736791611662,-0.06188879969721814,-0.05996194147135483,-0.043371017032327285,0.08115053717928312,-0.014907107538784346,-0.0032377438068033637
QDPR,-0.01850432946851302,-0.023403939228929683,-0.013088831362933772,0.016550210538313855,0.029856199618773477,0.009339120242361406,-0.027092242495094697,-0.15129110245287325,0.07173512366724046,-0.048722804306804125,0.0035615829564590432,0.02563956238033902,0.05621852085352525,0.06326620495544504,-0.015287547734907798,0.02439706423291814,-0.06636710445390528
POMC,-0.021258059870629523,0.07942049595721613,-0.007063513897265468,,0.011794728318486904,0.006904010217920244,0.015275302616837632,0.04751888600559891,-0.012354528249030876,-0.01682667443811795,0.06572281008747406,0.0015156082658222244,0.04305423909045983,0.10132341959638967,-0.02908455437434275,-0.04272888117692065,0.050536309082071684
CCL18,,0.12269895307397563,-0.03281858209458993,,,,,,,,,-0.005887463944217629,-0.040790213994672066,-0.007280004995734693,-0.006491134670615367,,
CCL17,,,,,0.04644538815915736,,,,-0.013279517579130084,-0.023744101724984267,-0.013778665445718022,,-0.02209010836524897,0.019214182489137678,,0.05425832679224713,
VEGFD,,0.05002506013341057,-0.01236271036751998,,-0.03457030214794253,0.05532830011700697,,0.10484626450415274,-0.014148202783512946,-0.017416585762802257,-0.014767022529420963,-0.05803627971815212,,0.02714097457683411,,,
TNFSF13,,,0.12640669998116677,,-0.02140346242106829,,0.0519199916914357,,,,,,-0.042387599967732094,0.003259527052951644,-0.019964931508344802,0.035695246672664147,0.003845664264629702
WNT5A,-0.06027413915745487,0.0509141570983713,0.0359900071863575,0.021755627410349854,0.04635591538459897,-0.06443801737736661,0.03214304725445773,0.058316101471860095,-0.004429353043637307,0.0877998019160802,0.007202216241164151,0.14103318029473502,-0.0047377949420831355,-0.056417072545489534,-0.027894048056531548,0.045423884892844206,0.11791076131640957
CXCL8,,0.003542401342850336,-0.01421544095621261,-0.07593471177456936,0.006511428237193223,0.0562410207477852,-0.016323254022858693,0.009898001855545622,-0.003834703974089102,0.054098815718067246,-0.012940480306861237,-0.02506013676093348,-0.029038254115136868,-0.10866078056782409,-0.03256455096178187,-0.018401051219823935,0.06626477631847731
GRN,0.01290701246444309,-0.059207288673173035,0.043668704446263786,0.021596853367221745,-0.022837228035271818,0.0588465716890317,0.06934490363005096,0.08873105279320524,0.012257838139269223,0.03297219655092232,0.04072568284992673,0.07753024638917834,0.004408409957351898,-0.02615070512087382,-0.11945929653755051,0.05786359760620285,0.03524789250757753
MIA,0.04386474129252827,0.06196934010909448,0.032605655157351865,-0.04584124619011465,0.0023015764252344436,0.07687606344335142,-0.020750043744259383,0.08824263859367644,-0.026101067462027047,0.008918792884482532,-0.020224114090656713,0.06967807146552285,0.10314109218327805,0.13478507411686183,-0.030687983274699886,0.05366241440761845,0.08684558286569898
COL4A4,-0.02310427096646095,0.013435535070595118,-0.03941485045230236,-0.03488265520466851,0.03325945642035308,0.01936140954103205,-0.010918497855290291,-0.02377527048012766,0.0062620048559172865,0.011016559174562833,-0.019618140964335864,,-0.002264018805197805,0.05801903405783565,0.005155228641756449,0.01776288369093529,-0.017669873421467037
TAC1,-0.019949764706819126,0.015906651761442327,0.005885138901389849,0.07856030822577421,0.05877478406436177,0.006045071138191729,0.0074930739169568935,-0.08546266516229166,0.010901750139578633,0.012761233713261473,0.004524013936149571,,,,0.030100165260351686,0.019703882928448244,0.06504172440365062
RARRES2,0.017991536206639215,0.05575168409015296,-0.019110064936099104,-0.006098257143984229,0.00940510545878281,0.035092386093729076,-0.016707513300581983,0.13349114744893434,0.04427190071051778,0.0418394054123972,-0.042424456217622766,0.03372215834620936,0.04312199154162845,-0.04153770360690735,-0.02282040205202729,0.04241282260329114,0.06734524185607833
FGF7,0.007023967891490933,0.03082572627454658,,-0.04148159952058727,-0.0043000462222891455,0.00022952838356359771,0.05160931697767429,0.033608454614548956,-0.021362733196971753,0.03792674202343258,0.009131046134436634,-0.0015930062488816806,0.02063992886074851,0.02398718345207396,-0.022550204834735476,0.04797250296380811,0.044348103757325334
EFNA2,,,,,,,,,,,,,,-0.02744499346399434,,,
