,MGH258,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.02759658531356067,,,,,0.0991621685618501,,-0.03244960443656409,,
BMP1,-0.02247945237986346,0.014400319531793755,-0.041533112101637376,-0.030728298976343136,-0.1504893186217167,-0.00020000384384324054,0.07582867558144189,-0.11290542166256923,-0.0927851464819294,0.036542106580037446,0.05484076346465129,0.1870953365612157,-0.024768111616667338,0.03324517148603593
NDP,0.08615902793811277,0.003413230216571114,-0.031003816467323322,0.04481285039405152,0.03438270520573874,0.022073500490910572,-0.04259701587936907,-0.05073506781089493,-0.010208330610374771,0.021629077444990458,0.0328012112560963,-0.06365381289690118,0.05815440227231457,-0.09759155021729257
TNFSF18,0.14819808526450498,0.015258439757144521,,-0.005882071445273017,-0.04098010071844383,-0.01777978173791987,,,,0.02562992113836264,0.01878510907102969,0.052030614453492115,0.03452296283115057,
IL36G,,,,,,,,,-0.019846031826537488,,,,,
RTN4,0.09347572555265271,-0.007913143317398041,-0.018793855795951248,0.04574766215681592,0.1638029252913965,0.04581169250866818,0.00778952125531401,0.3411355477884595,0.1477670257102545,-0.06702358781166855,0.029259792381825373,-0.07105655153201444,0.010777872669161566,-0.020853834017129345
HEBP1,0.01800179733628583,0.01391308310835665,0.005837329296684993,-0.04238557045943436,-0.1370097754284367,-0.02262934484095007,0.009089744932210382,-0.08158367034394624,-0.09928234130495811,-0.07685385430351283,0.016288109114559836,0.038617836402096255,0.0014024378755960062,-0.05488029879245631
WNT7B,-0.021389028081149848,0.01602896529682257,0.00906624412649333,-0.023120329838295817,-0.020520364509657045,0.0659351975670579,-0.0021558143545712056,,0.10561107275849327,0.0024724297224673368,-0.03649401865606571,0.12114595861107381,0.08063382801073916,0.11698202228634262
PTMA,0.0536739501069738,0.02130751230570624,0.01322009657581812,-0.03778688848769957,0.01926043940937451,0.01811390775857229,-0.041873661696644845,-0.3805798866941926,-0.12825056075881264,0.03995724836864747,0.047427580672814676,0.10907763282568811,-0.025477881737070517,-0.1349216556992033
FASLG,0.021289633907209594,,,,,,,,,,,0.00204894102613267,,
CEACAM1,0.031861892343621884,-0.01429630097736049,-0.01859062497466051,,-0.05392747849345854,0.1307813530028521,,,,-0.014707398445154549,,0.04215636592943267,,
PDAP1,-0.02596113549623194,0.011875370532794232,-0.014921520975685805,-0.026348879796385165,-0.0916594335986344,-0.07505927014041096,-0.0007094405577948083,0.02781730729248515,-0.08028275259165613,0.02272606568105728,0.07576926529502698,0.03665791451836264,-0.043001368169298636,0.03800485412152794
QDPR,0.12576489005111136,0.005911868814964088,0.014055645576386604,0.13339584073275554,0.2088709262912213,0.08833230484762765,0.0451154360291219,-0.28663544283184483,0.05780009747737674,-0.027315981266527095,-0.028775343372308547,-0.042880588260526833,0.03647388253272017,-0.030482330962941267
POMC,-0.02983399666488469,0.11771620101761575,-0.037408733613790025,-0.012153588174203846,-0.027047983379451038,0.03406397117207783,-0.037264632624674,-0.05170446514163827,-0.01669603103601928,0.0041113224988173465,,0.12851515357494797,0.02987922421474495,0.0412661853981985
CCL18,,,,,,,,-0.12118664951694699,,,,,,
CCL17,,,,,,-0.022174849444363286,-0.0023555462929023374,,0.05929616865572885,0.048073418702984316,,-0.02550894965165321,,
VEGFD,,0.09112176441779478,-0.017786457408802997,,0.013120162288629883,-0.012135506223110855,0.0022827925916265386,-0.000748971365100827,-0.019430389844218205,-0.029084202680501117,,,,
TNFSF13,,,,-0.022238339986531352,,,,,,0.004116246836184676,,0.0028200341054868275,0.05032089457366243,
WNT5A,-0.07902776628461117,0.010244901978978444,0.09035887502264757,-0.056452261507936106,-0.08582046197213748,0.040354188345751496,-0.00315538317540888,0.055262252886823265,-0.08395580783751949,-0.04629063675443823,0.009010159573821511,0.07361295006448149,0.02786171228135678,0.02795486801121023
CXCL8,,-0.0019669794349325112,-0.021116395968570147,-0.03163259627088751,-0.06270174683094391,0.05196357132049829,-0.02102461774880312,-0.12706501962415245,-0.0584197474942181,-0.03915195461766757,-0.16231313801726738,0.04278025260831426,-0.005804020044505417,0.04287440654531945
GRN,0.01124918256147172,0.03566432310905875,0.058701871139568006,-0.01617990321931645,-0.13168181604569093,-0.004963770696607107,0.02976683333206699,-0.25154553147143643,-0.04352039110699181,0.022021736812143335,0.1387903023786798,0.13818773137079732,-0.0006709119479154512,-0.06598470346181197
MIA,0.12038612740567312,0.0166283679315388,-0.05397025752372899,-0.030003706013766306,-0.06838989193538261,0.0031735920531892024,0.04300944238772237,,-0.02661080933901813,0.06396094730863158,,-0.008707999788423985,0.040131795157990716,
COL4A4,-0.005205044719456042,-0.019454698375741118,-0.0017279010287363295,-0.021158797998076025,0.0022791533301682694,-0.023151228880297737,-0.030078868445431808,,-0.025813472295881955,-0.04247864854310085,,0.018618560265204552,-0.049687443863348786,
TAC1,-0.0213890224908799,-0.033861375217694965,-0.03275065082083828,0.06023384447870328,0.1461411079047342,0.015772508966731037,0.039312706327097484,0.1944550061438502,0.1123524700359488,,-0.04530541642354951,0.04550032981654767,-0.02555467600264275,0.1905611858205875
RARRES2,-0.0956983080173211,0.025579022786063197,-0.09325085228650072,-0.027335517624046943,-0.16467181944885945,0.04735010148489789,0.007687851781165306,-0.16479227952038256,-0.09596007399863092,0.003842709162690719,0.023369076494336973,-0.02457146553248257,-0.043612937675128215,0.029189448436757744
FGF7,0.011603056080162603,0.06032333219891488,-0.010656971532249418,-0.03522259881862808,-0.03702719836656874,0.022100795750198774,-0.03319312187291872,0.060117861870666846,-0.014236457506135008,-0.016878002089710596,0.04008249026503433,-0.042684051389144884,0.10193811712126803,-0.014838843182343214
HBEGF,0.03957218990663272,0.03434432438939625,-0.030107958991358433,0.03207802939899157,0.020058691157637844,-0.033183639940567354,-0.03601110052640572,-0.09660240734900935,-0.019295920398970212,-0.0081002073394049,-0.019557016153535958,0.04104994138429393,0.008268573475681093,0.10303564193885258
CSF3,,,-0.059259789123400505,,-0.028771137453405825,,,,,,0.03863336061999613,-0.02685698876323781,0.019530409415567856,
PI3,,,-0.032599749389915056,,-0.032396680510446293,,,,,-0.02343033692977254,,-0.05835131422269524,-0.001984842718683019,
PCSK1N,-0.06381402833359326,-0.05537534666430178,0.056958154912733275,-0.0034196568818586188,0.08092932245821398,-0.005274265139685443,0.04935043300170599,0.3955151260431589,0.15149873561381239,-0.005857556006580643,0.02491349557029656,-0.1037854834011013,-0.06405252394472394,0.14863003253194346
NTS,,,-0.014087663644756923,0.0030514411573543047,-0.03536318884962677,0.029521437347879636,-0.04238328149686589,-0.04977773640029142,,,,-0.029210985098174807,,
