,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.00651189877898769,,,,,,,,-0.022793762733763,,-0.029555083395326268,
BMP1,0.05388731510256128,-0.05431646040134203,0.024770209280269656,0.014730732852350428,0.1341159342635627,-0.01057400349492271,0.03085752443754741,0.042205540774494364,0.14850497483547462,-0.012396493267775819,0.06438643364042815,0.0634740422094543,0.014840655236268131,-0.003385075008695659,0.004055220048478525,0.055042439752786006,-0.02637073341005718,-0.01361705423966415,0.05964914695437775,0.055396677311203
NDP,-0.030634118734834518,-0.09347363215658226,0.012812779322859513,0.041729635112836394,0.0014525034758258236,0.045330502271498006,-0.027300538246425036,0.022296278180208864,0.017732712805629266,0.003968759432539077,0.06355109137057327,0.01898220204963149,0.06404853572760943,0.03717919679981191,0.012168517484661521,0.06786365712083188,0.011643215407517652,0.03717859358179616,0.06252219451313386,0.051062534179162636
TNFSF18,-0.022885148128002318,0.00041944808152350187,-0.011700770454638248,0.0476689871223345,,,,-0.013463318374752075,-0.034654373783890545,-0.019246033495910992,,,,-0.04222234483269659,,,0.13498449952843236,,0.009694472384232343,-0.0356857842635274
IL36G,,,,,,,,,,,,,0.036108531096293583,,,,,,,
RTN4,-0.028809340075732888,0.0020482519611344173,-0.06073565855470031,-0.08082582293627073,-0.006715950733688437,-0.015007923428878774,-0.04983405380489504,-0.09078747431359997,-0.18175705873459355,-0.05943303171893442,-0.017036635140249622,-0.011614013802231,-0.09055749095315221,0.008027810867860254,-0.02565769220849272,-0.0911499347413509,0.009044886841732241,0.0957005667549362,0.054981028520982356,-0.059518328059765015
HEBP1,0.05854041701192571,-0.038960254989156166,0.022268154175206757,0.025905414193295735,0.02814771123883922,-0.027907385968723816,0.026699754338184924,0.042692702699321655,0.03808114694300898,-0.017818975152137123,0.005502521899792986,-0.0197216069916166,0.05073832417609164,-0.09959349733418844,0.057546504614684905,0.07199757005155928,0.06766928020230918,-0.045416128315089725,0.05073059129349573,0.08846177683629308
WNT7B,-0.020161098717998427,0.017895493095710948,0.04895064090803823,-0.016593098624034356,0.006025959159509786,-0.03210226552163261,-0.03530473348642028,-0.021871169761055215,-0.07214260398132116,-0.0029498019009775445,,0.07075685017857762,-0.008967374858951419,,-0.006632936659632118,0.09419921633387697,-0.026614595608989343,0.054035415103866995,0.007684410634738147,-0.056372101747466555
PTMA,-0.02015495055698253,-0.0024788477428007195,-0.02157286778671923,0.029538773094236467,0.06319702453832456,0.03514458829275936,-0.023016409074605206,0.12624706703543379,-0.06368946582812751,-0.01755958254224085,0.07201674045059417,0.054078907148244676,0.11858783371638257,0.007305720226883068,-0.07435834103536255,-0.06975567348010371,-0.011135608078062902,0.0016636188563418119,-0.03872421841634131,0.08587428670848968
FASLG,-0.02016110441748939,,,,,,,,,,,,,,,,,,0.026627795406806685,
CEACAM1,0.039380817660356685,,-0.028236285344878164,-0.012734205186266702,,-0.0027141083230415334,0.09192532422160193,,-0.0017369152899185283,0.04277418560452255,,,,-0.029689474156130657,0.07892122437542953,0.0017792990295479347,-0.003945722871169747,-0.01586123430071806,0.013458811089005093,
PDAP1,0.08459785360459567,0.001977636807873671,0.03354353411608861,-0.02876054871357006,0.013507366317123617,0.009540923053847909,-0.009857577562867682,0.07139300431000553,0.1568296570657899,-0.002732848115766553,-0.04396021122526604,0.03139784797733123,0.06986387910475922,-0.008774127719435061,-0.048794364871373994,-0.02605206453118823,-0.08349424748473884,0.05735040562478892,-0.023715286123033735,0.038984630672263605
QDPR,-0.08721716972914977,-0.058539920212391995,-0.03439063688037858,-0.03638306950057175,0.11512521224937625,0.02186038094170686,0.0033697533626979273,-0.033033235582957614,-0.15374944032887702,-0.0017699230898763573,0.10167524568527005,0.020773488086855498,-0.019630623279758026,-0.04418873013577228,0.06112623812775852,0.07862162915422864,0.04141928333493388,0.03176853486880229,0.02063361754124471,0.028181527354727814
POMC,0.013352643624774682,-0.04503742021956772,-0.008959930912194713,-0.022626650967822463,,0.07575673075408894,-0.0038826875208195417,0.029012912222985857,-0.05209593251768192,-0.022331575328176617,0.012066379959403078,-0.010228953126427241,0.016637703610572752,-0.00928336086047028,0.025161291012003435,0.014336893522022569,0.03871602110076795,0.08866284686898519,0.05337949372506245,0.14514808549185038
CCL18,,0.1690513406121714,-0.005415497775418063,,,,,,,,-0.023605017362250354,0.07031230155253532,,,0.0026931058593045367,0.06614767566555123,,-0.021111680245387725,,
CCL17,,,,,,-0.007521670197453035,,,,0.03408523174363332,,,-0.025947309836986593,,-0.027634219275922967,0.03648449294714357,-0.03005225948232685,,-0.02323353850909432,
VEGFD,,0.010873116763042236,0.0074300998433482115,0.0512391002894141,,-0.023937331624029418,-0.019063375286213945,,0.013296966144807725,0.11849227771908176,-0.02475952215933405,-0.01359630774048746,-0.02780853562706414,-0.04036218950523509,,0.0009780214401203964,-0.03169585814443711,,,
TNFSF13,,,-0.026590387936248704,,,-0.014820286374212545,,-0.013056610216863008,,,,,,,0.01505516199988215,-0.03379445708957178,0.0819696671107633,0.0016750360658673536,0.02936896452070534,0.06932222693861925
WNT5A,-0.007761749040431809,0.04847888551935048,-0.03934322284609412,0.0009943027380558674,0.055158218617059884,0.03011520085170375,0.00919923342668929,0.08312509997884547,0.11971761703170561,-0.024456807909303994,-0.021927568596616334,0.09216724429223538,-0.017831076541254407,-0.031243859508477037,0.08284328662572733,-0.009793774611587525,0.027336506949772386,0.006555570305449203,0.023767602903266655,0.0012995650463779726
CXCL8,,0.022676743046899074,-0.021634734327011348,-0.017078100259207973,-0.08472337347589488,-0.00019642958294427982,-0.0169482211225621,0.12039907199753787,0.03764708218970896,0.022452953355069586,-0.006486176299128956,0.039173244986728986,-0.01028590499580264,-0.012155546234874788,-0.04311260223330226,-0.14538332333479131,0.034083840770725835,0.029767187042512203,0.04694417085284103,0.015039748867879637
GRN,-0.08383979753994476,-0.06906411578056611,-0.043684492380435924,0.03485365343871108,0.08595528275582781,-0.011816051848760663,0.0589046476545296,0.010476133002407208,0.10190374174010675,0.0030004050597541585,0.002895436700206494,-0.026176579331907705,0.01685751049530502,-0.01457053533673532,0.03128437529521781,-0.04995781869762281,-0.04086792660900654,-0.05581632205729687,0.041661685124094364,0.08170592307193178
MIA,-0.026389146743823207,0.119436338642154,-0.026556898137550872,-0.016220663690909333,0.04465019258009032,-0.00220385759133698,-0.04407252129868234,-0.00807387821969231,0.07177604823034427,-0.007697235766579654,,-0.037596117189587115,7.879094854604726e-05,0.04943604578607389,0.07862741076092349,0.15199287422023083,0.024320730692080766,-0.05576090086853551,0.028343903803708853,0.0670006171719289
COL4A4,-0.023349015532940505,-0.020799254592889924,-0.04231840940916821,-0.015103523080313291,0.05577044308067745,-0.01248478144922968,0.0753580548246641,0.19441027099450542,-0.022996635363804894,0.02049958230423059,,,0.10529164294290697,0.23772253656734788,-0.04842252112803071,0.026499470238564467,-0.03458162171075673,-0.03904390446610639,0.02633117110971251,-0.031006473015064144
TAC1,0.07475541024454067,-0.005661101540510498,-0.04390538728627513,-0.037892204106567795,0.09177668111171261,0.03271509225364785,-0.05202027413230133,-0.031265838117106606,-0.10605586063974713,-0.045097651591606065,0.036928589060368645,,-0.05998178057324431,,,,,-0.01142298944934298,0.1451381159188808,-0.07031382137000824
RARRES2,0.09590992170240938,0.038818171333848975,0.039873812062283666,0.04769011507184738,0.01726636877084329,0.03031062899397047,-0.023053993152185315,0.014346492156476667,0.1309132387767893,0.0008903844463585479,-0.011619223877424503,-0.014274621527438375,0.08892477364448012,0.08025499492192784,-0.022078487217888177,-0.0627702802040202,0.04283382015265632,-0.03765788873140021,0.061374445805816295,0.02853011631371011
FGF7,-0.034545258577352654,0.052173307876267394,,-0.02058630308395741,0.08528184836865359,-0.014371671671553109,0.026220221592734287,0.09520370094519949,0.0892325432432178,0.01030267745403431,0.0586543172083247,0.016862402631486417,0.03342080976099233,0.018367426547828927,0.011420387157414991,0.05755239948256309,-0.044918964840259916,0.04525743507643609,0.0510377854259737,-0.06792024515823343
EFNA2,,,,,,,,,,,,,,,,0.010057506209335503,,,,
HBEGF,0.05426818780193265,-0.027263646219555165,0.0009439687331626224,0.002068115673336977,0.04458276502716782,0.0251340128520281,0.0789632094170449,0.08710559814493428,0.053767660599814,0.10819158808729157,0.02134594626032413,0.11439610870241476,0.05682836417926192,0.09212171638949912,-0.004458426862202712,0.04148380063094496,-0.017511361096386704,-0.0034482716536728087,-0.024095754009460766,-0.01042614765438764
CSF3,,-0.03628177585222517,,,-0.030706489563954404,-0.014335978062301713,0.010241919713565629,,-0.024329997584639412,,,0.01630451703925256,,,-0.01989567962701442,-0.08251170553903169,,0.06713387549428214,-0.02446133185372293,0.14163390158778918
PI3,,0.12493392285350115,-0.037069985097231826,,-0.05857125956865411,0.03403377772511973,0.031955411817051124,,0.029081019070668387,,,,,,-0.033033017161433344,-0.14465820628261672,0.09299648637343849,-0.05450822317567912,-0.04438388854408417,0.05352064204676229
PCSK1N,0.08459367660876088,-0.10914746509501841,-0.031449083869856516,-0.059111504296164116,0.07592038098065639,-0.028438147584311336,0.010333293443189923,-0.06879603635202473,-0.0338024270519096,0.07191862820313748,-0.004898538895378279,0.012683796829416569,-0.07096306072443839,-0.042544201820780135,-0.045080418049115625,-0.07667027772422258,0.06401340223178105,0.0316109206775283,0.04602380280166148,-0.04586637875472477
