,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.01503158213099788,,,,,,,,,-0.017312741972957485,,0.05186710400204454,
BMP1,-0.04335351365539051,0.011861230053438738,0.0009282928430185189,-0.045595102349229866,-0.022592078315315713,0.00021302384161762377,0.08601076972613111,0.0062463836793124365,0.06109702678438299,-0.0556937408548009,0.0326080814811242,0.08638709500129135,-0.012030266464521428,0.052674980536328415,-0.03290522651959834,0.050516665426101115,-0.02234863234015713,0.02353174599952773,0.12208203948998823
NDP,-0.019591173378826134,0.06424914807956329,-0.004233973680721255,-0.017427988259020435,-0.006191709403154545,0.035544439177261695,-0.0567189646627047,-0.046853507470856315,0.06432111756430846,-0.031012954914369336,0.10674926878011344,0.004376075686028114,-0.07621084797104027,0.03958722442940645,0.06300583382551894,0.10927512877245854,-0.0028543051487980023,0.10934400959134007,0.03368602877802822
TNFSF18,-0.01923375101433937,-0.018985863140731432,-0.018403303027596858,0.04827810038494228,,,-0.005187184460161092,,,,0.06417272457852108,,,,,0.010626612979979065,,0.09616321136289545,0.00606642495696652
IL36G,,,,,,,,,,-0.012722257390534722,,,,,,,,,
RTN4,-0.026524120327371004,0.1085950232126599,0.06291381245443685,0.004536382295327885,-0.00044479947941611565,0.04217328080106112,-0.0373463964997564,-0.10396052716162124,-0.06548853993060855,0.04938219934632685,-0.010800455413016791,0.010916218238596322,0.0569252466062745,0.047439523681786507,0.0002513641633676297,-0.08416515575978468,-0.08232033706648026,0.06428936186836491,-0.16823012607865914
HEBP1,-0.063700107610995,0.03192925904027599,0.009499958101943153,0.030887508673050786,-0.0064255562493888176,0.007065381212935976,0.08305536307332638,0.06111217440619253,-0.015331297492316747,-0.024529447668020374,-0.006493357006431369,0.07369792229822657,0.0034382435648335047,-0.012701171027509067,-0.050149607203747455,0.01243342933974185,0.022715230532089542,0.13323958886946743,0.006804137393822293
WNT7B,-0.02974365232428481,0.0682116336434609,0.02009728856077891,-0.0011429590305017758,-0.0015719853689990608,-0.02597318412867944,0.00600591803303203,-0.02579963482683504,-0.04019115550941705,-0.013983227002943955,0.05566049538036444,0.15048622175856347,-0.042880717645893414,-0.037154366236334294,0.04953691782907785,-0.037334838389072485,-0.04395849307556943,0.08785520375904157,0.03039866179732523
PTMA,0.005410127878299694,-0.00712972829483159,-0.06901327390100585,-0.012871083659245237,0.04393194375761198,-0.035286640440463715,0.012710509354655827,0.03629537123345893,0.12631081038265998,-0.0634604014811998,0.06182033843476621,-0.1395495483071276,-0.027972316412891638,-0.07260086616343014,0.028721895765369057,-0.10394517392094196,-0.03781763742408482,-0.14116872626313254,-0.04923743176967957
FASLG,-0.02974366073273913,,,,,,,,,,,,,,,,,0.01983871822053538,
CEACAM1,0.032301950352489714,,0.004304260207180122,0.032584602922725976,0.022839243971621133,-0.019101150689553998,-0.02937375450192803,,,,,0.09649275400517189,-0.0018488569670763,0.07271541466037583,-0.025816666667936302,0.11071469509978801,-0.02917589117341083,0.03423114120342443,
