,UKF243,UKF275,UKF304,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.08290018877781218,,
BMP1,0.02154867629310936,0.0672754719684578,-0.033957637914682905,0.1536336159103483,0.07530992825130492,0.03779327113026423,0.07818624581685217,0.06775676235657636,0.09811982859177566,0.06343381537321657
NDP,0.0423040890702411,0.019644216151424282,0.06941872249378143,0.16258235078662844,-0.11664500476561698,-0.06766000418318899,-0.019094596099692312,0.10781671789419531,0.07489178048102998,0.05316133645034849
TNFSF18,0.04734914615121263,0.08541388022301998,,0.06814220198595407,,-0.030766370909622,,0.0299406138394633,0.0028766078916796145,
RTN4,-0.10632923043206007,0.005615046228194021,-0.012917498555734623,-0.08151124936672342,0.005934225087960928,0.014599724873462411,0.021071158726726318,-0.016923709381076315,-0.1676382145501396,-0.01072526341632152
HEBP1,-0.033546466155371255,-0.010459339914845885,-0.023228973596838412,0.08925871343722047,0.13127690162884167,-0.04564869699256801,0.001850582552237333,0.1775605165757382,0.08658661160437357,0.045883656643133326
WNT7B,-0.019644579020883977,-0.03264933072262808,,0.02915649866205757,0.0019595374629553706,,-0.10238094581100532,0.058971554471897177,-0.06379745053409765,-0.05449482876030335
PTMA,-0.11783538029238869,0.0022985377169836936,0.02436280864448947,-0.01216081332458554,-0.009076270324164241,-0.13682258477771017,-0.09898933287017134,-0.11266319294924544,0.011667729321631497,0.04769517716054815
FASLG,,,,,,,,0.006815698870342595,,
CEACAM1,,-0.017914281054732403,,,0.03649834481654424,0.14746281294545163,-0.032600249236296425,0.05540000157749758,,
PDAP1,-0.002562643469137528,0.00927525450734331,0.06214785069543645,0.1520584090346894,-0.032166524228459586,0.03628605972607736,0.010666257665687687,0.05053038678316135,-0.014269581608653863,-0.01399410777388075
QDPR,0.02620198378302804,-0.019981268277745035,0.06677389449996475,0.079979491108788,0.10296921640091818,0.038573852223689746,-0.028215253586015412,0.050081827362864935,-0.07250235035430154,-0.0640672322135826
POMC,0.10779758897188182,0.028088585615262254,-0.06678860134644798,0.11481750203912096,0.10348928814264217,0.09415495878572111,0.029516298450854215,0.11954190182892035,0.030231181223267758,-0.005308667700611697
CCL18,-0.04053830413102984,,0.10892300603266994,,-0.09765858211193339,,-0.006496808685282463,,,
CCL17,,-0.014205963523640707,,,,,,0.025583819931194057,,
VEGFD,0.006300659711572617,-0.015135252577512926,-0.019194890824977492,,-0.061667326720587175,0.0037782574129708213,,,,
TNFSF13,,,,,,,,0.04750120238821138,0.013954445518785195,
WNT5A,0.01668047237751088,0.010178816037654201,0.04773866903262163,0.09534888014443996,0.05829187348775943,-0.05554758130310104,0.021045359506269536,0.12195419947893124,0.11928427541525013,0.00770278432405484
CXCL8,-0.05844353949476689,-0.04350163899350608,0.011979798605596424,,0.06628643689757506,0.015609795592832003,-0.04434481847997269,-0.039046746436261465,-0.026687368900480454,-0.015098071820164163
GRN,0.034418879099658885,0.032512488697444754,0.07201636571905183,0.10846749805273008,0.024178576560294745,0.08157170382004748,0.07071781276378077,0.002332325762388358,-0.045595959108292464,0.008379713127874328
MIA,-0.04937677383406796,-0.01712331120257805,,0.1405942517575571,0.0715508958228663,0.06293426993782872,0.1200970442728289,0.14954633562512218,0.09826636813362657,
COL4A4,0.021018529203329347,-0.01483146543231966,,,,-0.06784479708834384,-0.014067791535743727,-0.000593821956890086,0.07633640899820038,
TAC1,-0.036872360441048926,-0.016407732258033787,-0.014941159783227251,,,,,0.0585198711169955,-0.10837550748678018,-0.008944258908539483
RARRES2,-0.023191526151332225,-0.011286081945321729,0.0018326096866353768,0.06958163009576562,0.035902261439644687,-0.0827963021471801,-0.013869266079206822,0.11729358086944414,0.034420050105748855,0.06676727320934486
FGF7,-0.001897458707319342,-0.000567441124846079,-0.010744636508447796,0.028197839579254935,0.006092039036822031,0.15652643172244607,-0.004520416732862456,0.19818209815490678,-0.031139915706554715,-0.059202880450245444
HBEGF,-0.020123163440552976,0.0415481820250341,0.036344567309942566,0.15686080372047775,-0.009162732901729403,0.07803841356486281,0.016311720958042578,0.04627112046777326,0.09239479067215677,0.037657463992742606
CSF3,0.005550995855906757,,,,,,,-0.022948312663774895,-0.021449110910637458,
PI3,-0.05446974149394378,,,,0.06218369068632449,,,-0.04239836871635079,0.01820797675568033,
PCSK1N,0.04658125779325567,0.03618706436729497,-0.01751143603632261,0.009720708008116898,0.06867591862732615,0.06525073895712898,0.07524410432616718,0.15937340662176516,-0.16321588964921166,0.031404948066178384
NTS,,-0.0169432252090176,0.06678442231621395,,,,,0.0580433800396046,,
SFRP1,0.05359344970033287,0.034519921995975665,0.05750323995598601,0.03448612113467156,0.04779819822678164,-0.060711849796958754,0.048258285271403384,-0.02269106167135729,-0.03279793965561497,0.04671205514201383
CXCL13,,,,,,,,,0.03845178138306188,
MICA,-0.03268574780823519,0.01530163306887295,0.05133193577425635,0.043288905552810175,0.050644597272307204,0.08883260720355077,0.10883915058206824,0.13069357128874812,0.10804483357211543,-0.06269832124890062
TG,-0.03665311290412107,-0.01431197064678203,,-0.03925368479017183,-0.004893657205674304,0.09146635285148871,0.12411905044283555,0.0665724828082819,-0.06223078638940399,
ADA,-0.020056561764455954,0.0674432993308907,-0.001568872515071765,0.09327113087305262,-0.007634436245464202,0.014131925156061433,0.027748040212624458,0.11946929548968131,0.03013653505139378,-0.05895149577998586
LAMC3,-0.026871816294683885,0.012450244731876685,0.0026388033842810726,0.004866981605650576,-0.00142626232197026,-0.011889047942967265,0.09884647305014228,0.06605503249751773,-0.0026848175163029907,-0.04113858671137856
CCL7,,,,,,,,0.047258801094382595,-0.006809096041538174,
NGF,0.22263624655234662,,-0.0410420136286745,,,0.0037186640796103396,-0.09827393712806701,-0.04089276676409807,-0.02699609318719079,
TNFSF15,-0.0327716566434094,,,0.0600532718860968,,-0.07453110960482835,0.08367634612485851,0.00013744643641990515,0.05568562014693191,
HMGB1,0.07841532557765772,0.01712287005914598,-0.018034798574752764,-0.11892486215444835,-0.0393676238251447,-0.08128470232797973,-0.01292518844065282,-0.1020424421098698,0.013014454883644675,0.023011366766226816
ITGB3BP,0.02528665391205714,0.029731016196583387,-0.015448884614676655,0.20035661377914168,0.05509900473901296,0.007198438854972391,0.10060242304140801,0.1106258211072285,0.02602243955015275,-0.09137119169643272
AANAT,0.027552408173960607,0.0715063823785475,0.015989596115040104,,-0.025795031627725916,,-0.06612833407014213,0.0412663267265242,0.07791061550887171,
RELN,-0.04567479632030295,0.013610871429069636,0.028291925146643804,,,0.027763795452051404,,,-0.07142165564137927,0.04040962173972054
IL15,-0.04658434423346235,-0.036507290501862556,0.019943640083127538,0.025757635221143424,0.0504162928339293,-0.029105112811932236,-0.04267192448843772,0.10744268788039134,0.030297228500511815,
UTS2,,,,0.048677818576470716,0.06912034434230856,,,,,
BSG,0.015106806365279567,0.014241082410979551,0.022579763430767272,0.21833128203100108,0.10604003623846299,0.06105052632028477,0.0011150281517507323,0.18326056536183863,0.11676755970454447,-0.008955397883772025
ADAMTS3,0.04711434685695242,-0.038447505840655705,0.015033489479870583,0.16310404738304887,-0.028798469282626325,,-0.012631581082715953,0.161307326860917,0.07480486064881318,
CD34,0.025525971557036946,-0.025710583670808394,-0.0017115232278440634,-0.04431594067439504,-0.051518550524365034,0.06307400502151456,0.09350510130704512,0.10260626826720312,-0.0025760516087932547,-0.08381817738575699
CCL23,,,,0.09218240737880445,,,,,,
PLAT,0.037939410364757654,0.060539370779413106,-0.043681060947603816,0.07014469811301098,-0.13819236779500266,0.11000212642898317,0.09176248394880258,0.051619248583852875,0.05112427474560424,-0.00928973530667041
LTA,,-0.012395959156095369,,,,,,0.03100362929972572,,
CKLF,0.09374103055327423,0.05367906360966269,0.030337189450355535,0.15973892226511,0.031802073280623046,-0.06362843383245038,0.06994053992569045,0.12697161982967492,0.046878102899313,-0.06473094684867473
CD24,-0.013524370035533546,-0.020105755395300764,0.005740526060880185,0.0903349926818926,-0.10340576387807214,-0.037059096154705554,-0.01062309107913835,0.10734499681651716,0.08220603659099816,-0.07757571857057675
HSP90AA1,-0.053655902476582286,0.012853530314056647,0.018045188075886426,-0.09341869120637336,-0.07749976230378446,-0.0806941398429537,-0.1186048462812178,-0.18897398564538298,-0.09584805521090323,-0.0640565399035129
