,UKF243,UKF248,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.01924620206456933,,,,,,,,,,,,0.10753546672652893,
BMP1,0.0377585638600072,0.007735761598712278,-0.011569849486124868,-0.08760040755913574,-0.0206586868009389,0.005375048492790038,-0.10701563973694471,-0.1547153333922539,0.08590867720848819,-0.08982976353400332,0.0485969233597408,0.08023142250706555,0.025920029326099762,0.00556321401822368,-0.006483560761141988,0.08927835338977708,0.060122504474214335
NDP,-0.02429807168783377,-0.031189181198725578,-0.053529530714101665,0.0415193104969235,0.0011589713164131355,0.016058886680817716,-0.05290877043297603,-0.03955176727909843,0.08057181431434557,0.0065583676603358666,-0.08835150287824237,-0.03702325959236122,0.07166991279370831,0.15479877810497436,-0.005439783181683573,0.00013806480394283995,-0.0031852430876391567
TNFSF18,-0.008881171590025957,-0.014852991969109918,0.014010696044221923,-0.028580032279066362,-0.01680553397197464,,,,-0.0004983019318681246,,0.11555246659796224,,,,,-0.016649003332452072,0.011098829983407648
IL36G,,,,,,,,0.07311932724828751,,,,,,,,,
RTN4,0.06101872338702655,-0.00896950484732057,0.04604484265861556,0.13545242001584215,-0.029018791250076555,0.01757602738394958,0.21402179343864883,0.2156682044005618,-0.03618120278925273,-0.016939613017650814,0.08765441820529953,-0.043862547752823805,-0.07732957893983532,-0.09555401983521454,0.047356315802498224,0.05612102850809786,0.08856494407927068
HEBP1,0.06796700790438052,0.0011638475292101943,-0.07589220741166876,-0.040013504007665616,0.014230735981762907,0.01573295424501507,-0.0973067341808718,-0.01934058172345348,-0.05345513859984183,-0.04238352082872427,0.06497872648733954,0.00621897660801375,0.06346562470261453,0.12260671646114792,0.004890600934124192,-0.00043848561655305076,-0.0753406380834255
WNT7B,-0.01004591192059573,-0.002305231361755216,-0.002921465294646484,-0.004685378702165821,-0.006212032499135597,0.044573417902281136,,0.06445208626800393,0.03241613241088469,-0.09194518279841474,,-0.04146228693229585,0.02376752073039134,0.050549940503364206,0.0018451199549497403,0.07473280355509554,-0.029765011563312058
PTMA,-0.05720619347845692,-0.053132001819661816,-0.08225812102590983,-0.044302731091953075,0.05378159634463139,-0.08349640464536816,-0.2653620856364147,-0.20496827489363165,-0.009174897222139608,-0.03076643847950263,-0.08124864648656119,-0.069051136276194,-0.11060397027089768,-0.08823511944513,0.046406192262891846,-0.0131593045170722,-0.029102554256233
FASLG,,,,,,,,,,,,,,,,-0.029120056393020496,
CEACAM1,,-0.031683365431577334,,-0.03760969468232749,-0.016025531463631542,,,,,-0.0476265831160576,-0.03279149301568134,-0.03718404303677114,0.006830952067246378,0.02273737491093912,-0.03212767454325554,-0.04051628151310468,
PDAP1,-0.008308546209291815,0.049396905623670655,-0.037296025948073144,-0.03441451879601854,-0.025723819057589456,0.0044090889284201405,-0.013172661636333391,-0.07454426551099506,0.0632545094991701,-0.0309176433218834,0.08364113961538283,0.009429983679583032,-0.03700272182873564,-0.05298269094731209,0.08586934981586676,-0.01273520015662178,-0.029286692681874813
QDPR,0.09324724858500985,0.016752558751788594,0.06055540376466537,0.08546059360270608,-0.021721973972350123,0.024145728856815884,-0.24430375223499334,0.03911973821954022,0.01418667014135244,0.06408573086939554,-0.0027905807795829646,-0.09650161548311144,0.0339354122080201,0.11970128839074826,-0.01621674735671807,0.06982043813141345,0.023754417409342348
POMC,0.06181437302782662,0.02244057993868769,0.0723677149737825,0.028925824916590036,-0.019499812670757205,-0.015087011371513505,0.0015461700329605368,0.032216370159995254,0.15494325482907545,-0.0982318147332766,0.032501546773415116,0.050105468826444496,0.1132714195909617,0.052658847888292684,-0.014122521182953783,0.0884578200473381,0.07077062073191456
CCL18,0.04282315396023155,0.013348018671403243,,,,,-0.07794874977707675,,,0.007852780009355227,,-0.026364097877384106,0.016396392623595355,0.04688774522212041,-0.007658430451458761,,
