,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.014065383107142523,,,,,,,-0.01660307221009506,,,0.0009316917770750641,,
BMP1,-0.009690002248133663,-0.025515656868442992,0.020591419829587183,-0.006876068065879883,-0.0817911669524887,-0.10777569028753295,-0.057126822727232206,-0.24093660086777863,-0.12621591610470037,0.03327161619713143,-0.09370804020098451,-0.11206763747178572,-0.005260616452540485,0.0069843993646267226,0.06889234684037092,-0.015125424490435987,-0.02475628894102379,0.04011615876953479,-0.03916895542579893,-0.060892529338923536
NDP,-0.02204950074437535,0.052150265693940934,-0.01264995886557271,-0.019894894826862037,0.003334944481200851,0.13509169396198,0.032139602805407966,-0.0967566825257369,0.005911832733835325,0.006336967366864941,-0.05565806168781329,-0.06753559756561787,-0.016230945848055782,0.051076168768567,0.08214321322153702,0.008174199803277318,-0.00984146647221763,0.021612746964128238,0.11394813530565154,-0.023270119423570934
TNFSF18,-0.0365022241844181,-0.03345750740585072,-0.04090843293533452,,,,0.01057169362973591,-0.02663876459442662,-0.03383953511163833,,,,,,-0.017122455308836482,,-0.025852712700457796,0.018007208195827778,-0.08304664380111694,
IL36G,,,,,,,,,,,,-0.03759645090059589,,,,,,,,
RTN4,0.22010578382743595,-0.06432094139216371,0.04164775034116302,0.008527533625731384,0.06349340336401683,0.20467939885578043,0.21800525291949527,0.3221085249313832,0.11763434599860478,0.08138895260278824,0.36195644784471503,0.21364274731855,0.06388340252966257,0.011010259877738288,-0.10931684195551054,0.03385227963236283,-0.05092546694675047,0.06273111171643676,0.25168893116054764,0.013714134370952185
HEBP1,-0.1010034936398037,0.017665695792227435,0.00958453688863306,-0.04968732059322719,-0.044017971738083445,-0.003061212404131923,-0.059194430690842154,-0.09322584990187048,0.06589707660344168,0.020039470029702203,-0.09062939808790663,-0.020747135919192857,-0.004259717275430024,0.0514228714967522,0.025682362304365696,-0.06968942401059765,0.01676630211651581,-0.00290155331795971,0.05201438647240102,-0.00572919412748166
WNT7B,0.3420911377755968,-0.01332291873185321,-0.00013803919599945108,-0.01038490723085752,-0.013086327880621225,0.10292425731523994,0.04625071118485229,0.2638033610721062,-0.010933817683146477,0.042759995814423586,,0.01088524235274219,-0.03196930964026895,0.1093039918484326,-0.03580443922136896,-0.015397874053749877,-0.059715469809740435,-0.021259743185323535,0.040233600366836084,0.015192291327562517
PTMA,-0.05025130378633165,-0.04218915417823853,0.0032173314676729415,0.07594398312698165,-0.03719920552636045,-0.16226390142249678,-0.209884528157045,0.08430360237278457,0.08309224591205505,-0.06968538026284248,-0.3798034907248002,-0.19604234393539385,-0.06625972409406389,-0.0007935722250862153,-0.03919615114252482,0.03173099538106142,-0.06148991913850536,-0.05640377024567378,-0.12401344529163295,-0.17658094165639476
FASLG,,,,,,,,,,,,,,,,,,-0.0171746364963417,,
CEACAM1,,0.011958458548556239,-0.019501452832396637,,0.05304878832463304,0.005635208873040062,,-0.075665082152111,-0.001806392009457179,,,,0.10738767969760836,-0.015692624667503766,0.017003191941481685,0.04069474933711958,,0.08175306855386698,,
