,UKF255,UKF259,UKF260,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,-0.0021026002820435756,0.028099179252564804,0.02793003866933028,-0.03517548734529559,-0.01820209495710348,-0.007857312442403699,0.011364596409754658,0.06369488507868412,0.04479498366568432,0.05091928631579016,-0.03319111085645767,0.03636562408444486,-0.011771415321772295,-0.005789749908203608,-0.0685033542186557
RARRES2,0.08263995853578912,0.0139586481767156,-0.02817274061810905,0.019323565969335176,0.06290201165348329,0.07853785810323062,0.03507382324015325,0.1128310627100254,0.02669292856709574,0.0525691301569492,-0.025662708032658448,0.12173982186813832,0.07566325685701214,0.04280936910427415,0.03599852665922039
SEMA4A,0.0008984803628271187,0.03523379452387317,-0.0074632986859727414,-0.040449742339888135,0.0633908651764629,-0.021739427330642914,0.1208118039873964,0.009831937194416007,0.005730315940374026,0.0058489533025311265,0.02127530731511059,0.09018759897719061,0.038657210393548046,-0.020748546227523607,-0.08680249526822059
GDF11,0.0014051655400046349,0.012696165356983525,-0.02814949247874932,0.020932173942977916,0.05121461867836261,-0.009487066290624725,-0.005765303483906765,0.022341988568872706,-0.011102056642690416,0.06455474747559571,0.002863660719263074,-0.06103916641338164,0.08017013441861295,-0.011316563415463284,-0.03498530302713401
GPC3,-0.0032390829785137864,0.06202288097620117,-0.012155934127693908,-0.031703560053256946,,-0.04193663414038378,-0.022430796330258948,-0.02787166831514403,0.056583739805382074,-0.005527323316446033,0.014287084045816294,,0.0872558455798151,0.08952334449612238,
OSTN,-0.019344669886715033,0.009721534103984578,-0.016418603239158492,,,,,,,-0.03103621025914093,,,,-0.05543387695669794,
GRN,-0.04399013956973576,0.024958140433614228,0.03585577573385434,0.118506398885405,-0.01143384083452242,-0.0637233494470025,-0.0072420878845942055,0.03424268728275057,0.0009371870366916603,0.07053770287795037,-0.0010000427767690146,0.14616769553271008,-0.023723430343592315,-0.06419126269376377,-0.05623101446355963
CALM1,-0.017274226897319094,-0.03284714863114935,0.028701799024518762,0.008353455049980979,-0.08001406860347858,-0.023621902876074168,0.006704959949616086,-0.050461747738608016,0.00899680467051819,-0.05899091705611026,0.013090226208548394,-0.17658488539756864,0.11142321463153235,-0.1677539363729395,-0.01606469492402979
ANGPTL4,-0.003853413059541246,0.02295208178028696,0.008206178848167992,-0.07344206094232089,0.01725047570644705,0.08525931344057708,0.07384449063650668,0.11546657046594964,0.0024885598730219408,-0.012605605520871642,-0.07901659723455452,-0.025669537274126988,-0.033159201714957925,0.148138833518899,-0.09516472563560469
BMP8B,-0.03828189706531744,-0.015007680344467027,-0.018653760346098676,-0.029351960122707063,-0.008234758972885708,0.011581526634796913,-0.0456523956460107,0.045854784266450926,0.024387596775056867,0.03543373905318713,-0.008019207790280512,0.06025066511374844,-0.01912290789761541,-0.05453491921914828,0.14307459509475567
TNFSF4,0.0388466460609732,-0.02334491433275147,-0.011055748149747007,0.05152761566497317,-0.060704226575201706,0.06467772401696457,0.028154970291399718,0.013969636505967607,0.04530184821855104,0.08394746804987425,-0.002072430447113285,,0.06970648040963916,0.08488411977053989,-0.04811740670791434
