,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
DCN,0.13352608626235749,0.045434425959982615,0.03041178929935304,0.04417008529279291,0.030558535575190462
RARRES2,-0.1156226432357236,-0.03254108483728251,-0.04597919244496842,0.007445782762756424,0.037136863420173895
SEMA4A,0.05109752598170289,-0.013171572653872064,0.048504063011564534,0.020300042145478096,-0.060401895047068964
GDF11,0.014721373080743068,-0.029355364412711055,0.010155908266858827,-0.055259167727116656,0.021699695414924388
GPC3,,0.043070538942881965,0.06744994343861795,0.002194656683715611,0.07171013706633406
GRN,-0.14272586560719458,0.018927664061881934,-0.04537448406009764,-0.053388971018114975,-0.03724454198420655
CALM1,0.07136349627735183,0.0527852473835434,0.10449674811389659,0.029692204882628193,-0.0030651786893511872
ANGPTL4,-0.07031445803121619,-0.04163002704606793,-0.023427640718301307,0.0039027852208021714,0.02873805994147744
BMP8B,0.018355620827383068,-0.01695089589670818,-0.00559778659307064,0.04562324927495873,-0.07089910273883411
TNFSF4,0.024475790893279795,-0.015230334538473923,0.0030805661079002706,-0.047109593044407774,0.0374901442621727
RBP4,-0.07088927015442334,-0.013450623927170337,0.02453684932023941,0.05317103612025763,-0.02589194279464457
DKK3,0.07442440780397193,-0.032933236864097784,0.016249021965142108,0.056978537926564196,0.002356488404267892
COL11A1,0.12151218795139244,-0.010083779952770879,-0.05433315136879656,0.024704542678792497,-0.031693435145087656
COL5A1,-0.048477678349902804,-0.02495651669995353,0.01898311829933374,0.025347697351142423,-0.04247647966674914
KISS1,-0.04381968277592463,-0.03062385725954614,-0.02755825502639794,-0.0018239388249590668,
MEGF10,0.0482755298887362,0.01084320650226575,0.02309977320745101,-0.02861425289642426,0.06225087348784712
CEACAM1,0.04534253098917751,-0.025936011595259587,0.048596520920062204,-0.01652755521707875,-0.019537396982098342
EFEMP2,-0.015463697570268244,-0.05851448628991444,-0.02031883153553252,-0.015446869167073173,0.012237796401118104
IGF1,0.04934881761986475,0.017741936178123547,-0.01378663012924058,0.1220827840107312,0.03154900951629994
COL6A3,0.07451867760276396,0.0340434203555843,-0.0672840586725153,0.01078848016398385,-0.024345896933631726
RLN2,0.07158188483926374,-0.0199968565941273,,-0.01716079019728013,-0.017599225777216645
WIF1,,,,-0.019129455465332165,
IL13,0.04632386439289527,,,,
PLAU,-0.10043844684261187,0.0305372051450336,0.04179610366311629,-0.0034985608292217155,-0.01595690751353363
CXCL12,-0.054970781514526904,0.01178940305502051,-0.03672840035530369,0.023011427149547726,0.005144622842598474
MMP9,-0.030509055677318264,0.002246711042748419,-0.0316642368627871,-0.034527779618701945,-0.09939693304617175
TNFSF14,0.04680828632901795,-0.027348789629169118,-0.008072662708341624,0.04409436135243734,-0.008641743521994089
HBEGF,0.0705882654631801,0.006829774275394667,0.009981038457633687,0.03339698313697971,-0.018009909014048153
NUCB2,-0.02059014056304111,-0.026818100135580447,-0.005184660411363025,-0.0329677896341157,-0.049054998548176486
VCAN,0.09843231873771827,0.09139469829785855,0.05633671671417076,-0.024533383004712635,-0.08832088625628669
VEGFC,0.1399017546501234,-0.035491141740877044,0.005529709756728084,0.008891243541809462,-0.0279963493357473
LMAN1,0.03943120198321708,-0.04126876458694437,0.006308349718239729,0.0234139500748265,0.034096534611628204
IRAK4,-0.0505690286693469,0.02183375885030152,-0.01750695111830548,-0.0035956573241094783,0.03166751583407084
MICB,-0.02103762667187271,0.025908833529092085,-0.0018591246483146968,0.09301491068062798,0.05215312048146331
COL1A2,0.0839894308717118,0.026120651413880536,-0.025686042516011094,0.05186202409402056,-0.026471336257901035
