,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1
IGFL3,,,,,,,,,-0.02131514807777848,,,,,,,,,,,,-0.04650329996708853,,,-0.02056657357039971
BMP1,0.033894888630531056,0.03992156257589115,0.07829335365452596,0.03560609434951961,0.06491216104248508,-0.018349257449170736,0.0814037462267639,0.18635981647384667,0.13023543467673795,0.05892299443871521,-0.003532218526866466,0.08585332504510973,-0.10316558359512351,0.11513282906489714,0.05274205213339771,-0.05319610635990535,-0.030275389717930878,0.06582320324788746,0.0029553495638439606,-0.04266415494601997,0.02903626335603069,0.03239351106487649,0.08379257368415341,0.07949923597595987
NDP,-0.007428353216910843,0.14550865643080302,-0.002533493590718887,0.01823594326031321,0.10320146435282006,-0.0007927345970667468,-0.016957126243561115,-0.010462125513517788,-0.02021921845848139,0.007788587180248863,-0.017382888622677346,0.013331246494488488,0.03677573824065567,0.09493193914089426,0.08005905241418051,-0.024810430439582296,-0.02767747040377103,0.1118728949034978,0.05781239593517358,0.1284535838891599,0.016609925180763086,-0.024102473718422522,0.0015304185988996067,0.0022667440948512248
TNFSF18,-0.01871251582823512,0.07437811440253543,0.00847518370782627,-0.02998952436794903,,,,-0.019981839139559473,0.03341331879438518,-0.0025821532067281713,,,,,0.1808632522214912,,0.01600527101578231,,,,-0.027165405208025652,,0.16391831346537455,-0.03469213268733788
IL36G,,,,,,,,,,,,,,-0.037685447411209605,,,,,,,,,,
RTN4,0.08491342469106494,-0.030458082915174576,-0.014257560635882774,0.021491635644842823,0.020653236296536332,-0.0036876203341415126,-0.010071296388889473,-0.28093782142820956,-0.13559571013080624,0.003614356839460907,-0.08773127108076105,-0.12718516432399327,-0.030481991560310815,-0.07941099191083152,-0.07499665981014025,0.09340204828839098,0.015313998245939828,-0.15442091463657653,-0.045500276254949894,-0.04541795001232816,-0.046713791420087906,0.09519324692043826,-0.056980958510781256,-0.021311670246084085
HEBP1,0.03228135499247902,0.04615865271084552,0.03272967658892362,-0.001948613089121859,-0.08266292355223351,0.03388570527042326,0.014640799428632636,0.16745448638310204,0.03926723027879374,-0.017262137288477655,0.01870498274195304,0.014152496937001163,-0.060121989622799785,0.04967217001586744,0.011384534232161726,-0.06107320526571496,0.04735627366003542,0.028560125772705017,0.08710812573973614,0.08481885968334893,0.040026705933029406,-0.043144772017313024,-0.043564287641352915,0.003331712817655117
WNT7B,0.09602799071337173,0.0008621392298173971,0.03633431625696175,-0.01862856289940668,0.10918394223468482,0.02318649027731713,0.0279006521948058,-0.01800867344330507,-0.050648901936779823,-0.005385673509192275,-0.018813592890630226,,-0.028888554336710937,-0.05054720949609184,0.054183348376736724,0.0898619259742755,,0.061683993021238885,0.04933408510988875,0.03951274660927252,0.04953136065343034,-0.022927977490908844,0.1044626038329558,-0.003480004407734897
PTMA,0.08068597278820942,-0.09315416692643917,0.03946850596606549,0.04635527768536925,-0.004268403053473496,0.02127133177381946,0.0868133282358754,0.3635887193891723,-0.06153755451338328,-0.07373614890660776,0.07100019632739102,0.17121684221582414,-0.05165194698939112,0.10640348997938132,0.0327788119316194,-0.1362267004882724,-0.1294540814905287,-0.11388438902348687,-0.07615143434189102,0.035214136265713576,-0.043778887819156384,0.09516933681975319,0.06793284855016005,-0.01230543281024121
FASLG,-0.016485145012688333,,,,,,,,,,,,,,,,,,,,,,,-0.01783738224121971
CEACAM1,0.016980273979678866,,-0.020682944978105744,-0.014296301592682489,,-0.06400064981076961,0.020574014502742124,,-0.0018772728995597667,0.06907012836521892,,,,,,0.19402834686527493,-0.029282884975684403,0.016698026058609247,0.03084206951298095,0.01766701076895031,0.05381436636007583,-0.02849060150451955,,0.04178811402119663
PDAP1,-0.043641855989593484,-0.04910210979510087,-0.027630712016321123,0.061187782151163585,0.04783918286491523,0.014445348002723141,0.05562336237480829,0.1517424406534547,0.10077255381257269,0.011728004676820903,-0.02661953444979132,0.059599735587389124,0.036020126511573845,0.1029859803339097,0.05927568742943384,-0.20415535344674096,-0.005662528473297861,0.009527247698189504,0.04974849963232779,-0.02450856395802543,0.00034815901440269503,0.11188690714827008,0.06816844797003613,0.029264895804267613
QDPR,0.0818589042447926,0.0004843548288906354,-0.003554141137146769,0.0062133392746013035,-0.054682502424967326,0.00805049577784725,-0.08102849028759163,-0.10293930522810944,-0.06695275137819609,-0.027208660759138505,-0.016190721913788134,-0.05900398094296047,-0.04973675917172251,0.04877791070147215,-0.03288578579800513,0.003377754733670315,-0.06124409917027222,-0.17425012310059473,0.12507489131794058,0.02919008724638152,-0.0770556585453845,-0.06587252896697916,0.049705552439869356,0.03196953656142002
POMC,-0.010520755434729018,0.04434730583188467,0.021127655661964458,0.00021586835586966433,,-0.016075457275510307,-0.045809220712948476,0.03662825934212882,-0.037198559979208796,-0.03223973299432717,0.037607396496555534,-0.016607985608330794,0.005810131442022119,0.03185357751144665,0.08135083758267575,0.029834752498932464,0.004653912550497899,0.013016940498016723,0.09646548500391831,0.024461515933530135,-0.0660973024713823,-0.030800587147087163,,0.01040934823482002
CCL18,,-0.013551454580680949,-0.03845452407232926,,,,,,,,,0.04146159169982141,0.022682519291454963,,,-0.0390950259065125,,-0.10098505301032476,0.003600035527085043,0.04035843260272977,,0.02403636689524723,,
CCL17,,,,,,-0.017440840124989664,,,,0.06236428991318219,-0.0028464386196964423,,,-0.01043944619300091,,,,,-0.03676199890841817,-0.05470272649752754,0.0869999426288007,,,-0.01616758351368977
VEGFD,,0.029086284922321876,-0.003261105957659224,-0.020476583773591323,,0.03123878379831337,-0.012619352173349667,,0.020052107674593946,0.006663446153004869,-0.014972798613683934,0.09664635625002962,0.0768238863891854,0.021159998973158477,,-0.01677901914835267,-0.0185534948310982,,,0.05893195785649155,-0.03423788486976427,,,
TNFSF13,,,-0.021538644473446264,,,0.053039591645086065,,0.034454411001733486,,,,,,,,,,,0.05809448453432647,0.07512524689083834,0.05197776754939082,0.014153639725704704,,-0.026343727882192625
WNT5A,-0.07600507924528907,0.06167646005160816,0.03518165766412072,0.005073428453560405,0.03920246766098803,0.059228315473414506,0.06959067443982854,0.28521423188478523,0.09740537674094363,0.016664204734265848,0.0649568186030783,-0.019467868556454933,-0.022423749380473142,0.037219138535094044,0.10236817491109892,0.006445682662577115,0.040762060391506406,0.043853904008694634,0.049043057314953245,-0.03070582114934769,-0.03699937058001737,-0.003615196022051707,0.02414240385846629,0.03792782746232988
CXCL8,,-0.008987810126432069,0.0144166949713348,-0.01917305935976401,-0.09406760958077082,0.019260256234362363,0.05065503503991479,-0.024231071895866766,0.048507547907378504,-0.025759636756560473,-0.007545355383130176,0.18015897785490537,0.11379560065953498,-0.028096684510037342,,0.11153946424836261,-0.04062739980007261,0.1017393098065994,-0.052887929331264676,-0.18444996898117746,0.015456609473099714,-0.050640708176572374,0.011922662411287902,-0.0495042797922458
GRN,0.06659550134342826,0.05561076111466451,0.04353878025605347,-0.0445371356703895,0.0952408442202045,-0.02869854847514682,0.08200118127266083,0.17160805214742247,0.06518678961589996,0.03448452383415206,0.026929995833420397,0.00821934983957354,-0.01136594776895808,-0.04582106293888339,0.05105491173684699,-0.055528841238938344,0.03609524453842286,0.0005067454852846669,0.0005664858501289673,-0.05261675003453296,0.026943677552702598,-0.08626238346969703,0.010642188828967789,0.09385137292944877
MIA,-0.00044090114985775777,0.0021426385999832034,0.036051772388337046,-0.01821044162291366,0.03796181080290106,-0.032653884568549,0.09021110386703074,0.13886653287779713,0.058110437179886794,0.02814469419027386,0.004590409641804015,,0.06836482081321985,0.012402715522808465,0.13072261909893163,0.14410805388621378,0.008050715174486496,0.04816162501523909,0.3077925686449361,0.2888344680829328,0.07484346619062154,0.0174594048012702,,0.01603305499022193
COL4A4,0.05222279515580407,0.08826799517159657,-0.019329033698907296,-0.030624538892811453,0.011031756144199227,-0.037930437835320845,0.0842935078098293,0.017838948867703777,0.016048244520589987,-0.035836450986170595,-0.03691408769220821,,,0.021050050478281554,,,0.012268291595685984,-0.001361240997244236,0.07741375682865827,-0.028114695920954304,-0.0027633398719090884,0.02156376967553986,,-0.04747911028552383
