,MGH258,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.02789457561715879,,,,,,,-0.05323757796935791,,
BMP1,0.05765727928929103,0.027754093569656316,0.0415372466913486,-0.025499078846161555,-0.011012084020775722,-0.044923569194415945,-0.04005963264798163,0.02723926906258565,0.0202849318471783,0.002998302440526071,0.04666431272617107,0.0563353960340544,-0.06571852506451391,-0.01715405405265105,0.08227197608247404
NDP,-0.020394716483044036,0.00513745438186037,0.03672664290789749,0.011101334619918425,-0.004659095503840022,0.022683249680523238,-0.014865369194121614,-0.029406741896644165,0.005659221781954552,0.06502082635840736,0.013372615252359896,0.037115277591168845,0.09493096324350256,0.10516255208046377,0.001875041279470888
TNFSF18,0.1598394370354212,-0.024830504610871256,-0.03570016363314115,,0.0674278249225752,-0.022287764783241966,0.022983010897220265,,,,-0.029395979682640745,,-0.033795526755800616,-0.029753368984041625,
IL36G,,,,,,,,,,0.03742169263059804,,,,,
RTN4,0.06441719316005445,-0.003803753934551059,-0.04093834782905959,0.04733065652232977,-0.037149393111722814,0.05036713174030611,0.05358216500062328,-0.025172516734005605,0.05002182941435456,-0.03676608694133987,-0.023174932225505332,0.005519093284996717,0.09737006718821586,0.04632670691674299,-0.015555555869237925
HEBP1,0.011590431350874501,0.005350616632405777,-0.016335808169888708,-0.047896277906009914,-0.00684056863167953,-0.03859425309866644,-0.011680143106235616,0.004247782145649241,0.0006914898103264737,-0.025940065689403345,-0.10301677875698861,-0.006233738730498819,0.00600475832622151,0.04569411822962131,-0.021127267184706453
WNT7B,0.14005489321238296,-0.007761895384055073,0.08104417432751009,0.022214661479095163,-0.041908885524390246,0.0075793341649549855,-0.035009262273232304,-0.012332312690747553,,-0.011636132701306636,-0.032362104423942196,0.020528568904778634,-0.05397422987778349,0.0765916063158237,-0.029717653562285225
PTMA,0.09763709746869248,-0.010966578035748712,0.009732923298346689,-0.08535654533277365,0.057588971376810294,0.14953113284406241,0.03390383687036985,0.007954522233620023,-0.05991656681583442,0.06317021829771274,-0.010786915096343367,0.06799017472928509,0.08792290000779011,-0.07002784280648042,-0.057559210149880545
FASLG,0.03984514138124077,,,,,,,,,,,,,,
CEACAM1,0.13369948020310624,-0.01580393568753256,-0.017018619566803284,-0.015405850509780075,,0.013290488493197743,0.0015373656961424943,,,,,0.022838281427655757,-0.01983542286243587,,
PDAP1,-0.017482100727807356,-0.05508723749194005,0.06990137342539453,-0.06226102001304616,0.0723528473899418,-0.06536104327795077,-0.022598092193978733,-0.018918965334088902,-0.006758495295497614,-0.01020917965336241,-0.050940204746981216,-0.0580326814255212,0.034750935101910164,-0.0025832805447235474,0.10781519468752916
QDPR,0.1804871931414812,-0.043118067330751686,0.015004169839921026,0.08681458551309619,-0.010206907314792636,0.13377300557017213,0.03817111127005054,0.01804254246726894,0.03954405713068687,0.01180359102868085,0.008576115385059334,0.10509634203709432,-0.008139271963047303,0.05009043589821889,-0.020050187562819916
POMC,-0.026985040668255442,-0.017143061039439782,0.03443804418684145,0.020406305448372495,0.025819774858545638,-0.025969575156452946,0.09640640125700668,0.03733143823446603,-0.013221451426530131,0.02294257550294558,-0.05619923353403821,-0.009952033305203202,0.06379010320777308,0.09227414663974087,-0.03197257916897985
CCL18,,-0.019721818518551773,,,,,,,-0.027370092811983993,,,0.00020420639861604874,,,
CCL17,,,,,,,0.011662704849306378,-0.015263946019111355,,0.0202816414858162,,,-0.045816895070543324,,
VEGFD,,-0.019721824781152864,-0.011263052035249676,-0.014739445516870965,,-0.04673089670471804,0.009483434781196063,-0.011196288998412855,0.11827454873567972,-0.0068448539248715775,,,-0.003021878345999483,,
TNFSF13,,-0.01488272184950288,,,-0.01671957010718525,,,,,,,,-0.014091641133201044,-0.0323674214434222,
WNT5A,0.0028245522925908983,0.04422996491241284,0.012219237539301108,0.004292052472054592,-0.04633832403837263,0.044841502181562916,0.048668264297149086,0.015255268296821414,0.06958199725598291,-0.0039201405055892345,-0.0562437239386328,-0.02385842246491518,-0.0017986925655534588,0.0052104612031943906,0.02409548863999596
CXCL8,,0.07465767963239861,-0.022824015082514453,-0.036543480958960706,0.05430268681427077,-0.04949589075719059,-0.04144683173641942,0.016638869337924696,-0.04366353242642092,0.009999342220655088,,-0.0694061178943727,0.047689210905305236,-0.03178212344380187,0.03630345817459385
GRN,0.05704240208458944,-0.01723372573808383,0.07905360689923398,0.022794374067704334,-0.0019726786265367685,0.04117715322417961,-0.014827787823761509,0.030332093096381685,0.01036468159195747,-0.023665669982752664,-0.0931176261117049,0.0417748376052344,0.04212002840189209,0.05265803062350539,0.03805802667491791
MIA,0.0524186253708568,0.023939061771827943,-0.006915038713375477,-0.04472457061116557,-0.0302322073103562,-0.010722219982222862,-0.035992454475383046,-0.012733420819186759,,0.004636360317281594,-0.058649700553501924,-0.006653181849179449,-0.008369506627509203,-0.008798978161330451,
COL4A4,0.01026804855707503,0.005659078333682298,-0.036456098344504494,-0.019041088507691022,0.03108174958189324,0.030640771292835906,-0.01911828193138455,0.03186622097852262,,0.023594127030350045,,0.007818538309204738,0.02865279371126813,-0.02166451903221834,
TAC1,-0.027739780839175825,0.0895535411732697,-0.006426370451837815,0.06857501243416264,0.06423861019757696,0.010534563089900013,0.03635969644861971,0.02339789357023478,0.04289385973057464,-0.007426359756271654,,,,0.032585657745367994,0.23336244549889287
RARRES2,-0.15055163497263827,0.02274020248140284,0.04470757116960651,-0.09682971914388297,0.005649667933933542,-0.039696877091648645,0.010795364393221145,-0.015600070491128847,0.025994317097603022,0.03145969012958077,-0.0874559189315655,-0.020621551360701207,-0.009528214066354412,-0.02023236660551092,0.03723359784820521
FGF7,0.04744242698204327,,0.020064621538016497,-0.002918683675186906,-0.021311944149864454,-0.0326685094566521,0.03524279739396818,0.012010579474636879,-0.04360585739387651,-0.03508254442366604,0.004824569670655768,0.04918871676298963,0.00595791940088482,0.03644610067868733,-0.04507135167861288
HBEGF,-0.02635482226638044,0.034756675331422994,0.04981761595658172,-0.038499730794394546,-0.014900131148183896,-0.010674919791882738,-0.025586171854155272,0.022261776208148787,-0.014480136231996888,-0.014189217667768839,-0.07087960266992757,-0.0423753719985909,0.07744110411496954,-0.03969580767344931,-0.010372007859502139
CSF3,,,,-0.04910794842672421,,-0.029081810672109836,,,,,,,,-0.038052481129417746,
PI3,,0.061666912593468716,,-0.020544845437062323,,-0.03274650265514967,,,,,,,0.0159311373073577,-0.05163754779481596,
PCSK1N,-0.09475654815423229,0.005343760217418499,-0.03563311981058075,-0.006092347577034832,-0.0007143811143015846,0.025734957721403617,-0.005594872112608076,-0.04771545526686622,0.060065047876383,-0.016624736152237616,-0.027218093677175342,0.10573009075223383,0.022264098892928533,0.031329495649864834,0.006049276571949085
NTS,,,,-0.018039155837340535,-0.01941997090087463,0.02988222099447611,-0.00922054605574516,0.006731460823066709,-0.001388092694577907,,,,,,
SFRP1,0.07355329873388691,0.029155966209652735,0.01128760460358442,-0.016815154804329786,-0.05157465427405014,0.03557364149885533,0.03935515047006197,-0.01526394617283183,-0.02124892418704822,0.015484653429370861,-0.055556366130434465,-0.010638590874221702,-0.06498687510855342,0.12523240194742785,-0.025034023197038683
CXCL13,,,-0.00033600542643025114,-0.016664033150427107,,,,,,,,,,-0.030865731203999488,
MICA,0.04537657472180117,0.03108873139972247,-0.0054397213739481405,0.0009003757489051574,-0.031612481475088,-0.0462009510565013,-0.02807932271785087,0.022399229219027792,0.052436115093877966,0.026898518949862765,-0.06347741532207474,0.04351914608469666,0.02800526705810229,0.01574265503837323,-0.0765092531449932
TG,0.08188186904352408,0.12486013746886401,0.04606489094002014,0.005142344795178154,0.043982716211096715,-0.03509914359051565,0.04054134608887227,-0.0110464514484964,,-0.02465111502479967,0.001283877682131113,-0.01602969900982263,,0.025714712132085357,
ADA,0.055532056470442626,0.023435285743466806,0.0977409562404801,-0.006411834014062085,-0.017383093496098415,-0.06130925445691191,0.018131205300971308,-0.0017711801018884623,-0.017080452601035134,-0.03343714438957217,0.054168956553904524,0.029003880296480166,0.04189208631794819,-0.0063531270404754365,0.045089378843306924
LAMC3,-0.03594236873135476,0.03771061200653895,-0.041152482349414744,0.0156438830031539,0.07632364385352368,-0.11326148073625852,0.004062255560367228,-0.05343838172830647,0.013711510626532386,-0.05225048317388937,-0.04765370951583498,0.0010159425270461163,0.04891924755559452,0.053664371164337296,-0.07565744907149631
CCL7,,0.0956536507080184,,-0.0220934313252326,,,,,,,,,,-0.018072168188057004,
NGF,,0.10416864914426054,,0.006858910739967442,-0.021390652845759698,,,,-0.01337348487017363,,,-0.0585814540777009,,0.04275103910788318,
TNFSF15,,,,0.005496085925740062,0.07388772696717041,,,,,,-0.03472434310517213,0.013990326633740979,,-0.01773629384021656,
HMGB1,0.07963404832684116,-0.04287371767820261,-0.012213383154535982,0.010775315193713497,0.019521826669931554,0.06828089712210741,0.03913614601888795,0.00693486791034248,0.013331507455829504,0.026639872849503136,0.09493238154236687,0.059655346088491656,-0.04310976533841901,0.06098371465572758,-0.006743852865412987
