,UKF243,UKF259,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.05563966458750907,,-0.03926343737363947,,
BMP1,-0.049512483804245486,0.004938766834389855,0.07683704282971034,0.058870436179884515,0.08670511944716253,-0.033722941339116005,0.01817297377226703,0.12161058257061388,0.052508578664779156,-0.019619277821527878
NDP,0.025629161896726687,-0.04720030637236803,-0.02975261634269653,-0.03753581252925562,-0.026890131056935815,-0.011397347393936856,-0.012771284847608096,-0.008822641679522092,0.018620014280512985,-0.029666322179105187
TNFSF18,0.10628266871243998,,-0.03394622188048278,,,-0.03077366448143637,,0.024120861323371465,-0.02965486341418759,
RTN4,-0.021819620048887572,-0.019144341913408313,0.06341835071849512,0.010771935836017548,-0.05528719291351642,0.07209549349507599,-0.008844649281567897,0.013535345792250367,-0.05450291560269934,0.021659151022775665
HEBP1,-0.02960323250886201,-0.007404941144997679,-0.08381361287310622,-0.03616748603331334,-0.0032827578795263323,-0.019507866098134208,-0.10793585593081431,0.03149605296658491,-0.006213635794041265,0.13129083229708155
WNT7B,0.014992209992390539,-0.021402241224344323,0.04140475695693703,0.020786462288447927,0.00542387241895592,0.007472093720962286,-0.022872895562250816,0.04421219062594405,-0.007412863356967513,-0.026249909117578785
PTMA,0.007122863572012655,0.04064644323579501,0.07084121455428707,-0.02351076497116642,0.008350335371278774,0.044661162204544184,-0.039651711020841765,0.0720644009843604,0.041356722002442795,0.01426159661219426
FASLG,,,,,,,,0.012828635751392517,,
CEACAM1,,-0.024713452685807855,,-0.022498122614057613,0.10955065973255833,0.027600579858878718,-0.015181073441207282,-0.0581056066173906,,
PDAP1,-0.02211122624913247,-0.03721421291901,-0.0721660685606592,-0.06382931124183668,-0.043466333123570684,-0.01794045259508568,-0.006002451646669062,0.06876718668150231,-0.06560585290109812,-0.010644827933664659
QDPR,-0.023483855462437152,-0.007304336649935633,0.032848503661139866,-0.01250076983410308,-0.043556398699599055,0.012047347480168433,-0.015521977695611061,0.07281425756345024,-0.05609550611624178,0.09465107721878521
POMC,0.06777274555669646,0.0034681787241274075,0.004893446375697762,-0.015732661925492622,-0.03090968779194187,-0.04364292816668828,-0.024834241878515226,0.02107576925647645,-0.017567062343280912,-0.016436430155868015
CCL18,-0.024639292207299327,,,0.09958601969586899,0.0763893638634586,,0.010904839609918913,,,
CCL17,,-0.014324222843092193,,0.038923750009383466,-0.0026036791577703847,-0.03934257094406606,,0.03157114356541981,,
VEGFD,-0.027761280628167705,-0.01595876606712924,,,-0.021278057039384804,0.03647141574062094,,,,
TNFSF13,,-0.00988052833159138,,-0.030627393028005552,-0.03338747137786168,0.005611781992907586,0.1364163260437523,-0.0134225300259989,0.03628384640122512,
WNT5A,0.061673954217842775,-0.03710138221067173,0.059640586152059985,-0.013735053995759874,0.08002841005068681,-0.036651702391542355,0.0020002522170634585,0.06578406264193094,0.08362109538997327,0.14245301293816168
CXCL8,-0.03313061436273512,0.06464155844673446,,0.09202447252120914,0.1687898503241829,-0.02689547244188585,-0.04044418451063377,-0.007982802851860305,0.11985076957065853,0.015075948883120964
GRN,0.01877056097520154,-0.04224189788259805,-0.09072740091824806,0.03898525291779844,-0.01331934778983785,-0.03675130050876746,0.08189247116195209,0.08409692217820243,-0.004939385174041565,-0.055013079858334445
MIA,-0.003717086264184251,0.008181407743321677,-0.04933831302932719,-0.0473347434506543,-0.05120535605642252,-0.08351182750967746,0.06046105288718766,0.006868573324148022,-0.034610795325276514,
COL4A4,-0.02794657387770118,-0.03452331150561907,,-0.01864076320241774,-0.034069496333917565,-0.0047542051575747615,0.03260365731616597,0.02973670068747293,0.07262377038083363,
TAC1,0.07059745810907675,-0.01081864069040146,,,,,-0.026191676508121407,0.06234460661962466,-0.007220724464310588,-0.015069155201064752
RARRES2,0.038093692646247894,-0.07145856546413479,0.016700874881682832,0.09103800046444688,0.056645868577737304,-0.016548511554726624,-0.036388602005879296,0.016314221325336862,0.052103081209759795,0.021434997257441128
FGF7,-0.02807709855922211,-0.02539101403166657,-0.04962979955945487,-0.05618727906320775,-0.01131124882448166,-0.03725283380750761,-0.003216588603912462,0.02048716636826168,-0.026870279668259063,0.061043224154846414
EFNA2,,,,,-0.020223369222881826,,,,,
HBEGF,-0.04028451133985686,-0.00815094563759413,-0.060584643106018986,0.020080562556087107,0.07333875600180606,-0.002451421608094263,0.04566858755694962,0.022531968625968356,0.053199541636733794,0.057702908726088215
CSF3,-0.02794655175231516,0.06932872402902639,,0.09876080247806858,0.14080326736769358,,-0.004049543875831258,-0.039852851968607564,0.043978687580350666,
PI3,-0.033106857967895045,0.07103384097142924,,0.09611948990830813,0.10556476337180298,0.01331648204963094,0.048553519493874986,0.028756142747677713,0.05038357489667493,
PCSK1N,0.11469819411716477,-0.021870650645826474,-0.00684609675588898,-0.08312763726595672,-0.02907691301558968,0.03087202883381749,-0.010904872373993056,-0.08659264484943179,-0.0806949066209481,0.009566048795173036
NTS,,,,-0.03723611917203083,-0.02463833774229643,,-0.03387618001731265,-0.006150306878197628,,
SFRP1,-0.04314985494735987,-0.012498438113241788,-0.03779199752243719,0.020962897209946096,-0.07080883574404057,0.006173968148516799,-0.014171233391638526,0.05719913606953026,-0.03481762436760612,-0.01709724913555459
CXCL13,,,,-0.035852417588352836,0.03908825570818927,,0.04264188148336797,,0.004114583141858244,
MICA,-0.06748953245745262,-0.009890373323972086,0.04004451278517265,0.033584132327617526,-0.016682066105957013,0.0009748569391616483,-0.06819770315257538,0.06682776938136327,0.09245513632774649,0.09327458165240844
TG,-0.022277862345516677,-0.01348779490477597,-0.043503668431078994,-0.021208615753031953,-0.03034480630466479,,-0.017912223711658147,-0.029022559536132593,-0.0359293826652493,
ADA,0.07874933568814756,-0.04220099693845996,-0.11542525427440259,-0.022877413643951995,-0.055929913381609804,-0.0015499245668102396,-0.0021029110117950296,0.10677182500889977,0.025036362123888926,-0.02908559643169733
LAMC3,-0.04568505511041792,-0.010154608855611631,0.051506944087540134,-0.016549490270538227,-0.019733096466882767,-0.037348683905406244,-0.0041413254007288324,0.04375138022483406,0.1087673215544918,0.0632001620350803
CCL7,,-0.009751654166307836,,-0.023922353157067228,,,,-0.04176192573923876,0.030027403653910913,
NGF,0.23391762984678183,-0.022343530384426803,,0.03877806367424488,-0.019951533117023513,,-0.027199770873301325,0.08216204555194166,-0.0028502738174931157,
TNFSF15,-0.019918702606411504,-0.010858943861479434,-0.04009936965626225,0.01330411676397457,,,-0.013515158843524692,0.0022315802548726876,0.052961234153503664,
HMGB1,-0.0124148189211686,-0.05649406903145947,-0.0617598904241071,0.027920216597972104,0.010823326549894326,0.0201816579696324,0.053012835575519626,-0.0716744705065257,-0.11459798301016874,0.05348748399191404
ITGB3BP,0.015586232641558595,-0.027866734154676016,-0.06179671160810744,-0.04140800742965138,-0.014147610542423982,-0.04188441021459603,0.05037302278586865,0.06477319323634631,-0.009136961891366558,-0.050997452444816425
AANAT,-0.008662754366111716,0.019673313829786754,,-0.02098665376778577,-0.027215177562734855,-0.002889972410761012,,-0.03426369611533495,0.0006650079610339886,
RELN,-0.0277612662189141,-0.017150386318741873,,,,-0.023123954327078877,-0.016324847213751142,,0.09259120674645208,0.050785025759025826
IL15,-0.02831409193003505,-0.03429502351753416,0.015904767958011667,0.011085825731706333,-0.02977315239092428,8.439049368031e-05,-0.03296763199202402,0.020452884619162597,-0.04489960232826114,
UTS2,,,0.04165731658554851,-0.017871671645845345,,,,,,
BSG,0.03503970937229634,0.011764288337937153,0.021914114868890975,0.08813771153762254,0.02830690462527751,-0.06959152764740989,0.03167361840581906,0.07724027019527437,0.1411143059208405,0.02775448880255453
ADAMTS3,-0.01792976082002923,-0.007074881670670816,-0.050846924128078355,-0.012585936704014172,-0.03662649768540693,-0.02799228048683713,0.02387957057728266,0.035591409786518945,0.002610164135828899,
CD34,0.07976326936595272,-0.03179698557038985,0.006426068635625951,-0.07294233152268004,-0.038192147107117096,0.03664423015879998,0.016189868028943986,0.077795124460518,-0.01701517597434386,0.045155548710325455
CCL23,,,-0.017794609073965947,,,,,,,
PLAT,0.08758204547608717,-0.052266407404367055,0.07343544133669137,-0.050703411861215325,-0.08177214889995707,-0.03177586034419944,0.10423405568420135,0.08583827230510917,0.04826694667420394,0.0654148895030164
NTF3,,,,-0.06633635949573437,-0.07429623735592311,,-0.016696393699907528,,,
LTA,,-0.012498437528545209,,,,,,-0.0295939464285979,,
CKLF,0.07818667759652376,-0.019191575669639964,-0.14125802401201695,-0.07881625788445923,-0.07805658108350386,0.022119362494673247,0.0033755469430356098,-0.09284801104219972,0.017312532399171063,-0.08069304309476034
CD24,-0.08882481476066464,-0.04026554725632002,-0.05536060873229364,-0.09428224472254058,-0.10489613001679775,0.0036937384060237786,-0.09046544977434247,-0.024200582852859205,0.055706034094750924,-0.027042162155717607
HSP90AA1,-0.056021764375132906,0.05148475910437265,0.07362878940171397,0.1027160174914013,0.14259052488509422,0.05454752203077806,0.010582670434093687,0.021113828374979385,-0.06733918019601037,0.19286999545213201
BMP4,-0.017887894826965924,-0.007251742027240656,-0.029853565559790633,-0.056261636741001216,-0.06697916453134573,-0.05943737118124555,0.017665758740516697,0.12334419844242296,0.01081603016336465,
SCGB3A1,,,-0.013939768551664908,-0.03641083281977745,-0.016605373050770984,,-0.0008011657206552615,0.023909044406801912,0.048682305243282514,
IGFBP4,-0.0007214167293517903,0.02098394741135617,0.03877194533420191,0.022065972056156923,-0.03412489628807442,-0.0663131563389081,0.043872382212532875,0.13532020681843945,0.06882638015897742,0.042068048025851235
RSPO4,0.03894300084887277,0.010377515080943438,,,,,-0.018901741661603803,0.032005767255117536,0.021684604289989,
LEFTY2,0.02301028793794829,0.008028988686662802,0.05746140225327006,-0.02030736883778371,0.09946311046133775,-0.06017575538417678,-0.025705119900177518,0.10031095026187062,-0.0008948052511539966,
PF4,,-0.008508126141060888,,,-0.018536118021848173,,,-0.0084928134420872,0.09524654694582081,
