,UKF243,UKF255,UKF259,UKF260,UKF296,UKF313,ZH1019inf,ZH916T1
IGFL3,,,,,,,,0.03176260427582417
BMP1,0.0024890080533356,-0.011629226481137048,0.035049145010299605,-0.011889839194348356,-0.014662046314333054,-0.07226932126126055,-0.10494980835365773,0.007668759441924217
NDP,0.06446342842833985,-0.0019099475191045514,0.0020339192694146203,0.03257259213453674,0.011523870391928337,-0.04323562281061124,0.02239712489416362,-0.01427835972753041
TNFSF18,-0.022596685206683616,,,,,,,0.02779547637608843
RTN4,-0.07194424659027826,0.0499341827879385,-0.016925284343756463,-0.006737450707939714,-0.00463769516802961,0.07834712789943388,-0.11874718710812505,0.027357809984021153
HEBP1,-0.009921624061752973,0.053369750427134946,-0.008907886610224455,-0.014173614974362144,0.030324665532286656,0.1102338423538023,-0.001971233308151968,0.06769306828741556
WNT7B,-0.052740914460945316,0.04441303489226966,-0.01285308264542617,-0.01787584736320664,0.04353469215784144,-0.003299314315088296,-0.034052709936003844,0.08136791327212885
PTMA,-0.012090730282774223,-0.08384359968167755,-0.030504709683563037,0.014234330935409418,0.013839006654580408,-0.13572996031234144,0.006656370318347734,-0.04636864099867351
FASLG,,,,,,,,-0.014834675121526699
CEACAM1,,,0.02657803493518483,0.0863376103801864,,,-0.030539015704721482,0.01995633362009787
PDAP1,0.03273918238658521,-0.031921996901378494,0.002402358365852243,0.023344694909277125,0.030875702355967382,-0.1169578748209416,-0.0251555651703837,0.047438130681845554
QDPR,-0.001071172081553424,0.02989224469712592,-0.069154820892418,0.012406396299476832,-0.05825152999999052,-0.06727214380044498,-0.1226511555948762,-0.028748365435632407
POMC,-0.027939323936232552,,-0.026829559632772136,-0.015620203663173161,-0.039405964055669436,-0.012071550554897975,-0.007319891884861531,0.06645704174080863
CCL18,0.045526003167989965,,,,,-0.11181165156194112,-0.02165266424423117,
CCL17,,,-0.016698955183637884,,-0.01813410117287823,,,-0.013445966772607471
VEGFD,-0.03414376508904238,,0.012527712105193708,-0.013932180235994145,-0.013301582513708506,-0.011665994342905788,,
TNFSF13,,,0.03786263355474398,,,,,-0.021909080566718257
WNT5A,0.0010279318586546736,-0.04923586180543671,-0.011379743297574263,0.06013844050194066,0.034600169959110354,-0.06614367530224151,0.12347999005405613,0.03260501522960973
CXCL8,0.018423840857656318,-0.035808880731573664,0.005314831177932525,-0.046346731151008846,-0.012387012008801192,0.000909886120260138,0.34182108440225206,0.06377160567811821
GRN,0.012696676257766607,0.01284238983998953,0.025028264316647827,0.07216234090861645,0.03674657203205388,-0.03065635465565842,-0.10081863409367647,-0.07374147033178474
MIA,-0.020309328215187945,0.028642769667339182,0.0065714083058449075,-0.014234745415309405,-0.015127748822149583,0.007699458834945575,0.0015781387964023746,0.054260106006586116
COL4A4,-0.034371658364910816,0.05942810092306598,-0.040246737148544126,0.011977808334374198,-0.014381978800028537,,0.2015194544231675,-0.005615209894341192
TAC1,0.018821084705419003,-0.025281038450254378,0.026485951780912415,-0.015261492072165327,0.005903411587180955,,,0.07822883594490866
RARRES2,-0.031698272084470194,0.03813744004644036,0.038349674774514945,-0.003384356199402798,-0.023555272853767545,2.1522925719111673e-06,0.07904862048074435,0.06102464581499239
FGF7,0.02525635067718789,-0.00672084507288321,-0.018599645887147954,-0.02667607328418973,-0.0015397128132699823,-0.07002774024036644,0.054000621970690645,0.023598172368463982
HBEGF,-0.03760761608322218,-0.02311045873348954,0.009214433859098096,-0.034168665101424564,0.08296133233774558,-0.0669507232332804,0.1024863187819319,0.019018085207992284
CSF3,-0.017961117712926432,-0.030964994673363312,-0.005192341095074463,-0.03721751880980698,,-0.035851603407177766,,-0.014156528726355616
PI3,-0.04071832263188742,-0.059304589327478376,-0.008394919880276866,-0.042738315143224605,,,,0.03676076739080652
PCSK1N,-0.05050486125417292,0.008311010426911795,-0.012996573704032564,0.06519617500076492,0.0044290269082370975,0.047239262067965145,0.019403799269524766,-0.012920263004981404
NTS,,,,0.008847981557617403,-0.050275064363675265,,,0.12072889257115575
SFRP1,-0.028985088488442723,,0.005281936904342534,-0.01589420491848997,0.030530481837613026,0.02056587503562587,-0.01148225356762766,0.02153480354760932
CXCL13,,-0.022484249997493277,,0.054194463669539325,,-0.03677304870192888,,
MICA,-0.020503101228445095,-0.04000994061033861,0.004148026752418193,-0.020901571370766897,0.04391320064584131,-0.0038965434046684968,0.08048757794857546,0.013612826423736046
TG,0.10108403961110654,,0.05806959798922249,0.040089894996244116,-0.013123570269281072,-0.051607977180446456,-0.035255599736090576,-0.02760793126636812
ADA,-0.04051964484166383,-0.002776037471126086,-0.0072171867200224215,-0.04025650421692838,-0.02131373351553597,-0.07886807504428359,0.049997632469690974,-0.0012858501356045973
LAMC3,0.052024581684246486,-0.007153979168842692,-0.015993535901133938,0.05582453652054497,-0.04630159877872767,0.004149962153773107,-0.09740504385217108,-0.03341338765821944
CCL7,,,-0.011368326063709657,-0.020883395301565216,,,,-0.014834669846493296
NGF,0.03990444301308285,,0.053372133265470634,0.07892315006869408,,-0.08218212043913777,0.0594640823347889,-0.0444145544105481
TNFSF15,0.07396987827708504,,-0.012659187089645982,-0.015461995015093526,,-0.03308507744084847,0.05589291770354407,0.009727215452513717
HMGB1,-0.04681482776750573,-0.07683049360773393,-0.027074779052438897,0.06417438408382696,-0.02792085308017166,-0.13618851883422778,-0.06697664934078232,0.05546161235618274
ITGB3BP,0.032184224946970146,0.06342697235939737,0.012256532399395432,0.0480101642937941,-0.011651642293600514,0.04746785281329609,0.09933328407771662,0.07378585558721586
AANAT,-0.0013741274539381797,,-0.011518566781375214,0.1695757026417293,-0.015127749663593598,,0.10108703244995608,0.08851866062566806
RELN,-0.03414374736701518,-0.034871315223575734,-0.019993652406549874,-0.04194242668783528,-0.007011241613074178,,,
IL15,-0.01756005801252313,,-0.0024355603110779557,-0.0024989965936855893,0.08680982769679073,-0.06713134506575337,-0.038123024105082136,-0.0007160474625237906
BSG,0.06889567500035935,-0.016501593323405717,0.017967817604963177,0.025802836750612585,-0.014863651705053018,-0.026387627156597312,0.07052211762969375,0.0641736137323788
ADAMTS3,0.022997037750248445,,0.053680291779934775,0.009683551905629306,-0.011714396639984135,-0.026657705722270112,-0.027003912641319728,0.03616566883310704
CD34,-0.06810460546869307,-0.05134336859464215,-0.004968666846294796,-0.02410242416141929,0.046893038946266355,-0.06796180231859937,-0.010147559839906515,-0.03905309918978859
PLAT,0.012914165253226738,0.0034645854873426,-0.046396638669898516,-0.08086500258400428,0.027550850798604046,-0.054889039311115564,-0.10628336592899278,0.013973786707112008
NTF3,,,,,-0.024419796750140412,0.02727359188907987,,
LTA,,,-0.014570483190669179,,,,,-0.021124045907105506
CKLF,0.0013433463847723663,0.0384690947645734,-0.00808289677565557,0.04277317147665559,-0.015611828943088978,-0.0882405406060909,-0.02203005162311182,0.020245718695582275
APELA,,,,,,-0.001213991499580602,,
CD24,-0.048186555865004074,-0.03652516601122443,0.008247815898978841,0.049576680197693304,-0.022924712082017868,-0.005355358394652197,0.22673785919087155,-0.007387725194942493
HSP90AA1,-0.07389774699050106,0.028192750306804595,-0.013681374561402566,-0.0006303634773192522,-0.019022140470591677,-0.1027382157873589,-0.13340998607180005,0.01546418762488578
BMP4,-0.04285739718360325,0.07873758925746854,-0.033994686398069025,0.014956484095085936,-0.004319045480992681,0.030257190634737433,-0.08770939580948738,-0.013794652363709352
SCGB3A1,,-0.00019133004393890785,,-0.016591509107489973,-0.012760404801062983,-0.008318636071496934,,0.09235943818038055
IGFBP4,0.03959342918087594,-0.0442992770485682,-0.008653126834998257,-0.008124678160163585,-0.009199369876196862,-0.10135911185601738,0.015655582966177972,-0.012322933855688766
RSPO4,-0.024190751937143058,,-0.022302677277834804,-0.019149298545510392,-0.012760402934565119,,,0.030767149675851948
LEFTY2,0.033704702844497156,-0.030094696362971882,0.003294891314752754,-0.016343607042525098,0.02692251580133257,-0.03740896159472402,0.02045182397211899,0.06255699778249792
PF4,,,0.01948887989573352,,,,,-0.0211240410188446
ANGPTL2,0.012474133666609679,0.03663606942746732,-0.005798205644335656,-0.03316162276991346,-0.006580404449934836,0.07700300667578203,0.006273955176510639,-0.0013549809098305817
LRIG2,-0.06656757538445884,0.03378055797220878,-0.008083533377864533,0.01582414968000164,-0.04326501555918486,0.07540732256648762,0.08542697186885914,0.023151486152277266
ICOSLG,-0.029295298380518826,-0.011688523977824791,0.002584689507479133,0.006682669579247491,-0.024216861867890044,0.013035702860243715,0.0049866652126502355,0.006972821909431781
WIF1,-0.012188483040093092,0.0372352063870377,,0.05831650048407259,-0.024012436341874343,,,
NPPC,-0.024458681579227273,0.09200047479740629,-0.015386257448878933,-0.03340447585200452,0.01398169172882927,,-0.027003860778688465,
LYZ,-0.019204860274434965,0.0061993097731420305,0.03302796001760057,-0.013431296469352186,-0.007632042742477808,-0.04194562368538793,0.03916235814460277,-0.04668812948477021
EREG,,-0.02914001105431909,,0.0013337498716630542,,-0.0252391372040794,,-0.01819818013295966
SPTAN1,-0.040079744152467935,-0.0011933384035283804,0.02266638631380539,-0.01777510540246622,-0.025378560472550903,-0.03917038455353008,-0.019350988575885526,-0.0022287843457634085
LIPC,0.07129671373208633,,0.06332870408374228,-0.01853967278628435,,-0.017035064061259805,-0.055484145431920415,-0.02670878324924849
