,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.057277445611916625,,,,,,,,,0.01566428949324708,,-0.022546142078145634,,
BMP1,-0.02305324108380774,0.10834113618626282,-0.05358272243314673,0.0037248743785312137,-0.007833647281394348,-0.05914586488410583,0.08373878979037166,0.6019098365434287,0.006637126271886761,0.033548459372690465,0.08566790939047113,0.043700495960239144,0.029755867367737065,0.14593119368754384,-0.07496365711720666,0.05572055371852648,-0.005393244875005675,0.12042310185873446,0.017236411106638046,0.05160457476836844,-0.01014467176192651
NDP,0.03246380609467234,0.09983255708277926,0.007070743160358194,-0.013212078428156505,0.03989782258140942,0.07003566971953773,0.05270575453985113,0.1405861824873377,0.02589399030821695,-0.0014249257769134924,0.07159263564651906,0.013299537842107589,0.028222488709910273,0.07067506617894476,0.049462963393764554,0.15966734679051597,-0.0467208259516552,0.0451367376760906,0.029989207577788415,0.09078073707666273,0.0134012870391194
TNFSF18,0.18397350321579062,0.021239038977325084,-0.008082621108001398,0.022590185644563547,,,-0.030495687958574963,0.10124547058844621,0.02606107859433218,,,,-0.03724798352932602,,-0.04352264992188198,,-0.0701393993295201,0.05394626212497792,-0.038031310849384166,0.09411018341963709,
IL36G,,,,,,,,,,,,0.02719765613863558,,,,,,,,,
RTN4,0.07206322765120109,-0.11478159193445027,0.046749985523896614,0.013433016597124026,-0.003411585829122438,0.05452900604840159,-0.04951239170718781,-0.7809304187586384,-0.02130326809357138,-0.02360258834335902,-0.09945878874497104,-0.09187847599994753,0.1625469802623453,0.00549009678561141,-0.03385277365774159,-0.09091622399848849,0.0365692812337486,-0.010866380805631647,0.037035193927168586,-0.08002225118375568,-0.0688560224365595
HEBP1,0.024982664986783025,0.025906012970628976,0.06028164777881194,-0.015746784011852775,0.08369498331508832,0.0018250671304726198,0.029092833528836532,0.27528347143802817,0.025447548858621275,0.06896915283608536,0.005289257362951637,-0.02871157008594274,0.007655896851922669,0.09231279113321882,0.059794782021090134,-0.030059143422662984,0.06108884929907375,0.029208795312493364,0.012172623184094504,0.04366639238090503,0.09070579536559113
WNT7B,0.059704929763876154,0.039783463146607245,0.009957454646742487,-0.026351175419690925,-0.007229898664822252,0.054558259995759945,0.02960502675163658,-0.29831686790497675,0.002302079775572313,0.010729534956481407,,0.0074074799961926785,0.16225162281969777,-0.05544845945800909,,0.034676636872923085,0.0409341055764926,0.07777910749346634,-0.030678965251050436,0.043681885461679004,-0.050219478775518515
PTMA,0.11297831946891965,-0.15651262026752993,-0.011808280149666303,-0.05960844499509096,-0.06213510448650216,-0.021699242839358424,0.11906772566295254,-0.2799120053122276,-0.04092117655931889,0.0508750525005479,0.14488171837899472,0.09407895614744227,0.053999231322923086,-0.09656741089082221,-0.07552575377197504,-0.03963384463093144,0.09171800923081884,0.07257766225756038,-0.001748535995669421,0.019725101785659768,0.20240150343428462
FASLG,-0.000508309741238389,,,,,,,,,,,,,,,,,,0.023331245171953754,,
CEACAM1,0.04435577607624361,,-0.016938881080351777,0.03270265345885175,0.024911482891427892,0.019774610050507724,,0.2057150631175296,0.006837846008719249,,,,,0.00036827096512596707,-0.03060380931428983,-0.0038774199546162016,-0.01600045256292519,,0.07028205697943375,,
PDAP1,-0.07881776719929898,0.02166506158663937,0.007876664803902136,9.104943073903408e-05,0.017638816176722475,0.005660646621229471,0.03220601248107109,0.5730507323115811,0.05602859816565676,0.043610107324872235,-0.007968861471930457,0.022201202193825074,-0.057289407967044806,-0.15972922979121942,0.0038439413654223417,-0.016599333265304758,0.08426667914462513,0.08727657375472307,0.014627062422883395,-0.05800393685208467,0.07441041003628203
QDPR,0.16846336084673902,0.10449516420026297,0.06168429959921887,0.06811629053226084,0.010947301873167203,0.07722124607070742,0.07063271584275559,-0.539763000359863,-0.0029521244555378774,0.10932333787021146,0.16554137417662648,-0.02660535263235821,0.048246828428402826,0.08302043958675683,0.04308877075718359,0.012533676788448038,0.05960626221614161,-0.02100370959142131,0.05250647048612297,-0.02416049071460238,-0.012039390401130546
POMC,0.025133767832918423,0.060815708850187236,-0.028102860054983966,-0.013605959594139573,-0.010772307105095124,0.13179506037095606,-0.011073424888770507,0.03197307985135776,-0.009375075122463243,-0.015253089685399575,0.11147685855126412,0.0014820577029732729,0.014746801838091728,-0.03895292982294987,-0.031589393482212895,-0.025270426613595593,0.046180018318528825,,-0.0042125860296507635,0.062438162593581564,0.02619967518315006
CCL18,,-0.05297815050329216,0.00157145440851817,,,,,,,,0.0804222555389663,,,-0.011257820851767275,,-0.03891533434917098,,,,,
CCL17,,,,,0.0362202286795467,,,,-0.011475374568514222,-0.01526394039824572,,0.05288739811971157,,,,,0.026168535814771923,,0.005396049381449012,,
VEGFD,,0.025758335741703563,-0.01847322245744599,-0.014949601121226208,-0.013181943346869448,0.043210845181131746,,0.21643285666298287,-0.014283995558777596,0.08995366795122552,0.03158442358151343,-0.034384663468361755,,-0.033594613611421416,0.0492737781552107,,-0.006702002054399548,,,,
TNFSF13,,,-0.027708152285796123,,-0.023453231010055007,,0.032334658428946284,,,,,,,,,,0.04880097737696225,,-0.028879357549123245,-0.035429675835796724,
