,UKF259,UKF269,UKF275,UKF296,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,0.06296555101718437,,,,-0.024031211608969538,,,-0.02288944208983237,
BMP1,0.0021740891135674173,0.0663679804161429,-0.03489238482472906,-0.004417165442581848,-0.0358683686573851,0.052151480896422915,-0.04706141622042562,0.15808237357096433,-0.007646100909115391,0.02869481403918244
NDP,-0.031116273526781674,0.03140358208761062,-0.01358099762621745,0.01734680293403043,0.007527415658461312,0.006326656325878245,0.011124008809477118,0.08792219547952414,0.012929625866497098,-0.014665453354393688
TNFSF18,,-0.004297395695587495,-0.012880578576744791,,,0.01541799726105263,,0.08736535140156623,-0.03861039659335769,0.020622145050519364
RTN4,-0.06762889163712173,-0.11278157526995446,0.02407240471343301,-0.06974032777921488,-0.0170336341935564,-0.03893690074552709,0.024315127452249622,-0.10760522586840522,0.054326716964255464,0.023919998900103923
HEBP1,0.06018437691570465,0.01059279117853078,-0.0033698333218134097,0.04209531877053739,0.043337393338146825,0.05360328278229324,-0.02433714979534833,-0.06804551422873932,0.02437392261340853,-0.01911826663227998
WNT7B,0.035904538020798626,0.0054759926345926005,0.0019854184097698184,-0.023329736400673717,0.01726856667860242,-0.04237682345465483,-0.019153667046427496,-0.033140081111834765,0.044231967729385605,0.0598584501278598
PTMA,0.0640034974820451,-0.07427493598521324,-0.021988217918668042,0.02436565050713146,-0.03165329094293844,-0.06345162780612103,-0.007007435128149154,0.012763012330712151,-0.0166541313209751,-0.06509456487431559
FASLG,,,,,,,,,0.06240774895588038,
CEACAM1,-0.01921272756557848,0.022191376849143126,-0.020258081508980917,,0.009073075717139409,0.035573954358347364,-0.012712567383909917,,-0.027621149667894886,
PDAP1,0.03891593019911396,0.047402240355662956,0.01646014409447693,0.0032352176476918636,-0.026959786082426548,-0.019076463262997778,0.039383433403619016,-0.05214767646279832,0.0005492170904600724,-0.04699162019611712
