,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.022046851269836125,,,,,,,-0.03180918993885405,,,-0.027584990402794676,,
BMP1,0.041578970919539805,0.018311095773984865,-0.04235363476116837,-0.02862882837248924,0.06045455082654334,-0.1568062522050046,-0.045712499114632335,-0.0054560400542094335,-0.07460111180623431,-0.05375440952622615,-0.03369466115755987,0.04653355052525174,0.06169492058875819,-0.019692119660017122,0.07422012614354749,0.01633526109789621,0.053117901249832684,0.06095924510058869
NDP,0.028379729467042484,-0.0202516374641928,-0.10684656995924927,0.10752126362734515,-0.04447637917426482,-0.04715886910993467,0.05325381258612712,-0.03815262126900524,-0.11195202440414574,-0.004126990841993231,-0.046233343726521436,0.10663530857515435,-0.04158774156304752,0.06654179718099872,-0.012622628979125144,0.044842558774659536,0.025824116511901384,0.012395659570832857
TNFSF18,0.05490546204911502,-0.013781392259808853,,,-0.013463319128065266,-0.03273891227109443,-0.018156243608837136,,,,,,0.015531633584168413,,0.10240467089662265,0.06652450380669232,0.04667273304199348,
IL36G,,,,,,,,,,0.054120985502560795,,,,,,,,
RTN4,-0.02767109878413637,-0.01504797792518652,0.023096520051235834,0.11209767584316196,0.02921568411920664,0.20305601825690253,0.009856968285589672,0.08903200720715913,0.09830522534398425,0.05082004425868289,0.008777764551350115,0.0064604051979683125,-0.06340192784495408,0.0042512951377838525,0.022584590130413782,-0.02478915014748979,-0.023337122384470048,0.0909325185438712
HEBP1,-0.010466501680153192,-0.005530900154801215,-0.023993607180207613,-0.05288129004760863,-0.019027999823775423,-0.05269007169246254,0.04675238929540681,-0.0156567956472733,-0.08388229560227903,0.015952896237743784,0.01516192682939434,0.06962013029919778,-0.018885612761172867,0.012477210816807633,0.010461388225093612,0.036251201385158194,-0.03956378339907396,-0.0171082438888153
WNT7B,-0.03245454399538995,-0.020824298013380087,-0.017366974831298097,0.009662463770358893,0.015250434880736519,0.17905185984602473,0.0515553621081378,-0.0003874804017990844,,-0.020373994512396253,-0.012960100747328807,0.006019250076762437,-0.0458167446510047,0.06069249924847489,0.2434941917432562,0.04107972956026986,0.03764758189777475,0.049998373117758774
PTMA,0.03377112102036635,0.00952439967473219,-0.018231026518246953,-0.08632075677054293,-0.02299895606652872,0.10404850412005484,0.05368254092768583,-0.024071735784034157,-0.17569473756453857,-0.07221122418906559,-0.08770543360436701,0.0133618793526415,-0.10657707677339284,-0.05828567612220551,-0.02449678976979935,-0.07147160845196975,0.020627944134320318,-0.07596620611637414
FASLG,,,,,,,,,,,,,,,,0.012296606943680458,,
CEACAM1,-0.020060546691089295,-0.01598139622808277,0.00678245394429847,-0.014122261252759486,,-0.04308254387974364,0.012537629994334333,,,,0.04496354884715607,0.008614761903659679,-0.02466985193782978,-0.05208130789600687,,-0.019933748549239003,,
PDAP1,0.012405936148036296,0.02150648994903066,-0.04186133950451633,-0.06488710740632139,0.006699965993891154,-0.10229899397531514,0.0320738956954662,-0.017198640997391667,0.016706657896224417,-0.049453712202387784,-0.0191747447034507,-0.050077560558269146,0.0036270129837760227,0.029609603061998266,-0.0554063530042283,0.02305563685745798,-0.004351072722227103,0.07536823702564392
