,UKF243,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.031205409223980032,,,,,-0.027454049178893148,,,
BMP1,-0.013512950060031864,0.013939617260506356,-0.0012906012464577088,-0.08188910537714114,-0.025258602595328153,-0.15033782636704032,-0.025887880736375806,0.0022136744915466863,-0.07882453537051054,-0.16578350821434013,-0.08837756036397171,-0.009601447428132747,-0.027600148893204838,0.03573123231569057
NDP,-0.005378746316843784,0.013086833971502194,-0.00010512296478172424,0.135828241703772,0.0034344878271781103,-0.040573565824129916,0.0048348226790185245,0.03743043954441708,-0.1421578886601736,-0.03497477101105009,0.05267335978225684,-0.028456884352233765,0.02010631619093986,-0.011829396542823228
TNFSF18,-0.018681614370515312,-0.021133017656573775,0.04712514273744643,,-0.037224997683330235,-0.04633909588555395,-0.01985719860754254,,,,0.006659676999480919,0.09393144590767645,-0.0674482790900728,
IL36G,,,,,,,,,,-0.02829988282158059,,,,
RTN4,0.0906877007203131,-0.029565154749600725,-0.024354836452414257,0.084811005281602,0.18515233399247816,0.18380568806622577,0.058775681580131335,0.06256137287663345,0.3406386147319126,0.23801797632982244,0.008719297223856344,-0.017454193429003048,0.19184715261420135,-0.06608129740180353
HEBP1,-0.03266989263367417,-0.0342771030781908,-0.019945604181479712,-0.050301686719631485,-0.06929280807923335,-0.07833953403176236,0.03448915921097127,0.02224966402701115,-0.12563648577725314,0.0007446076931408283,-0.05217057645974015,0.1319750911273879,-0.032318012512220856,-0.01807555391571563
WNT7B,0.148008269432776,-0.031943791266943966,0.09711920825325124,0.033172728928999924,0.10474566603962644,0.1297140082317202,0.004621971017410701,0.014001016964427862,,0.02573793964332863,-0.03947405930499904,-0.06125928610378912,-0.035179865524688436,0.06017205749910337
PTMA,-0.004143061122138191,0.07223458772790203,-0.06199233351083667,-0.07130605840942211,-0.12680501798691785,-0.036069221286513846,0.02469753804205458,-0.037615645511605886,-0.37398446289490145,-0.2510133896475869,0.09083801152319776,-0.03708212412439175,-0.0844108360082649,-0.12357850053042471
CEACAM1,,-0.02097863966975062,-0.019164548565703366,-0.01992526849530419,,-0.03529341572055745,0.016439419407181553,,,,-0.013315816875300313,,,
PDAP1,-0.04611120726893371,0.07318795944372357,0.004724237692415583,0.022254288038052742,-0.007326301040043675,-0.11348647409017915,-0.024235226133206163,-0.026080671923233788,-0.002800632105309839,-0.14752364355093928,0.05536219469996406,0.03159582539589552,-0.008346897392824789,-0.0867989524855125
QDPR,0.022035101035090144,0.025051579884047163,0.028668363723584785,0.11135802258760966,0.055241431730280156,0.062227707091163875,0.0824277133781954,0.031124365229181418,-0.29317771600321013,0.07420112103718463,0.0182230135185598,-0.06283939938976536,0.16388947158584524,-0.04030168143648226
POMC,-0.017476137515508236,-0.002927451776591755,0.016226022862665366,0.0897146602791924,0.08115456612649075,0.04308125934887851,-0.010967890626107419,-0.027008723068899034,-0.044708266907447405,0.0936185790356091,0.006202455486429522,,-0.011247319596578688,-0.02869475986875055
CCL18,0.0237945991570545,-0.03938560031098976,,,,,,,-0.10338978354485782,,,,,
CCL17,,,,,,,0.019293197269418205,0.05395334031522399,,-0.012031166914326446,-0.021067639360949658,,,
VEGFD,0.036061616796008146,0.014746950079550314,-0.027449370849139437,-0.00027765474932012554,,-0.02143592091615301,0.101909210912226,-0.01935789952956846,0.04537754217672628,0.010695986058272199,-0.010787164225337294,,,
TNFSF13,,0.01501928911780318,,,0.04278179332921524,,,,,,-0.009754050807872894,,0.05932779080856876,
WNT5A,-0.004505317023705308,-0.02778097091950424,-0.01225524458731929,-0.09796704772305113,-0.10957836379976924,-0.1522305808346291,0.024931753420534622,0.02695371727934436,0.03649793327954622,-0.04112117200584059,-0.029453186701866717,-0.03404007714247947,-0.13204075664863096,0.05579729061732867
