,UKF243,UKF248,UKF259,UKF269,UKF275,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.01323177749971837,,,,,,,,-0.02772959453335891,
BMP1,0.08530142006805003,0.01805841215777314,0.013615062912419882,0.07630122661645346,0.06685682077204091,-0.029104110888318567,0.021664366623113097,-0.0765473370545565,0.06045179926666435,0.008354926752303515,-0.03397101501099558,-0.004408692940209309,0.0386137461521413
NDP,0.17124360669359448,-0.010000725553898998,-0.038211900073868606,0.02752568864663028,0.0331346754490824,-0.008700432938913922,-0.05318828383216814,-0.05451156594461992,-0.0069422961166442755,0.006019142280712477,0.04957164142532104,0.09086131826667049,0.0021188083502145637
TNFSF18,0.015953533238822117,-0.028201999915048927,,-0.019648792358235963,-0.017874563386955797,-0.025257686084844095,,-0.04352266035869172,,,,0.06847879566027008,-0.026018889586783348
RTN4,-0.060055774910454135,0.04525225660002961,-0.004469072896444007,-0.11917914742194664,-0.0326793470197757,-0.0343450471128445,0.1171010127083282,0.08817837139151928,-0.07884595175130572,-0.06484025826708552,-0.09505170015980988,-0.013264239473903589,-0.08108248081934863
HEBP1,0.04874911339794718,0.03695992526640036,0.018969429732466656,0.02185565906126166,-0.009618838735174773,0.01843695115493727,-0.0031451458921271957,0.025986897689868605,0.010184041971805979,-0.015059729929190016,0.05077355185678063,0.011968939574404633,0.05410887782717063
WNT7B,-0.06888693179427448,-0.041735866412017104,0.06336344769003543,-0.008586630757886574,-0.012924476429893484,-0.027806247092610828,0.06517151134758359,,0.04246494065698455,-0.0062503142957444704,-0.005405859812872576,-0.01233444942361214,0.05352754018381932
PTMA,-0.1589125645355433,-0.03108842958468335,0.03844562922835537,-0.07082810173436013,-0.03513723996127895,0.006125817396265219,-0.023006999233248872,-0.012663827425984566,-0.014264102741836596,0.041064931510358095,-0.04536312755023598,-0.09845345789030034,-0.08607157126213472
FASLG,,,,,,,,,,,,-0.024049867878694307,
CEACAM1,,0.019461158245538242,0.008008919884663302,-0.010932541378805371,-0.00812718557063239,,0.11750099948476864,-0.03060381665313836,-0.03276425716527364,-0.01876378603025162,0.052032191512154456,0.08130406499714227,
