,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1019inf,ZH8811Abulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.0242379936010074,,,,,,,,,-0.04067300978739969,
BMP1,0.05786007713103657,0.10972842448774604,-0.006301144576498974,-0.01355810463535399,0.028096821761889056,-0.06366689383449065,-0.13461031973985943,0.03563940037172836,-0.025922793155392455,0.0013012255089712933,-0.14531662770079934,0.007723010202261675,0.010843139751419949,0.054856099255014446,-0.02924960118979516,0.1254344749300282,-0.05799400989373266
NDP,0.0785962497863252,0.004502508031598852,0.02939841117301408,-0.05118001441091445,-0.008174055583663584,0.009747750572388254,-0.053569415609056474,-0.02882078756252928,-0.02153103843552939,-0.014164231844861418,0.07800437977715244,-0.06789563462031337,0.03167882958018749,-0.010604116690512753,0.07665035287662145,0.010069696551450534,0.07058758939667405
TNFSF18,0.22385678615976184,-0.03806471507286575,0.051623094869055544,,,-0.022825198753560903,-0.03599269285298842,-0.016604478173857122,,,,,,,0.10953357420114623,0.06739103687089532,-0.044106569422429
RTN4,-0.011634869167190507,-0.029709787922367885,-0.008982330115333123,-0.04128416615994747,-0.03297677701736633,-0.018768854996729905,0.19378121987870006,0.027359984916166955,0.005607620503886993,0.16390982804124934,-0.08177985960263902,0.008338074350435253,-0.025595364051112148,-0.06464692038420743,0.05851894607169343,-0.1019316147399484,0.06741719402906585
HEBP1,-0.002566177428068182,0.06065822419923352,-0.04114607682401097,0.015249787920710835,0.017639998256405654,0.013980964759297573,-0.10198380409324997,-0.031790790161210704,0.029835818462695275,-0.06320323702315166,-0.09870647035222188,0.046850550618214006,0.047718054763555125,0.013774965446593226,0.04952850955988953,0.09216804556748799,0.08137588898778855
WNT7B,0.058001914429028016,0.014812907461121088,-0.01843457690535689,0.003567629034469125,0.051214667035013414,-0.03032448555795998,0.16792784752558323,-0.010178787159144003,-0.01091775203462168,,-0.054388523846294286,-0.029991884260829157,0.02485623262490267,-0.02632770985411494,0.010462503779377874,-0.03170515930556782,-0.03229834643211313
PTMA,-0.14344727803278837,0.02919960560999891,-0.033136509721747136,0.002937821268074886,-0.03523691337043737,0.03627600621801672,0.0714080659288734,0.028533349845682145,-0.030292564122384007,-0.14551040871522522,-0.10869755838921168,0.025570846995273802,-0.04402107074123014,-0.010002444395303308,0.08429823964628398,0.09649933246930771,0.07949040793907704
FASLG,,,,,,,,,,,,,,,,0.09553219371036123,
CEACAM1,,-0.024227147953829423,-0.014147429009721171,-0.026274341079143768,-0.015610028839939876,,-0.013833626217195699,0.026952048731358202,,,,-0.026897202195565878,0.014731275018837196,-0.017474083932501664,,-0.03931397197544959,
PDAP1,0.08027290863440552,0.0038482116780854526,-0.04374962586111677,0.02782851787296737,-0.024071230376103033,0.02534833323109939,-0.10663126861581843,0.00709626102420167,-0.0019023126322956269,-0.06317680367110964,0.07940720413829844,-0.007048286344469855,-0.03573132949666367,-0.028390204134902338,-0.010776136963628979,-0.0010121264855313386,-0.006294580561913349
QDPR,0.04348373636042234,-0.034137811160229015,-0.025867199167722944,0.01868844766534746,-0.0241445469912584,0.0007217462249671308,0.07836963072609145,0.11353700759806065,0.0036656381083550664,-0.10323553633614663,-0.03230852299943832,-0.035717787042015205,-0.015370637621416532,-0.04476765200465372,0.04192063172007806,-0.010147334225676602,0.0438298673473767
