,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.05034528330053016,,,,,,,-0.022059522823128525,,0.022011298753757368,
BMP1,-0.046881361980094016,0.036971543173308585,-0.007578663375770226,-0.04236076449655256,0.002513131346661185,0.06142270737731998,0.0060639864167322055,-0.038435491514617115,0.07044841502255189,0.06496412416982818,-0.0232726797131603,0.049424204547379495,0.03249176023358573,-0.058298582390840084,0.056381444305352434,-0.006685207275604992
NDP,0.02295711193301942,0.0887547102581765,-0.005796561502466505,-0.006482441127275761,0.03900318454450351,-0.05440757425630629,0.025214410443602096,0.06373227689983571,0.05180077038670872,-0.02587466909500791,0.022899805249994045,0.03552260378148389,0.0073779279316953635,-0.024026022489194287,0.06490797773468267,0.06748604230372496
TNFSF18,-0.021661458338676293,0.04840525868922312,0.03399814398392038,,,-0.03146808998099786,-0.022388189875993305,,,,,,-0.022749596514048648,,-0.006895059982107486,0.03314583936396714
RTN4,-0.0003467805033921339,-0.028566882240206603,-0.029532628398620378,0.013426094304597855,-0.03139206110906147,-0.11936583236316094,0.025432087147462742,-0.07682535377125993,-0.029994361167132475,-0.0015557373654421108,0.036915231657788795,-0.00511329917165533,-0.0767637291098127,-0.0173862083646861,-0.03740834304551687,-0.02626319945061699
HEBP1,-0.02819361867546312,-0.0036007914337607898,0.01190733080957668,-0.005616517650263775,-0.06030672310878812,0.01677425452454899,-0.02150904650880395,0.03272401906632681,0.022778310723359296,0.01979217262574434,0.0036216630164935593,0.05929982151777591,-0.027429269553057935,-0.014825476608416948,0.05298981089045372,0.032678880007235254
WNT7B,-0.019083066340632195,-0.016001279053247323,-0.021169626751221842,-0.01664211143370186,0.009646643330754344,-0.06612393693412393,-0.03632744568836328,-0.022226276841765164,0.03494332089391124,-0.04055018510306741,-0.04770779329234418,0.037327641760104814,-0.047571246705346015,-0.018156722599919604,0.06057823356216669,-0.042519249413224845
PTMA,-0.0634133953509383,0.03717978772339227,0.03836925785416384,0.0194887509445915,-0.05726565744178411,-0.0778100661814394,-0.01720871277806157,0.07571010271144718,0.09423943691236894,0.05672651229509152,-0.07898445796641726,-0.06260804346333917,0.031823761166094595,0.04442141418817206,-0.05584621294228959,0.023236666316081712
FASLG,-0.019083071735366164,,,,,,,,,,,,,,-0.01288088286502675,
CEACAM1,-0.02649701211363071,-0.024380318188610646,-0.016246415264251333,0.0455279239609635,-0.020246321705522485,-0.011479146298196331,-0.004382546231183411,,,-0.02060384517656178,0.007093560333344991,-0.03308178599379915,-0.032688795100665115,0.0166622761403752,0.020500277641231548,
