,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,,0.03818790554186531,,,,,,,0.03701617324785107,
BMP1,0.05202992619989527,-0.001465595782465615,0.09147203454218712,-0.013211752116453352,0.03425824154500717,0.14287617969279984,0.12456050234782923,0.0003197478186917466,0.06161592673149448,-0.0674469970095778,0.13870160784650667,-0.04699060973111145,-0.007905212460299679,0.005592780758358068,-0.05186689984333213
NDP,0.018847444510198215,0.0017542456239842878,0.0373324913481735,0.024491894305106364,-0.05769379947463789,-0.002941301911602914,0.03337067509975691,-0.007753208543806889,0.015249150556139682,0.00785057390848939,0.07746052010902521,-0.0014875387229353221,0.024041614510175845,0.05538641803431481,0.04994606487502258
TNFSF18,-0.03623996749612289,0.010965004519476858,0.02871227318943513,,,0.046438668751188746,0.052402928622760185,-0.010647509681371023,,0.005424240606079285,,,,-0.026681262927921372,
IL36G,,,,,,,,,0.0815916047167646,,,,,,
RTN4,-0.03580066321540816,-0.014968901133297246,-0.05977501584047806,0.0005090638981754467,-0.035812135110771665,-0.07220917105160493,-0.18722051292812336,0.032229307881701114,-0.008519283931582642,-0.037936789847641504,-0.11667742102832092,-0.04469782874383536,-0.05804122081349555,0.019996164172396604,0.12360523283181421
HEBP1,0.0127548130305679,0.02221251223132063,0.02238090845816122,-0.005560590242813837,0.000618906051146681,0.0555893613540754,0.06866407800171136,0.010647480990167607,-0.03384557595640854,0.04857412478002506,0.07489507996700343,0.025671614276790787,0.07627964323469877,-0.010196713316131065,-0.006398633308705299
WNT7B,-0.03192627629673841,0.06485963412583189,0.11073605118026537,-0.011850580457930162,0.005942033906133915,0.02137682614266934,-0.049847439235381895,0.017924679557929056,-0.018834695023827605,,0.10073956976505938,-0.02189865374409352,0.039186275686197994,0.003528796168204315,0.04173019279866602
PTMA,-0.010330220624447689,0.05195315494577794,0.08443666608626435,0.0019659337609499563,0.016644187838517132,0.10877972984135431,-0.05876825481563614,-0.06834877207463502,0.0468723722954881,0.05702150319615281,-0.20167066481883075,-0.013580429215368823,-0.07536822613269623,-0.0498671745421066,-0.05149320300188606
FASLG,0.07593929404695769,,,,,,,,,,,,,,
CEACAM1,-0.02235736813256896,0.04870395135335289,-0.015300313663736805,-0.0154010237992614,-0.0175285116811105,,-0.005417299879201442,-0.016745996129576765,,0.007153086018422242,0.04084927690447635,-0.023840000164199078,0.01702184153841265,0.02833533795725932,-0.017930075461667926
PDAP1,0.014240175653237333,0.03230741093920776,-0.010150464282893484,-0.0001657705562455746,-0.0008396258717779815,0.02999921306948547,0.12030320652177448,-0.05638998526661991,0.05495525563440356,-0.05053268493370048,0.12947372113001643,-0.04012739109178969,-0.040218444934325095,-0.01893000342782636,0.012152541857292474
QDPR,-0.03201302390342907,0.06273054069843424,-0.025900854183300962,0.04072779280711509,0.00109454534989671,-0.015527460569973318,-0.14565530028083618,0.03241489604726366,0.05697721921995465,0.12007681585260124,-0.1085976507367332,0.07201680572701857,0.06894371099795939,-0.044130351501270496,0.011427516235653844
POMC,-0.010470724803284552,-0.01717468619568155,-0.02718621632867468,0.05630353826037644,0.009214308963157222,-0.033194901802585684,0.004713061373322213,0.07770107309941368,-0.018819030214980607,0.03304097536828049,0.06437472573297175,-0.024617103736397656,0.010650078472899577,-0.00896929492649201,-0.016428292667043685
CCL18,,-0.035068333336739754,,,,,,,,,-0.06990636438058527,-0.04362690786487772,0.008086805614543282,,-0.04976418394499065
CCL17,,,,-0.024751293293201367,,,,-0.013279517579130084,-0.015654435470450576,,,-0.016913326228056313,-0.04000510827373641,-0.03411064289247203,
