,UKF259,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.017325837188280506,
BMP1,0.05899998800146214,0.012508665015213031,-0.02626189025650694,0.055021747657302625,0.034302099527557986
NDP,-0.0400109408175486,-0.02696560885649269,-0.019501354318723407,0.012866432254527296,0.05649197029182467
TNFSF18,,,,-0.014718926468111581,-0.017103989415535
RTN4,-0.06635154857145752,-0.07275284642450902,-0.08721630055417105,0.024359044138670207,-0.045296321253600065
HEBP1,-0.03822990447407678,0.023686213146050693,-0.014436854313708407,0.03861151691916514,-0.037268378424741525
WNT7B,-0.022753995280856167,-0.005112360223258257,-0.019463677271609255,-0.014793100190443954,0.07257733076011123
PTMA,0.032723329567826136,-0.0194518613543002,-0.04644037022682697,0.0273416469651466,-0.029435015208536017
FASLG,,,,-0.015026692682600911,
CEACAM1,-0.015434712464467096,0.010427702332575615,-0.012918325679058902,-0.020907435848410386,
PDAP1,-0.06256916096680888,0.010428504075713926,-0.0888573608795736,0.017005828747859247,-0.026891837193992497
QDPR,0.047722859019874594,-0.04353619027998608,0.02025316388750016,0.06534614877742012,-0.023765716016515316
POMC,0.047216934180348016,0.046789022825229135,-0.021132683786929236,0.09079590053968775,-0.003806528412522187
CCL18,,0.09633767446085424,0.12378677057509194,,
CCL17,0.09848855945092118,-0.022230507854607503,,-0.013620009124381958,
VEGFD,-0.01696671315743807,0.011156962709347695,,,
TNFSF13,-0.01050457719230214,-0.024163802001075468,-0.014506413918644928,-0.022192668052209936,-0.035723033405647656
WNT5A,-0.03669007625907592,0.019682039531069027,0.04519165062180313,-0.02038283775426067,-0.032586874684387486
CXCL8,-0.017100445130740993,0.007188760688086359,0.06060732769946652,0.08241828880098168,-0.0786611988124622
GRN,0.01869010802682409,0.05399822943702668,0.06264659739832053,0.05400570004350126,-0.0022174898673165007
MIA,-0.02226349539538383,0.04187968979898793,-0.05010606784341524,-0.03391102137737362,0.02796666702084145
COL4A4,0.02676102281145776,-0.024657409792196005,-0.02603489122991691,0.004750821823714233,0.013895178311435238
TAC1,-0.0061503736208284145,,-0.022287792001193355,0.1412471678222736,-0.03801899839937792
RARRES2,-0.03751702922654485,0.02773634856187596,0.04457788500459798,0.04300099162996423,-0.02789046030837095
FGF7,0.020165246452370195,0.06876758242372989,-0.016192647042173464,-0.013552834702268169,0.10530903217315671
EFNA2,,-0.014636433054956832,,,
HBEGF,-0.008608927165324992,-0.0030295661058255615,0.056233153111865435,0.006636348193986083,0.009842169297678742
CSF3,-0.01815156035249213,-0.04595832640165359,-0.018520184486984188,-0.014339768473572411,-0.04199747752319695
PI3,0.007988794614823543,0.022261038365980347,0.00316799472876919,-0.0034663054130833074,-0.05518637743153439
PCSK1N,0.011562986764270583,0.010909827634610339,-0.09468510222095707,-0.0301758164710313,-0.01191344922283221
NTS,,-0.017831716217815763,-0.04282123431393398,-0.02123524172107322,
SFRP1,0.07293530122856431,-0.019775306936410844,0.026997955728633408,-0.02074178850172614,0.008060220166003468
CXCL13,,-0.01627396103561724,-0.030210274872163254,,0.010965208580111017
MICA,-0.024476279610738148,0.06612360356580248,0.006722937647147459,0.01742257358586385,0.06865843307794166
