,ZH1019inf,ZH881T1,ZH916T1
IGFL3,,,-0.024219222951931137
BMP1,0.029062812900549774,0.035617892869694676,0.002601838410601146
NDP,0.06825430118327666,0.008021322134432091,0.03391571252135868
TNFSF18,,,0.022525679704499254
RTN4,-0.10515888488028538,0.0835346251793122,-0.017625945404464605
HEBP1,0.02118359355498344,-0.050353141022322544,0.07556326490279056
WNT7B,0.06036489757602976,-0.021792635918144197,0.036967010239696896
PTMA,-0.14483435090345803,0.04242174650256377,-0.12315415922836563
FASLG,,,-0.02100532380370257
CEACAM1,0.07186785075342113,-0.014464089404441046,0.029566004085960808
PDAP1,0.010682238104134196,0.03938928649047783,0.00663478921412443
QDPR,-0.08775016421483087,-0.04423223012552231,0.013475323380789236
POMC,0.07700027077612345,-0.023661350181426448,-0.024465820003971652
CCL18,-0.019670898989261096,-0.04981064583268349,
CCL17,,,0.0023267112229477366
TNFSF13,,-0.016242202981245304,-0.031022407149147096
WNT5A,0.05818105087951122,-0.010307465267774577,0.05975947011458526
CXCL8,0.0054597932130829455,-0.02922767402392466,0.04320949610265942
GRN,-0.030620002845897235,-0.0495949591296849,0.018505944448868508
MIA,0.13236236067169346,0.025516593974930685,-0.02579433119488778
COL4A4,-0.024870162559168185,0.011186412728219275,0.024806019719111984
TAC1,,-0.02495467478850027,0.03984328594087088
RARRES2,0.02932340592445632,-0.025329856390842117,0.051470608236637
FGF7,0.031086963572555113,0.029893740019347782,0.07331548695823568
HBEGF,0.10052505601057056,-0.008425674988410504,0.011554015639383262
CSF3,,0.0146600809733471,0.06268945248539652
PI3,,-0.012425992446389823,0.008707236750758875
PCSK1N,0.013670955053455851,0.016225524551833622,0.07320788723722788
NTS,,0.004174520250396332,-0.029684052094677667
SFRP1,0.039864840228813786,0.044344260742921235,-0.028994269926818042
CXCL13,,-0.0338251355121077,
MICA,0.06413258639571207,-0.04595111141141996,0.02351912167543549
TG,-0.03202882256853111,-0.017066250697036916,-0.03909175840048632
ADA,0.007945998994541082,-0.007203214484043449,-0.03797644052968846
LAMC3,0.04059827156702171,-0.07137282335534746,-0.07371736007416907
CCL7,,,-0.021005316334460154
NGF,-0.02923219782337811,-0.035599606238337536,-0.014902955219992176
TNFSF15,-0.02952204826345096,-0.012876853971165378,0.05073133077903913
HMGB1,-0.009165784422619007,0.016907003166603658,-0.048112206700834284
ITGB3BP,0.04962255255462407,0.043053198523942744,0.00886412710009674
AANAT,0.012778304415143354,,-0.022224500649303685
RELN,,0.056082173747724215,
IL15,0.09436689006563065,-0.007862722027666615,-0.02281980191794829
BSG,0.047147132344638916,0.02843594234267398,-0.01070277695744146
ADAMTS3,-0.024532373101557436,-0.022088320169805678,0.0420774908753584
CD34,0.0836057574789206,-0.020761792025224445,-0.028166140668753527
PLAT,0.11071653832571317,0.020890156629509184,0.01461554538562081
NTF3,,0.045326885834197604,
LTA,,,0.011648565655495147
CKLF,0.038126316400197584,0.041368359481811584,0.03541163898072451
CD24,-0.02575950743850952,0.06291651160107273,0.060924361614262464
HSP90AA1,-0.010594126748123949,-0.0363884015829706,-0.037404141311839695
BMP4,0.043052303058016404,-0.02710910188849603,0.05760576972779552
SCGB3A1,,0.0014841558461206649,-0.03415875899859747
IGFBP4,0.09408881144697866,-0.036547690327002016,-0.04168784981760656
RSPO4,,0.10446334107148057,0.11712681463141951
LEFTY2,-0.02618201181508052,-0.024491097670263084,-0.01031394768172589
PF4,,,-0.029910821639743547
ANGPTL2,0.045796475721526765,-0.02711582004574675,-0.0650082498302917
LRIG2,0.061537798967021676,-0.03385976579891131,0.1138220506451459
ICOSLG,0.07367438810261698,-0.01010660159643605,0.008994972077770965
WIF1,,-0.016741142321092965,
