,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.09045028062948045,,,,,,,,-0.026354894042466097,,0.14609125422611513,
BMP1,0.1082541522168794,0.03681068780256068,0.008926955290680414,-0.015107990112283634,0.06869346670218925,0.050901718243512646,0.07715126183843145,0.3293511916590767,-0.044498370997581145,-0.004854878476347033,0.05926325158094868,-0.002302005820424541,0.09707147642577578,0.08191673312425109,0.013689697978158045,0.11395567321518295,0.025278247590459598,-0.03873675899974343,0.13007782494842943
NDP,0.04684192737520338,0.1494371834599605,-0.017909663786859743,-0.028975168417162748,0.049097358730031945,0.003192469397357047,0.0622448264023262,0.0761525317439906,0.008610470840188983,0.06427380047470911,0.06863008538230027,-0.012083936195050425,-0.005565334333069986,0.13663719543561118,0.03282637194981146,-0.013005944516662354,0.03286076583985416,0.28328278249813515,0.12436842730260003
TNFSF18,0.022492914089204934,-0.04372062545282453,0.005205782816578994,-0.01164736226627334,,,0.010060841967245349,0.10000127187811021,0.024960452939369243,,,0.08140453096155066,,,,0.030077162351100594,,0.05515256587193651,0.02873767562222314
RTN4,0.0075116355837389825,-0.10000480169986577,0.026269498504663993,0.05461166162100367,0.04075713360741905,-0.015048464765717797,-0.05676006633737483,-0.38493658538762404,0.035828281054821116,-0.1809977682055283,-0.015820399647925986,0.05981539408102546,-0.03659811610018535,0.013821835860493516,-0.005604390411697479,0.009524031422569882,-0.026548758468526806,-0.05019120441197861,-0.03334999202108265
HEBP1,-0.000818168962991089,0.029042342283835267,-0.012163136047639788,0.02702017383022955,0.015691961168002918,-0.018848187187876037,0.043173578669638175,0.15348463584392424,0.09315202854974727,0.036092399609910605,0.003223131045839374,0.09361546111207977,0.04094368626634437,0.0013821365077222795,-0.020756972103713682,0.06301580624305783,0.09511193546943648,0.1857749231551553,0.05541371090119568
WNT7B,0.03485801052928409,0.011195498356116006,0.013014743109887044,-0.010896351103656023,0.0020856520779798833,-0.006631761787845476,-0.04125143676800401,-0.13907108760096581,-0.006546557518188986,-0.05412242571724591,-0.01516198466802885,,-0.03409738543503836,-0.046834086664808386,-0.020109509689804263,-0.02755960956616042,-0.034106819157694424,0.014697491904429916,0.08929349431189222
PTMA,0.011908786388971821,-0.08492969369003575,-0.01912726549104983,0.07368548243117923,-0.017504344837421925,0.00024047019755913773,0.08642212764888255,-0.13523034057577882,0.014508147264815571,0.02068776168965674,-0.09919499602508676,-0.04872626861689333,-0.15469312644301292,-0.04133854941578771,-0.030088679477159465,-0.07196435040511145,-0.017954644829494833,-0.19374426105115006,-0.11177621863901809
FASLG,-0.018326953454068103,,,,,,,,,,,,,,,,,-0.05245233143458911,
CEACAM1,-0.015772872131737913,,-0.011635113471725946,-0.01847430785582951,0.028722869437888668,0.02552177538254055,,0.08194889329539934,0.036231645949811896,,0.03746932065839746,0.06514898910564808,-0.02568079625614259,-0.03749441347302968,-0.016450661705178022,0.011263395842123476,-0.022637191914322823,0.0844209702880265,
