,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-2.5577240662965223e-05,,,,,,,,,-0.032218805081271305,,-0.025949311767871498,
BMP1,0.0162236655248588,0.06543536802717045,0.02097686085629924,-0.01739825539062135,0.022893696189698016,0.03373047364984373,0.03869123638096792,-0.01384328622816594,-0.044698355262980285,0.06043872238591789,-0.06776601151571579,-0.0028336311949001664,0.05731589649047391,-0.027549577126339868,-0.004852657769556372,-0.034090538015572096,-0.0034002597287217107,0.03751530800631274,-0.10458349067271014
NDP,0.007087232861487642,-0.06538011364977532,-0.015284983633922998,-0.051460648621253595,0.002206664273796765,-0.00042730193359675675,0.0006032887636170713,0.05952836700836646,-0.02064792500636054,0.14238840151479965,0.018134609096384136,0.07227004042233122,0.039648173733000454,-0.014703954617982653,0.06059167572652328,0.04511232263260425,-0.017291922557035298,0.03688782710043061,-0.0004633490369235301
TNFSF18,0.13997405906162652,0.05073493300335273,0.10216735738514349,,,-0.015830097571951425,-0.006301496480137873,-0.014907375327135867,,,,,0.018419770326908006,,,0.04802271709146334,,-0.0022545750834496343,-0.036428838765028886
IL36G,,,,,,,,,,,,-0.029622298077715062,,,,,,,
RTN4,0.024487556816444444,-0.0131328171579044,-0.07135060528759136,-1.4776913534614194e-05,0.008039062384247292,-0.0845273403515197,-0.031956091956831745,0.04368158140261686,0.04961701794640637,-0.21416064294447493,0.02945959357287415,-0.0413371681438204,0.032197434269609214,-0.0033955821886558156,-0.10257560421186065,0.03409792881968414,-0.01087117267856285,0.04149332569387241,0.062457011900985605
HEBP1,-0.05139875145578252,-0.005904178633716798,0.02580989190851655,0.025500785944783916,0.05928189921646974,0.06591096517274077,0.06298007905345865,-0.0388478666178911,0.04740883111939937,0.16492091107296936,-0.05847197262866939,0.024288092880131007,0.0016295138424597903,0.034796743842692664,0.014000470607437287,0.09363690528229149,-0.0419022907235325,0.04117120732779037,0.04355358053477074
WNT7B,0.13303896425405784,-0.014730936886265263,0.004186424498358744,-0.022286249988407718,-0.017762393771781772,0.01803846365368257,0.007857021874105407,0.04380195630868738,-0.018985628329739292,,-0.008889683612650407,0.04439635313160823,0.11171644205531055,-0.0490935190486058,0.045067465495677674,-0.06947968627252674,0.14165030667408607,-0.022993462987593655,-0.025510223993772813
PTMA,0.09127330431482926,-0.06808866600376007,0.00463247590833146,0.0626235913262359,0.0015319222709086135,0.09417359144975385,0.02208716332546292,-0.016827825851942542,0.043508976423889296,0.29430100690781147,-0.025706340568156683,0.0473579525725564,0.01376567047448278,-0.020752480151628457,-0.03824882613870471,-0.025994829843226593,0.031912966804241105,-0.03164473844155033,-0.04576275789182306
FASLG,-0.015439750480467059,,,,,,,,,,,,,,,,,-0.02250582924353932,
CEACAM1,0.08487473776981772,-0.017332502575133326,-0.02680766632644997,-0.014735871592819355,0.019780469473825685,,-0.028466966695546176,-0.02344574994537321,,,,,,-0.027509520106944345,0.03343101016089297,-0.04774327741059359,0.03766044033502307,-0.01819277573097901,
PDAP1,-0.056293686899713556,-0.012464540754268802,0.05563407780309303,-0.0034282234387662688,0.007240362741014422,0.06614564009392204,0.04585947827315305,-0.01483426365435748,-0.02495706972953155,0.021375838619069998,0.008581865916379034,0.06012828820576489,0.07944755730484673,-0.053790571996779425,-0.06698646542199578,0.026562489463738972,0.05458776875244431,-0.0330116096594051,-0.07553411754002544
QDPR,0.12805085581082148,-0.05361569754276704,0.013826120325434592,-0.046873782760849095,0.030043423090704267,-0.018798586229962957,-0.06393239275515769,-0.012617983822512514,0.10787666449238603,0.24069044553031782,0.0068451689039743715,0.03240257627095496,-0.04405523016720941,0.03366764727083991,0.0350647131536103,0.0021004536809706748,0.039194781310062175,0.05502645655954828,0.12291243118912323
POMC,0.02618939389725675,-0.014569867876321979,0.00917928839182456,0.0029180825728586323,0.05223825018330508,-0.014142272807314664,0.015404898235406252,-0.017297339482136152,-0.05106380709054444,0.06450999569432714,-0.01624700269420421,-0.006419323444087534,-0.003705415108555505,0.058475540820976196,0.08854511243143423,0.01739428782695525,0.16363054699289256,0.036110544569670944,0.07547026506404755
CCL18,,0.043607987244869695,,,,,,,,0.1471257838912537,0.03993155981387352,,,-0.05034208434758969,-0.04634024853355574,,-0.004909011352300747,,
CCL17,,,,-0.025303787443499707,,,,0.04061243918910735,-0.02349888566979607,,,-0.02706081027075,,-0.019516673017676366,-0.03923949867929204,-0.04247863337976533,,0.022244474765799476,
VEGFD,,-0.021629332437446108,0.004276521013301427,-0.028191213502232932,-0.024412568820065567,,0.09386461075597474,-0.019808629004326745,-0.01723671682081961,0.0026518724891467903,-0.01967341143190253,-0.029001908530752296,,,0.019410330396945483,0.0011325822714741622,,,
TNFSF13,,-0.016322188338503397,,-0.0007116893826643174,,-0.015351892300154076,,,,,,,,0.08894594904918714,-0.02289071190467358,0.1084573299991124,-0.01582519875549428,0.03326965167020694,0.09397988605533635
WNT5A,-0.03214961546035645,0.007845282317962783,-0.015296163260929686,-0.05676166558893737,0.09025034277665461,0.09786912686652526,0.03119767886107998,0.006652234210663233,0.0029654853893999137,0.0554636171478632,-0.0029930499807157263,0.00025141812494280366,0.061071137840435975,-0.03010178263734401,-0.038465973862683515,-0.05225460556697372,0.046749760352612114,0.035855325505288596,0.008173443751793952
CXCL8,,0.07551788329835593,0.022170376478578772,0.07219108916544549,-0.0797175966627285,-0.02183707108619782,-0.010904525136321142,-0.02980484483573298,-0.01605158018091117,0.1570164989614568,0.09250722836972397,0.08971309327128438,,-0.08420277147104437,-0.09868475622169727,0.04613714889258833,-0.018792767979632842,0.024244062580712454,-0.0689384192268507
GRN,0.08124017915575434,-0.011182510555832187,0.03848048429792751,0.0003779340566541962,0.03796406620051378,0.00447674246752998,0.0051087028291435434,-0.0015013137365973814,0.028275428414461252,0.267928263478452,-0.04028049413981919,0.08595531997103228,0.07389187432986341,0.022328183427556166,-0.062067973993923345,0.05189884474657588,0.026937101962895536,0.04415986801428918,0.11032648670505536
MIA,0.07072891853438475,0.023476359915465088,0.015967986766334884,-0.015068586292592504,0.006790759612321324,-0.027759182063243504,-0.0048122836785153755,0.04542840148455531,-0.019603135364919932,,0.07609844730239591,0.15437225865789947,-0.017732089322886495,-0.005990043609055522,0.16154735364830247,0.05941487031835331,0.021399916473040227,0.08899001850054392,-0.07259502555409245
COL4A4,0.007674698209558735,0.027662682224196378,-0.021371184495823585,-0.021868391899667675,0.05940887348476304,-0.014606647270610604,-0.027972006899214242,-0.005356503480705933,0.03055086086800143,,,0.005970339593246539,,-0.03487797925150135,-0.04352327015215282,-0.0057793011975573174,-0.02840173530148355,0.01650661318342559,-0.04429183316812895
TAC1,-0.015439742080334107,-0.0415682770238326,-0.028322373830567786,-0.043134800629364464,0.004808095489935524,-0.04792949856210761,-0.0024368391915570832,0.03994193233036571,0.008185012155084301,-0.1756598061356691,,-0.06828204174207174,,,,,-0.024313985538953083,0.01877868081823391,0.003107728459385749
RARRES2,-0.06865013565184347,0.011027588725236527,0.01054815006375969,-0.04082828004149898,-0.04763629239749679,0.004195461538650629,0.02890873059726731,-0.043678593696032976,0.04405751398627556,0.037144717685055575,0.13161300331322148,-0.025779548888651138,-0.05675418870698165,-0.0488055012324591,-0.0020933890956479624,0.061446580336117246,-0.027763073526610404,0.02211087091905094,-0.029532913015711208
FGF7,0.014670498950819727,,0.0020894676843819077,0.024427267660374043,-0.027016337890764727,0.10712664588978399,0.003806884617613617,0.0666701034562558,-0.0019186093395646498,0.05137579978276664,0.033937319727287314,0.004011027166230407,-0.03598889451983893,0.02592493272615336,0.04838144893256571,0.07390659409773254,-0.051914648910947575,0.04772340351257588,-0.007797026170175069
EFNA2,,,,,,,,,,,,,,,-0.025835050610887852,,,,
HBEGF,0.08602610340810259,-0.008406804129068985,0.005116367242008778,0.014695415428618715,-0.01867981809699806,0.06138043704376883,-1.0907359546130797e-06,0.00215388997752483,0.032183248429990506,0.21880882404990867,0.07833478763338324,0.07690283855500431,0.14116496176285637,-0.02483767715868342,0.0037692977920910937,0.023438186436896085,0.04163229105484038,-0.04800610412730655,-0.08138507891563009
CSF3,,,,-0.02081180376097106,-0.08438549751021326,,-0.029593844905092155,,,,0.01031134655235541,,,-0.03679054538683239,-0.04954856399220533,,0.05361865414154111,0.13502395186529592,0.0464174753173714
PI3,,0.08450147784043673,,0.018226279502836316,-0.07933985370668785,,-0.033323059959608124,,,,,,,-0.09734772184900742,-0.09959611734771198,-0.03609252716469533,-0.0021448032800410683,-0.04666240070167342,-0.03903989751197681
PCSK1N,-0.06941479485895974,-0.011724592361706698,-0.04239857597624707,-0.04206398783374138,-0.0017251603772777478,0.028753946376356206,0.012009652399789548,0.00058639564930112,0.01467472641131689,-0.28472547592365016,-0.029709805729882896,-0.05102791706353727,-0.010125820869526497,0.0035388260069126477,0.02793990022619572,0.059818110258445405,-0.025726616138665188,0.044802757729141454,0.048881378674360855
NTS,,,,,0.11333617408042115,-0.017831397567706023,0.007449302680610072,-0.022174857048691328,-0.0008123679908751068,0.06714344392051753,,,,0.06690866762081354,0.022261606871886913,,-0.02750968022190473,-0.0183459534726034,
SFRP1,0.059167355499275244,0.013444840365754265,0.0011940725981168915,-0.022078532626691152,0.013942474225789947,0.054299221436353726,0.00736350544612878,-0.041174057409906074,-0.023498885906449152,0.19474865850163542,-0.037947416591221556,-0.024609504481170136,-0.01028013286638049,0.05326614810286258,0.016908408240438544,-0.056299407159173954,0.010908758468130338,-0.031065461980597134,-0.01090154753401334
CXCL13,,,-0.05922347008493297,,0.050395124867784274,,,,,,0.002138360074415087,,,-0.04383844907632842,0.022210513562735842,,0.003466743559477801,,-0.010280099426402563
MICA,-0.007870877096561701,0.03985404906153459,-0.009657220980362851,0.031336751461200435,-0.04255160207141565,0.013217233650597758,0.015777777365012048,-0.012930638621072566,0.03276581106040651,0.05335047787854329,0.12798957815656234,0.05319699240099768,0.12367680980943567,-0.0066724102847537685,0.04783096499654971,-0.037339870582107595,0.01896660691157359,0.07041275376155318,-0.12080908328902325
TG,0.11069750361897567,-0.03406094049513506,0.02647757833822576,-0.023826234699815256,0.09133554306533645,0.03589366685190059,-0.03571712309905916,-0.01873113880399512,-0.017006041512474007,,0.05587166099258796,0.03525042188034496,0.007908795989788232,0.0569128105539747,-0.02778524774503332,,-0.01662808977350897,0.04311666010579789,-0.041645624897327746
