,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,-0.013038935696998285,,,,,-0.019712697668491864,-0.021305660817204464
BMP1,0.02449893785025306,0.06788757087285771,0.008374429012461361,0.029911297622996817,0.06482246103222444,0.02416939717383278,0.0022929635697259143,-0.0028602155898458264,-0.077198334868406
NDP,-0.0166368032810357,0.023305462562072426,0.02620486939179287,-0.02915701515131274,0.016845190743260303,-0.028867867890111656,0.06407957631021025,0.021317549534995643,0.055153293033316494
TNFSF18,,,-0.0193624280704662,-0.012622089446573373,,,,-0.02032935715596846,-0.03593884073746115
IL36G,,,,,,-0.01433727157405586,,,
RTN4,0.037882846801682996,0.02602230496425035,-0.02435107109846055,0.00372076094950516,-0.02316434360838057,-0.014954634388149219,-0.04044065679934844,-0.06261197979315021,0.02686967618774474
HEBP1,-0.002359126923210027,-0.01581122811873882,0.006173517273075425,0.05658178985622103,0.06511597168453356,-0.01838531080346201,0.011411050426937524,0.04176631789154913,0.09429027458726433
WNT7B,-0.02495040085018759,0.08130123252876965,-0.053967752145465134,-0.03618004443778265,-0.022226277028281977,-0.015758313707128387,-0.0308540352599619,-0.04251033041533086,0.04463343073118143
PTMA,0.07659540684346602,-0.00668629944371694,-0.08774455266289717,-0.021509157347716034,0.05364931096496328,0.07671572597071802,-0.04696851459501003,-0.035429240447972105,-0.02917338675268757
FASLG,,,,,,,,,-0.018478392358230216
CEACAM1,-0.02881055981191716,-0.014777318353850414,-0.025479852539290068,-0.01985153968813039,,,-0.014947343635364164,-0.029211163819512824,-0.00977966475476244
PDAP1,0.03653445171425734,-0.06243466408568367,0.04298465363450644,-0.04187030244908025,0.005135352198371067,0.0074921480545027805,-0.019412308709938222,-0.02040798784160997,0.015225771481031073
QDPR,-0.02015065766257149,0.02467563042280011,-0.03906680463897371,0.08068410397640274,-0.014676267161778004,-0.024993504887885022,0.05156272815531508,-0.006097126564655396,0.024720965133921857
POMC,0.016626159883445533,-0.015965154847641737,0.05026198874277832,-0.014645674462481979,0.012669169048527924,-0.019923648576522467,0.16328290586959518,-0.03762579226120818,0.05579822500096944
CCL18,,,,,,,0.05164056539357036,,
CCL17,-0.01669895680813275,,,0.053840979957816545,0.01397249556936479,-0.01309750461790201,-0.0215774289234198,-0.025990053171549198,-0.016748587186747724
VEGFD,0.012421491737944493,-0.014138101536410722,-0.021843714905670615,0.06683386013942054,0.009652824863823371,0.033496713172124735,0.03886955733783221,0.050584037164153314,
TNFSF13,-0.011518566672560836,,,,,,0.028273634949608852,0.008334043189674416,-0.027290424873034395
WNT5A,-0.09008557315997831,-0.08970793752815594,0.03557680917662658,0.018612801262696592,0.0016217791784487957,-0.019501823760239494,0.005489612792971414,0.030835257280155168,-0.0463309458285923
CXCL8,-0.048169153685442695,-0.004020453728857487,0.021696219839510592,-0.001970837369065242,-0.018791417468326223,0.018506419287724635,-0.08972715303645865,-0.03690021007180201,-0.02236154282857213
GRN,-0.017496199434202553,-0.01766797159918896,0.026601661717630128,-0.004044145012402775,0.023517953466220418,0.02562739683074608,-0.023185508908282255,0.07694716413521123,-0.12151741899377776
MIA,-0.035162400781542376,0.015967825995860326,0.007167643769468555,0.006480767167190718,0.05469801043829627,0.0727794433392776,0.09875008721759106,0.06691939923937115,0.04757101652371835
COL4A4,-0.04024674106379613,-0.004929404784567277,-0.012848903312210487,-0.016435346959405277,-0.030734500842790002,-0.01864830036604838,0.029006151138686702,0.06368773742093053,-0.03918062879344273
TAC1,-0.014559165883791868,-0.011237173569715545,-0.034974252045278424,-0.05031535946140273,-0.015869410446310385,-0.03304869100698129,,,-0.022017720925007308
RARRES2,-0.022915881216528735,0.0038093774825997727,0.0396475849502206,0.010383388496551498,0.016924160865154705,0.04604779082129113,-0.03435968752509453,-0.0247542393450498,0.026145125754713366
FGF7,-0.029600450319297197,0.0015365092389704425,-0.036617418087475054,0.0726022819334381,0.001521151969956617,-0.01789970141600278,0.04029905860229725,0.023519266099537757,0.10632546074229153
EFNA2,,,,,,,-0.014206449803181932,,
HBEGF,-0.04025888009068622,0.052251914305325525,0.04404991461970994,0.03334934213725213,-0.022134374405946542,0.03494192100444774,0.02150381896502784,-0.013640115694969488,-0.025681116778257372
CSF3,-0.019903700482529502,-0.04710442874578632,-0.013593892393640283,,,,-0.04229595768081126,,-0.01763367853311201
PI3,0.0006924557175616297,0.009602021926631864,-0.015306902255198035,,,,-0.08369005510708921,0.025358663396291198,0.018209961270805874
PCSK1N,0.01139486215982409,-0.03004721239139124,0.011687942942198885,0.032246630328590827,0.01187246541468274,-0.04552426686369708,0.0007368973412828297,0.00684949890196534,0.07316335922313146
NTS,,0.07109017280526156,-0.016708528979652828,-0.018775473414429384,0.00903190152008776,,-0.01730786322062209,,0.1506387589554872
SFRP1,-0.014570485289733877,-0.016129125461467674,-0.04903400716984579,-0.02591917743136869,-0.027509900591206917,0.05643720021515618,0.029994850245845927,0.026470062054959904,-0.025506271688786816
CXCL13,,0.02958702360156091,,,,,-0.02524617394509831,,
MICA,-0.006231976710972846,0.07575932267762464,0.02532168385005868,0.040273603628842386,-0.007128923702826282,0.03353794835410275,-0.047104011120978305,0.07800177018091385,0.032574476854798626
TG,-0.015723862091437953,-0.034209256146509465,0.07670094337488763,-0.01585967376764452,-0.019908795392282973,-0.002163341587033354,0.12898165312719834,,0.02769634968069373
ADA,-0.049197267653185835,0.046124709911607165,0.029178993112735852,-0.040011328823874384,-0.03233348478345864,0.04744742787807506,-0.027356874565356206,0.05566453590547371,-0.011038404938175194
LAMC3,0.021057789839480444,0.03942754880075472,0.05779187825752642,-0.022041470942637253,0.02559635966146552,0.005319699652859267,0.11388278274730292,0.014235796689182326,-0.05489672787814855
CCL7,-0.011368327169634374,-0.021192057394989885,,,,,,,0.004796706249657453
NGF,0.01930391306114365,-0.022620315571704977,,,,,0.13229786090858162,,-0.05532373011816988
TNFSF15,-0.012659188321147246,-0.01569052738164423,,,,,,,-0.04882309447188683
HMGB1,0.02589410333215731,-0.0457029952469942,0.01788756359513803,0.015425911540151742,0.017482052572632346,0.025797339173412377,-0.011149688792094988,-0.07174098769195088,0.08315784758302443
ITGB3BP,0.020639835072965688,-0.0216803892960075,0.019001152532281698,0.01843944680345741,0.012153692760161658,0.050590707357227475,-0.022279366060627838,0.06735454528122718,-0.009936034647191484
AANAT,-0.011518567901915534,0.011696067486164542,-0.012262058815899663,0.06361804312202389,0.0023762576208449476,-0.017569049655067153,0.023126287065031184,-0.03214886195829237,0.0012132308179564262
RELN,0.040505392744820415,0.00959873150648835,-0.024482809279634456,-0.03140185544827179,-0.0487428254297051,-0.019450454415028937,,-0.015549686657876882,
IL15,-0.03230235966835899,0.017606970769080108,-0.031984446129423076,-0.018990331949510924,-0.0007752028880661741,0.004274939287055121,-0.00913334339268371,-0.027410313679989796,0.0330389494209934
UTS2,,,0.01788725812975662,,,,,,
BSG,0.0038736522979769122,-0.02559932452920804,0.02348917457524091,0.017970540517899754,0.0024096236498487487,-0.022381829743438525,-0.004390500052449954,0.1087933422248785,-0.0049902454663708785
ADAMTS3,-0.05648865825772827,-0.01810738342011293,0.03437174248810751,0.0436664253325664,0.018374567311601357,0.07299481179234799,0.03778912006677982,-0.028488976959738642,0.003166657223449161
