,ZH881T1,ZH916T1
IGFL3,,-0.020187807022033766
BMP1,-0.0209278319961571,0.06625438363100387
NDP,0.006741202183299187,-0.059983388468239265
TNFSF18,,0.025327108508500014
RTN4,0.04634983626600049,0.061151910335188124
HEBP1,0.07349077509394551,-0.029993389990423544
WNT7B,-0.012062704792081071,0.14452186172312148
PTMA,-0.05242101969517081,0.04553003855138603
FASLG,,0.02973467581711996
CEACAM1,-0.022514873905487558,-0.02436103234992643
PDAP1,-0.03925589930102644,0.05388341171840202
QDPR,0.07539619333541313,0.010577465212888586
POMC,-0.03683137602874826,0.019846410571245067
CCL18,-0.038747125147473464,
CCL17,,-0.015869831446144983
TNFSF13,0.03484693257535481,0.03856903288801782
WNT5A,0.01707913443173812,0.045032670048647104
CXCL8,-0.010373072362013874,0.07193864282019789
GRN,-0.010660841463298138,0.0222376826363518
MIA,0.00278528316139256,-0.007421787466057371
COL4A4,0.01725470253712444,0.01563277981861497
TAC1,-0.020037559705080105,-0.020862507148340318
RARRES2,-0.03110848290493414,-0.003351623237677807
FGF7,-0.008820689753898677,0.011612039413563426
HBEGF,0.03163293263897949,0.12998992549836977
CSF3,-0.007567152214857226,-0.016708484302330778
PI3,-0.08722058400521841,0.012719508690902999
PCSK1N,0.047918295543977446,-0.07125207047104162
NTS,0.022141567761108587,-0.02474298686249007
SFRP1,0.04137005164486249,-0.0241680225327249
CXCL13,-0.029854041970792982,
MICA,-0.013926899538021991,0.059250743573771275
TG,-0.02656541118760279,-0.005697635543543255
ADA,0.061127071408165326,0.12741900538951462
LAMC3,0.06767889442176421,0.010319534766483802
CCL7,,-0.017508871917091922
NGF,-0.02621139344486137,0.00920461732513609
TNFSF15,-0.02004417529188862,-0.003465069072885312
HMGB1,-0.025035423695031773,0.011226112059280438
ITGB3BP,-0.03671763752754508,0.025722442845304592
AANAT,,-0.018525116646379958
RELN,0.05283392618720261,
IL15,-0.008855380473356878,-0.02302628162236638
BSG,-0.008211410941908711,-0.010135848569337916
ADAMTS3,0.046698487362452405,0.03179662021923424
CD34,0.013015249351320554,0.022437860748472115
PLAT,0.0669462750066352,0.014116013247173494
NTF3,-0.019625478586769562,
LTA,,-0.024932015203945335
CKLF,0.01726068375819117,-0.0010542668429843972
CD24,0.06021072062670896,-0.02604958662244494
HSP90AA1,-0.011418982274440803,0.00033637089492762615
BMP4,0.011909912882515842,0.001006855144181563
SCGB3A1,-0.004289366171537078,0.05518173226402922
IGFBP4,0.03274119593196644,0.024585866218553444
RSPO4,-0.0018020631639499723,-0.032882718246950736
LEFTY2,0.00391524706534152,0.024117165472081432
PF4,,-0.024932009434492083
ANGPTL2,-0.00014019310283770346,0.0621289030187653
LRIG2,-0.005878598871571438,0.009305740586836675
ICOSLG,0.012208560251857582,0.02548895941213166
WIF1,0.003933605677802659,
NPPC,0.0497251329332093,
LYZ,-0.006199891144291611,-0.006502454071674225
EREG,0.008958060083280543,0.0071650244483237235
SPTAN1,0.10879529546543415,-0.0458979143712692
PTH2,-0.026716748574962052,
LIPC,,-0.03152349663400198
COL8A1,-0.03773226033079984,0.05532222216349461
GSTM2,-0.014000223361454319,-0.022612554196132006
SPX,0.00026053349204414633,-0.051473452509078484
MFGE8,0.07446378920673638,0.042931226363014816
TGFA,0.0678015830821271,0.02390917870308679
SLIT2,0.03114233156535642,0.0359967137969578
PLTP,-0.03985566079603659,-0.08733040730385838
APOD,0.07494157735960827,-0.09585780237189907
B2M,-0.02552164224608375,0.02980433166884409
OMG,0.02414693231197881,-0.02940622371398659
CXCL3,0.004591039161843247,0.0749086408349714
CXCL10,0.009953578468615328,-0.0015179365073036963
RSPO3,0.06072422462837173,0.02970944989260961
CORT,-0.014381921998954005,
NCAN,0.06661750484289686,-0.08027685323660456
PRG4,0.06020067676833085,-0.040249492712271254
ZG16B,,-0.022154885186046004
TGM2,0.007820645814035996,0.033432919117102965
VEGFC,0.041497209321969195,0.01281856380197251
WNT6,-0.02702643492682905,0.13130762342442076
NRG4,-0.03701824280051828,0.02841062923808321
PMCH,-0.021313575808732714,0.16238835895437723
COL9A1,-0.05452266869822798,-0.033238675666697505
GDF11,0.02889415835023826,0.013078796547129163
RAET1E,,-0.019491461128298825
SORBS1,0.015875831709436183,-0.023448536845549813
DLL1,-0.016254750379298678,0.016718847783323217
TLN1,-0.05863709318831946,0.008838781342457316
COL2A1,-0.02795928196671348,-0.025858563741527254
SHH,0.044100790555669046,0.0020098978553616813
PON2,0.06011166129972459,-0.05936797669277628
ICAM5,-0.014924693482042957,-0.02743523318253901
HPX,-0.045851983439422296,0.045586618946216316
SFRP2,-0.009671480830624676,0.017343646192016136
CD70,0.0027069487040840222,-0.02710842151387608
HP,-0.002102424547558478,0.05299091312652193
CXCL2,-0.030408605200986028,0.05094423235873906
NPPB,-0.020411896866310755,0.029070125568208063
CCK,0.023363738327556987,-0.023381658548355992
SEMA6A,-0.03449940858906326,-0.007525164359420118
IRAK4,-0.06182593334018053,0.008298207972580506
GSTP1,0.04799707784152529,-0.07564471046795523
VCAM1,-0.01067735178565009,0.07664253813732695
NXPH3,-0.002075463041552657,-0.04201302788368658
MTMR4,0.03114542552306305,0.0020118912571056896
LAMC2,-0.0025667413948309106,-0.034340755077615456
IL10,-0.036858298931511775,0.04298295310342797
SEMA4D,-0.030867946450043485,0.03438864855781015
TRH,0.01881633168718539,-0.02018779936549689
SEMA6D,-0.01185264861256587,-0.04272889260125672
CEL,-0.007732879946275043,-0.004201661615014335
PDCD1LG2,-0.02886024235821735,0.011574481597210176
SPINT1,0.056443255548481126,-0.020387757072542218
CTHRC1,0.05630036686018436,0.05720265458283269
PODXL,-0.0063670337209724166,0.005300556080866979
JAM3,-0.00038275548426666163,-0.03851232141264067
TGFB2,0.060926916360772736,-0.05957129178789377
COL18A1,0.021018565345540006,0.04089160843917172
NODAL,-0.02365845089887408,0.06495065883284216
INHBB,-0.04967223395149025,-0.003800542094271808
LCN1,,0.05863986353299417
ARF4,-6.072016910467445e-05,0.08134125251558112
CXCL14,-0.005933866320370411,-0.028066636350184127
LIF,0.011696016622169144,0.10151448326583615
IL17B,-0.016973523040487496,-0.021561332235950238
MMP1,-0.021313574120827922,0.069474589664455
MATN1,-0.005709377999266296,0.025664964113204954
ADAM28,-0.001216064558984844,0.061436051705401756
TCN2,-0.022177547117604873,0.011203825702488809
THPO,0.0012538644827485214,0.02000831630302973
CUBN,-0.02226163567952814,0.040969736365812526
TIMP3,0.024420140074503403,-0.012650936395188522
PIGF,-0.03675836255559668,-0.019324094310249493
CRH,0.010776320772978007,-0.03027283438896566
BDNF,0.03260078685680574,0.04805594916568003
CCL5,-0.0231887562907869,0.007754561312974035
GAD1,-0.02614764283778534,0.016066970300380345
COL14A1,0.03620513882508487,0.03673827371701735
HLA-A,-0.03500876142377584,0.08852481978121535
FGF18,0.0029591065239937013,-0.02018780098514819
ADM,-0.009998355359291371,0.09804619720935424
CCL15,,-0.01750887822717448
GNAI2,-0.019169681184301075,0.020990534692684845
HDC,,-0.042549749130938654
COL11A1,-0.047008417753166575,-0.02986288899299033
NUCB2,-0.013719751479323933,0.04273472650913398
CXCL1,0.008403356066203621,-0.03463080880428789
VCAN,0.03749965383527536,0.0054284154794538445
MMP7,-0.020508034281679806,0.1287026656959639
PTPN6,-0.03310422819156509,0.03536421472138435
PTGS2,0.005730845339863755,0.024176207974305558
CD58,0.03952866572190086,0.001400314431227465
TNFSF14,-0.030775682469750317,0.03962450042311612
CNTN4,0.0363083582316237,0.025047892199739078
INSL3,-0.030775679496323854,0.043368348294359524
BTLA,,-0.004801258207169147
MFNG,0.020125988598814624,0.01566859659634192
ICAM1,0.010465982867118789,-0.007649773724121671
PROS1,-0.02186885528112082,0.03162811894287258
CLCF1,-0.014855822290759137,0.030997744855317713
