,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.08478500609359314,,,,,,,,,-0.026514249514146545,,,0.018312804625949718,,
BMP1,-0.020203776412409225,-0.024002321935498446,-0.002950726390653142,-0.04218989933440131,0.044694633364514916,-0.009876741899292996,-0.08148950348505965,-0.16681245098072947,-0.5152051949796677,-0.11903200259841303,0.005726065011608446,-0.15544960176845443,0.07546988661090044,-0.3559862844395495,0.077600587904623,-0.10988786253924096,-0.07086510784670513,0.04219062350265118,-0.18919534629671914,-0.1049058231638524,0.0019311668753058083,-0.12602841845436027,-0.030405076536969822
NDP,-0.03609307484202842,-0.12563031354093968,0.0418592863048397,0.014862846166648527,0.012893748410101578,0.00958912443780093,0.18584842668407345,0.04169226198950056,-0.0894031638063163,0.08062961973726324,0.04885573072165905,-0.11171228247015655,0.018505569901661467,-0.042291840191082564,-0.0032474173340850333,0.08672227147347203,0.0812013977215035,0.06943633176507487,0.13722607617791596,-0.023777233760931916,0.0957469150330551,0.014665518303634481,-0.014225868195936449
TNFSF18,-0.024278982924655967,-0.02069653890202834,-0.047695873823442626,-0.0582449628074761,,,,-0.045011795095428124,-0.10226736214225148,-0.014486341795741615,,,,,-0.028742981680783434,,,-0.027343677519951853,,0.07696536433134972,0.04320150105710443,-0.10054898303549367,
IL36G,,,,,,,,,,,,,,-0.041588875644158266,,,,,,,,,
RTN4,-0.013673865487547829,0.3989545095208583,0.0599917549812205,0.06262769195278065,0.038180262227062646,0.07700503662787743,0.24267530469045379,0.5239152523153516,0.6129982166147719,0.3032526519458258,0.20436019913733686,0.552873354677725,-0.00812768929782697,0.5244301663557304,0.06519353377935959,0.0736867289703904,0.012100195232369364,-0.010412805179178442,0.1135111032601398,0.07304881048855709,-0.03821272998534237,0.5493394206994745,0.011411687937950445
HEBP1,0.04164392949764986,-0.08809601460972344,0.0031639555784545607,0.014426402504309706,0.0270506169337338,-0.057617043683574655,-0.04027161261125907,-0.17440587417567913,-0.23131255254906513,-0.012815800347470634,-0.07248725271435201,-0.2458508635157209,-0.049435682088382796,-0.02270620206861952,0.03394157914912722,0.03984165449715672,0.07222793725106563,0.10188343055715651,-0.04252567437703118,-0.03446988664174762,0.06901870101832501,-0.07719174969267488,-0.03715397049581561
WNT7B,0.0222675316979754,0.4069254487493268,0.05361716866779968,-0.025397174146348886,0.039456089815226414,-0.027502540118249427,0.1184777978233051,0.14292068861167567,0.3606192131231065,0.0066910840476277714,0.13443581346635816,,-0.01250984602456482,0.18083996904399702,0.06046223775634043,0.025178685637255012,0.04369926060328898,-0.031241059724259473,0.030844745631329325,0.040850503432129856,-0.0804812265675396,-0.030766459591982043,0.02357865122439667
PTMA,-0.001275212030123613,0.03286238244768394,0.062166590192726495,-0.05007149169680357,0.17297702327244086,-0.0445544111658083,-0.23410079465004335,-0.5177777091857699,0.12478712060273237,0.16378655083065746,-0.1743481579958805,-0.7153451625144361,0.10658665361322027,-0.5213428371742931,0.004977521326180499,-0.11244912163114526,-0.004658971474821626,-0.10178295616012437,-0.07124370647578358,-0.1403839811251708,-0.10442174702935456,-0.21338096996473374,-0.21577699712570972
FASLG,-0.021389029564352628,,,,,,,,,,,,,,,,,,,,-0.019623531854629648,,
CEACAM1,-0.029698854740200047,,0.0714775239240498,0.02202770125624256,,0.05955153296289794,-0.01412800340440385,,-0.10720372199059008,0.007043550591438138,,,,,,0.0146224157956814,0.01439286134649318,0.03716772945747934,0.09307696745727852,,0.01079698075225755,,
PDAP1,0.07030302298508746,-0.15992748054817868,0.07470762484334882,-0.005082678473786243,0.06492958909672036,0.010069161418000721,-0.08334018359836629,-0.19848314461485117,-0.37351184614219535,0.016169490845238294,-0.012658244065907357,-0.012666727734088229,0.04389008505667366,-0.2501416543541345,0.025806089824550998,-0.07012845646686276,-0.10033499249719965,0.06774568330887029,-0.03690466657504502,-0.07318244234505586,0.010071206548876752,-0.0492814678528655,0.05090970734265327
QDPR,-0.04536475717973801,0.253226967512015,0.053301767216248984,0.05001262870283461,0.03951100446171517,0.019547743958771197,0.300088572217391,0.09207952950706988,0.23866767347886295,0.1449768915714554,0.016216704355271158,-0.4822321116836019,0.07965260894053577,0.15125377750686783,0.046121805409071626,0.09980672396359494,0.1337981760166392,-0.0584769210653321,0.08045526638340561,-0.12021260398676825,0.07927915140468014,0.37334312708189965,-0.10150757066444911
