,ZH1019T1,ZH881T1,ZH916T1
IGFL3,,,0.06989976973502794
BMP1,-0.0021850941946341186,-0.042781201901707255,-0.014441352045857891
NDP,-0.0004489233053144502,0.07796871504650511,0.046755121936896925
TNFSF18,-0.042222380205653116,,-0.031378937999035246
RTN4,-0.10358637746803323,0.11947218818170789,0.031971030767040456
HEBP1,-0.013007404756217145,0.02358307018300313,0.0024409267917391672
WNT7B,,0.03036682066996339,0.013433156491119423
PTMA,0.020312470387901894,0.017177491717288093,-0.031176068998438795
FASLG,,,-0.016133862869047957
CEACAM1,-0.029689499029322393,-0.014279550664770891,-0.022447900549150347
PDAP1,0.023771113755447958,-0.0069560026247709236,0.02255394612735803
QDPR,0.00588058570546814,0.05069648576572515,0.015016715584116186
POMC,0.0402935142966203,-0.0069606132503447025,0.05568299837345932
CCL18,,-0.04917514133965279,
CCL17,,,-0.014623534541462783
VEGFD,-0.04036222331979419,,
TNFSF13,,-0.016034978344849904,-0.006505104429767519
WNT5A,-0.06050041957467234,-0.01639954109041196,0.021206548442073977
CXCL8,0.02862510928711219,-0.046910899874338795,-0.022856712064937324
GRN,0.0938307497978464,-0.0653564633712643,-0.03441864624697618
MIA,-0.021495559533485174,-0.062695389619429,0.09811476032079865
COL4A4,0.09352745156285087,-0.015685840285181826,-0.001338338353257671
TAC1,,-0.02463629289071315,-0.01922412313833227
RARRES2,-0.0786188327722261,-0.03487876321106315,-0.011037112213644801
FGF7,0.015931467906633856,-0.01002703886279263,0.012806734046265795
HBEGF,0.030399413071419412,-0.0012718319823529275,-0.00800718025349317
CSF3,,-0.020471686445519343,-0.015396325925690655
PI3,,-0.0831923392167052,0.02917965738271227
PCSK1N,-0.08595141722131781,0.10536602311374992,0.033046183091613925
NTS,,0.10815832073636976,0.014381845703779386
SFRP1,-0.012878072587638168,0.05828003199140649,-0.022270048267715208
CXCL13,,-0.033393580666030764,
MICA,0.08250316915196594,0.0021469242038917287,-9.84008995213186e-05
TG,0.01215691434488179,-0.016848512524486683,0.08058847879704673
ADA,0.07782051970197343,-0.04147651429434999,0.009546410020557429
LAMC3,0.08602900169321245,-0.010944747415812481,-0.02724881527321023
CCL7,,,-0.0161338571320389
NGF,-0.043926727650930766,0.020752283767447446,-0.04830428198658833
TNFSF15,-0.045417504994997894,0.10334808529154203,-0.042628443848425714
HMGB1,0.035836401036877755,-0.051997199898335254,0.010023693427570516
ITGB3BP,0.030592521676270634,-0.007392020253862728,-0.003915224400424552
AANAT,,,-0.017070293662682267
RELN,0.01576294366837763,-0.01535540182887522,
IL15,-0.026142286393962343,-0.006470570881395856,0.11417611509436736
BSG,0.013782010231590367,-0.032938381416809,0.029238254456037102
ADAMTS3,,0.04723064460853019,0.06722863365846975
CD34,0.028505887700706632,-0.0782452570097363,-0.03330307950195112
PLAT,0.031774327288108674,-0.019359740609762484,0.02449357850029525
NTF3,,0.10029166461545128,
LTA,,,-0.022974042714973837
CKLF,0.07169877695180298,-0.03385711943826191,0.03276273978364231
CD24,-0.06475563959578738,0.092387946387712,0.038720951977165796
HSP90AA1,-0.020173659569701137,-0.03963925256454873,0.03599717360570127
BMP4,0.09427908497769583,-0.005314187250096134,0.03197113870741648
SCGB3A1,-0.04330775468235097,-0.011990665806188789,-0.008143087689098364
IGFBP4,0.1059994543502054,-0.03981562194820396,-0.04038384663685887
RSPO4,-0.03959861034058881,-0.017779268294470327,0.052783573365439304
LEFTY2,,-0.02417863027803157,-0.020300671786142897
PF4,,,-0.022974037398609946
ANGPTL2,0.056970806072399176,-0.007818621666010519,-0.006201171291323553
LRIG2,0.07839404157239818,0.006212025468112297,0.028064835814372704
ICOSLG,0.08207541930964342,-0.07694275874038746,-0.016240729181715097
WIF1,,0.028799546828977732,
NPPC,-0.02775597879810412,0.01369161804044667,
LYZ,0.043536838465403065,-0.06629965433565238,-0.029322706316039778
EREG,,-0.02214437842047932,0.06068312075123736
SPTAN1,-0.012817194341131028,0.07823456976047986,0.05560785391871316
PTH2,,0.013098631549665781,
LIPC,0.0567121487695633,,-0.029047878892689425
COL8A1,0.10718309283687368,-0.026329709730182005,-0.016332311705913545
GSTM2,0.01616513233332417,-0.016355824772420313,0.05132454215024276
SPX,,0.00012533563975857375,0.08548802870080091
MFGE8,0.03054265235150184,-0.004534865256183903,0.009563362297737818
TGFA,0.004611833542691736,0.032053638992789506,0.09260467247902501
