,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH881T1,ZH916bulk
IGFL3,,,-0.01813370414184369,,,,,,,
BMP1,0.02393170025146007,0.03531078453132405,-0.10138846401780895,-0.002217065967380241,0.01605180708679902,-0.014274576149971368,-0.07767687278795257,-0.005764131076110352,-0.022281673080281634,-0.020091536787640443
NDP,0.02049444000845801,0.03288587940637903,-0.04676371902974815,0.05242372127818545,0.0517524049015582,-0.06190581991585713,-0.04861798958671461,-0.010802066425799525,0.043563797502818864,0.10061416424617539
TNFSF18,,0.005031690829538627,-0.012886102146975782,-0.015018611090001388,,,,,,-0.026018896164224325
IL36G,,,,,,,-0.017456429470416344,,,
RTN4,0.0260930063157335,-0.02013215756692829,0.1197058060283893,0.11482595156152851,0.028294796954280384,0.2099273868908763,0.14903225283667043,-0.017995545487552254,0.05034578320693103,0.04917671214830279
HEBP1,-0.01453429030809553,0.02965366860551033,-0.06158304237183981,-0.0181383164086677,0.026826304014693915,-0.1356794119743245,-0.03741426957585386,0.020635574121132195,-0.02038869474481631,0.013977052965814585
WNT7B,0.07152300247541082,0.044854151457217,0.06482383147577928,-0.02282619036880944,-0.011723842849317944,,-0.0018503106676202702,0.010745510249887182,-0.0034841296237942423,0.06164374986069748
PTMA,-0.0458227786024102,0.02848339453293393,0.005941590121377017,0.10161660633196035,0.004284086716980419,-0.22429396186821482,-0.16460497267332858,-0.10365201082644405,-0.012848880674271299,-0.009323318560179676
CEACAM1,-0.020719394990679964,,-0.03543572253613143,-0.023620697300215772,,,,-0.020585066983187572,-0.02682583662617747,
PDAP1,0.0014896848303182489,0.012428414602354438,-0.08899398023396293,0.0013798540784957503,-0.028507820960714903,0.07901771845347122,-0.05199112734423641,-0.04397914314503005,0.005754061510546247,0.007165807332793227
QDPR,0.04905806424547288,0.03532820393839432,0.05003423726891814,0.04794446162574653,0.044173220213343224,-0.1559025717696692,0.04890922040866317,0.0228183121984848,0.0025060147338422964,0.05054789965188496
POMC,0.08129854972506734,0.00039605035674510026,0.10279178193928865,0.04638872357390438,0.067248647359618,-0.0228558347574762,0.07399207043490219,-0.012206335780952062,0.06613610722018681,0.054949087029152494
CCL18,,,,,,-0.12080887967043193,,-0.03767042007057098,-0.048555189865095265,
CCL17,,,,0.04172938742021219,-0.01451083092652966,,-0.015946943909089965,-0.014604108679323038,,
VEGFD,-0.019823144033092155,,-0.03037881869065437,-0.01995643691217525,-0.010643869970262886,0.06323377313728536,-0.017090833717435708,,,
TNFSF13,,0.027459711935130415,,,,,,0.03524646085142893,0.007115709434375371,0.027806865302466177
WNT5A,0.015206045206718012,0.0513367520467573,-0.10267622119595862,-0.004513359936769887,-0.0139969877022959,0.05009667661398462,0.05197881093382973,0.009722554719771842,0.022029856622086834,-0.03927444679451405
CXCL8,-0.045677226584551256,0.0379787992208852,-0.03674921439748244,-0.03757760711834975,0.04694397618245801,-0.06762937461392474,-0.010475850813234074,-0.07657165380827814,0.017711287808725686,-0.014880087935347076
GRN,-0.048077630168406854,0.04814344003150537,-0.10598973897790048,0.02299027185122421,0.0552670873467728,-0.15183796789327886,0.04889963232093256,-0.039728977902487264,-0.025387145813441505,0.01283143622053726
MIA,-0.017491250753163153,0.042998106056089794,-0.0371294227056233,-0.036816287843524906,-0.012105160513030237,,-0.023406680007240138,0.1019100670653711,-0.007419304002569843,-0.05185019605248582
COL4A4,0.0064970314970781325,-0.015782222335958964,-0.017869419454566323,0.00808814807483911,-0.02033570697041047,,-0.022705347973747913,0.03829125305595926,0.04084879190852206,0.03498648005033349
TAC1,0.07345932981041994,0.042768213179398606,0.12756605827943582,0.10111577642063593,0.04447517397800275,0.21533113800587064,0.15330462391260882,,0.020985534170553807,-0.020714619515941203
RARRES2,-0.07600526742773092,0.01446922612433861,-0.14101334690355755,0.09323933638314211,-0.006884166548532527,-0.06117433015010283,-0.06972806516430427,-0.016924113002211888,0.0002599179264649071,-0.0021217388674272674
FGF7,-0.028058793679053225,0.014800272226657021,-0.024173247493155723,-0.0022452214249168057,-0.006292754561711448,-0.03966573487261644,-0.0474691251761341,0.051069981746904344,0.02008282896998733,-0.05299965633054133
HBEGF,-0.05266901060955645,0.02883126036350573,0.005831955363040014,-0.08852196129449262,0.013283906415195343,-0.040571279589356406,-0.05397715800839234,0.03633182023460429,0.0027342954675221177,-0.08619777895758757
CSF3,-0.049568366390525115,,0.0015684118108481107,,,,,-0.022488870225839567,-0.02854743000988642,0.030194399918988972
PI3,-0.0608094183728001,,-0.021287844596686,,,,,-0.10771286583233088,-0.04954007928215525,-0.020948840958123598
PCSK1N,0.021585688349667145,-0.02016058820381633,0.09365052534427336,-0.009661513485226828,0.016716998522290374,0.23885142521220626,0.14795533403578895,0.07690800168208782,0.06334105102904003,0.04794526340719492
NTS,-0.03980879423512525,0.1123371608098009,-0.023237135929138536,0.0034564373131394403,-0.02631539453988788,-0.007410669752159723,,-0.034069865317174014,0.016226691604510783,
SFRP1,0.025160240783608626,0.018282147349300906,0.00907880982320298,-0.011831011443415803,0.04303425568176653,-0.04622162329698936,-0.03668819716334497,0.03137602677840671,0.02897090668153045,-0.0015070602055263355
CXCL13,-0.022411530266524253,,,,,,,-0.032803822355573435,0.03245759819557928,-0.026991641036027355
MICA,0.002409019978950147,0.014622726518957574,-0.043448918897651456,0.005461373435848133,0.010463236368455463,0.010388897022396005,-0.025902346300957522,0.0002862885582120748,0.024600388918673,-0.013615501758457237
TG,0.048167253527208034,0.04635417577216877,-0.022817249283082243,-0.01887090670199723,-0.010501425326488541,,-0.009098009874219673,0.02403796116102212,-0.03165193744443614,-0.029744928101798827
ADA,0.04558891220863545,-0.02670643263211296,-0.11423602644333918,-0.05580425996672571,-0.017055159255404247,-0.09340608314165351,-0.0612590380472136,0.02045724282951394,0.05573062814043633,-0.019290960984829998
LAMC3,-0.055916004949709934,0.048065571856580024,-0.029911378333213706,-0.045963447040287285,-0.002513810204129977,-0.03374035794381852,-0.045991869403780174,0.03735169186582778,0.028732610891174404,0.04993443394206543
CCL7,-0.029713551357411622,,,,,,,-0.0023268602343586037,,-0.016552691103522286
NGF,-0.03171612344819409,-0.021221616561675705,,,,0.08027205285075285,,-0.025279110233258743,0.06847468141037187,-0.03771231920849414
TNFSF15,-0.02199981259439118,0.018195894161769702,,,,,,-0.02133853000576463,-0.02388206897999162,-0.03682846458092702
HMGB1,0.02254917761010886,0.00019808075144060373,-0.08429481984182229,0.09447766133709407,0.005181973408249055,-0.01937702978124657,-0.057856016910110004,-0.10746310834643844,-0.03801009104033123,0.03586181886607993
ITGB3BP,0.017381099583313294,0.0124573028023344,-0.07963120045938445,-0.0413270499847499,-0.0327523721604671,0.04021009801123935,-0.10748047197736182,0.0028586370141946635,-0.04770045003550827,-0.024971073278652937
AANAT,0.07337332643325957,,-0.017053274278252612,-0.016970716679028146,0.011187210992560651,-0.0015705742023742935,0.04265708345198596,0.002749315535152298,,-0.02031849904976389
RELN,-0.019459898306369846,-0.010690313695711268,-0.017993727478033936,-0.013528764075283525,-0.01963832728393808,0.09383984949652,0.09312399757646582,,0.02366399528890412,-0.05380423845360858
IL15,0.013432407404897187,-0.018335246854134322,-0.04448188845545251,-0.004167830856738598,0.007598524384081215,-0.04903669188600169,0.0836968782226332,-0.03517907248484547,0.04663549564984175,0.060079328998888286
UTS2,,,-0.029113832610458582,,,,,0.009856458335826799,,
BSG,0.07590735041804658,0.031424573973387215,0.07954452432199222,-0.030820316260409958,0.011213649840704911,0.17269335091896282,-0.08741540589323832,0.01964911282568987,-0.019394305639255545,-0.038689735087063915
ADAMTS3,0.01606697921325566,0.034926435743227006,-0.09902235583919729,-0.003623506423916351,0.017543186682797376,0.0501812280369513,0.09730178854094136,0.09671545231602185,0.08165344112597388,0.06484256682366651
CD34,0.012394669707458216,0.03784021127570347,-0.032606341614475925,0.07592491700870227,-0.009219837276097053,0.02313713382109626,0.05393860778049999,0.034461652388531695,0.03324592767840969,0.05700204225370892
CCL23,,,-0.019403919099534143,,,,,,,
PLAT,0.003297193541161873,0.0013426702866306693,-0.12888775747039133,-0.13945694892737254,-0.01810024542915791,0.0644566546613339,-0.023277125239818303,0.05789130416516571,0.0071360546770041135,-0.0358944475539917
NTF3,,,,,-0.004496241676606486,,,0.05408282887214047,0.03838915937719474,
LTA,,,,-0.016344568787180987,,,-0.019839444427927032,,,
CKLF,-0.044962541003977195,0.034272263925542286,-0.1031293932866364,0.03914399916377288,0.03194207482672426,-0.11164738068905627,-0.08613015320424369,0.02380141432034937,0.10419040215648738,-0.043710727042773505
CD24,0.06447837679437822,0.03334233659743725,0.024558759669465607,0.08387150924871803,-0.020869457782173383,0.0029896428987624163,-0.01611880812010821,0.09388513437853714,0.08175057187501755,0.06647615001817349
HSP90AA1,0.06811534493760822,0.01199109483851056,0.1437954817863316,0.009911759813677217,-0.007806796546766822,0.21651184441179502,0.1840498233380676,-0.05240105083833336,-0.017184737620233387,-0.0036877292776602674
BMP4,0.05343317939773138,0.010057356643233687,-0.0522347608367669,0.02230997672659767,-0.004291467398078572,0.03759151561897036,-0.016905255758213215,0.0266659858676822,0.03392716850139466,-0.0025228350448544988
SCGB3A1,-0.023606920754184836,0.007649758170237477,,,-0.010210821857508871,-0.00793931056444503,0.0831656762745907,-0.03331475454047163,0.08849943213886474,-0.027841682119682246
IGFBP4,-0.03477530861491349,-0.009169847352296378,-0.04902779982700218,-0.0837431027515629,0.0013503604555912456,-0.07219531401845489,-0.06213253426265999,-0.05117474812799889,-0.003932492950951457,0.012233236227038407
RSPO4,-0.027246223977179827,,,0.05395157850981232,-0.010210820363945189,,-0.027520432781557656,,0.011657013794891202,-0.02562082246766046
LEFTY2,0.020792153363744046,0.10150920210557476,-0.08048317775665367,-0.0070691616773572545,-0.011196289410142798,0.051150955561005504,-0.024491572586615103,0.07266728891933125,-0.008183682550099108,-0.007403342767374669
PF4,,,,,,,,,,-0.020070239985188365
ANGPTL2,-0.007210568046958332,0.03264414704159181,-0.10127772943272652,0.03159510773137769,0.018193180678604384,-0.04357233043311674,-0.12070350028176677,0.03591752278766072,-0.0017897643389760058,0.013724468154783816
LRIG2,0.005767099098418353,0.03806236034291957,-0.0683832482057495,-0.023046957200127983,-0.007652435650115064,0.04370263590746077,0.006951651897277128,0.053320058552226345,-0.009166037967480946,-0.0030071651135066945
ICOSLG,-0.031906168560164615,0.041398099970274445,-0.0804900988788364,-0.035551494262984935,0.010793232835414683,-0.118215206582196,-0.052343761124997126,-0.0029524160943396826,0.01998982787998275,-0.031754180306263334
WIF1,0.057781381575704324,-0.03750277080676128,0.14050539406621423,-0.014669357249372178,0.0389836405578132,0.16948500768636715,0.1119610036883626,,-0.031048974898021265,-0.03682846155859837
NPPC,0.09451965389584362,0.041596316510143866,0.008858448292508902,0.09215539070243596,0.08597419415263281,0.10407107550176219,-0.1161173647511594,-0.019468199731644084,0.02362261378967384,-0.04823342265249529
LYZ,-0.08543736513153626,0.015925035683001906,-0.06512106301934556,-0.006801776480004009,-0.014453110968452587,-0.1990727691082762,-0.036811339084876764,0.01628397577477993,-0.04883670941621377,0.012664060013544408
EREG,-0.03834190183365763,,,,,-0.023544568352156105,,-0.044429106302188166,-0.04160085227062426,-0.0009411331049413827
SPTAN1,-0.023986017266198454,-0.020991718661928314,0.12760224426644878,0.06153557846798509,-0.017124156684651507,0.220640624628658,0.07914418127423256,0.08746085287738045,0.02696079949967615,0.08252361660531864
PTH2,,,,,,,,,0.019133461776647823,
LIPC,0.015828294425664892,0.024890517935777172,-0.0361753850766113,-0.010628474044117578,,-0.06830729951905387,-0.031165911917997537,,,-0.03129833787309521
COL8A1,0.03683364614415047,-0.008417816270159712,-0.059807416996192415,-0.054737195559586165,0.039365415827617725,-0.04926940223595606,-0.07081676410612539,0.05803612846609575,-0.044333348268408825,0.030233107469985306
