,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.005285177863095688,,,,,,,,,-0.02454493674591473,,,-0.016906336416183502,,
BMP1,0.03374461481656246,-0.02075493709503499,0.021640736925054502,-0.0027935985249593633,-0.04827632058396158,-0.012236156981180725,0.01828983248805948,0.00019039119218339597,-0.1317096377278231,-0.08412213133118931,-0.008880499929545073,-0.06266031177740947,-0.14958202028424644,-0.02264686163694954,-0.012973334206050869,-0.0014091045263768978,0.011638051313111427,0.07017617909665325,0.01716461585560264,0.018972604486637325,0.03300927383123318,-0.01832377495373229,-0.06221744589960721
NDP,-0.049199072826556195,-0.001029054443943912,-0.005735715271878618,-0.00840772783392401,-0.002861893837840198,-0.02364671535617898,0.0441476331414849,0.019766828993216443,0.012031599779411898,0.03025747376527633,-0.013205817230317458,-0.10338643453433481,-0.037765514781747625,0.01337785684414706,0.01784964283041702,-0.0008622928029349293,0.0855488040793115,0.038327236228533075,0.0001080061463241197,0.02976750767724766,0.040902865637511644,0.016768795291334803,-0.04179247771643357
TNFSF18,-0.022885149103990837,-0.03160129250898778,-0.041319818161096734,-0.005135172259701763,,,,0.023199570892518905,-0.004874362817327447,-0.021599660573123146,,,,,-0.0363376570589128,,,0.09966909614172983,,0.060594259497563675,-0.018019623099766752,-0.042395494042510445,
IL36G,,,,,,,,,,,,,-0.026489578071987936,,,,,,,,,,
RTN4,-0.08209580503784807,0.05918372680321053,0.03280923911197719,0.012322231583845758,-0.0323396128045055,0.06085386398524467,0.028038187090796446,0.06758077542580912,0.17575401734921559,0.08044401331086862,0.03902902574310628,0.3756224389447413,0.19609975299430832,-0.014012386429509456,-0.020291411153823893,0.003910222797697692,-0.06600517089061732,-0.012114874893992525,0.06657380221419462,-0.041067059886511145,0.02012646442516778,0.10204665962601935,-0.008527600687261199
HEBP1,0.045784524328237514,0.0635677041717103,-0.03147381433904214,-0.0040788968128475794,0.046456350035912926,-0.026212376485375465,-0.01952381887605929,-0.011159368552625481,-0.09880934362714801,-0.010279159589116516,0.009859106918051457,-0.13021988176915755,-0.028057055469845504,-0.0375865273583574,-0.06158073135596127,0.01882333331801434,0.06690033786998982,0.046671799980109285,-0.03639788228819478,0.026501714397929546,0.05356451625613987,-0.03831515881897479,0.0012568346318073244
WNT7B,-0.020161099577813743,0.05214814746371689,-0.04131119585290573,0.000599790977831492,-0.03572386083115587,0.009376428456467033,-0.03749567286652785,-0.05046068464065841,0.07053614857693073,-0.026599237597618373,0.06745227990415911,,0.10343699758293426,-0.0437875559315165,,-0.012687352976281378,-0.04179829549514471,0.04310733357303098,0.011386473340367333,0.2543561325140879,0.005839143410691204,0.049034001882654575,0.2480177743003583
PTMA,0.013567754896258737,-0.02817686940738353,0.017352910031369184,-0.017898363579524405,-0.09572572824679963,-0.006287381483975005,-0.03141076219113565,-0.05281323599171002,-0.020248975095282378,-0.0005510441904995541,0.024044061130642877,-0.43941850138282745,-0.21959653308603164,-0.18256654215731416,-0.09858182479542911,-0.035094597482376165,-0.018612266450181356,-0.05034865521319407,-0.0031196016981748505,-0.05160074524620352,0.0026282445394169274,-0.07733805855286412,-0.15761000638670253
FASLG,-0.02016110527730495,,,,,,,,,,,,,,,,,,,,-0.026683260123941552,,
CEACAM1,-0.027993871121225065,,0.027204939644998566,-0.01938972955456937,,-0.027723573186618392,0.0358711207766086,,-0.06231809569693632,-0.0013091853238693168,,,,0.04257994107495722,-0.03797084707804152,-0.02464811189198269,0.05045974231379835,0.018433853295910265,-0.02867814302056547,,-0.03712583740490752,,
PDAP1,0.06245120838807945,-0.08717180997004569,-0.048938272269229185,0.020450157764599085,-0.0018114451059655198,-0.01757772221443075,0.006965829129604156,-0.032276396749865564,-0.06928998563460959,0.003971564123449705,-0.0022903875741983534,0.03406110955969167,-0.11527643248346829,-0.015262082153025209,0.08928298362931224,-0.016724463693289057,-0.03447492496621759,0.020472430460153377,0.009295488274116501,0.08368329124428786,-0.03554635765221358,-0.01117613725730993,-0.09153679144723151
QDPR,-0.00934719747109878,0.02623603205349351,-0.03488678029710331,0.035867631100836586,-0.001317114883171908,0.021147987480770788,0.04518793424648151,0.09693440613197861,0.03810123826496615,0.021878912341281774,0.029148416545842597,-0.3824494802380274,0.022435092402209263,-0.05219934850402657,-0.07645271262570659,0.07859972612920842,0.06677314519834412,-0.0795603062469066,-0.052464072833437264,-0.044317205493400826,0.021712453966928426,0.1512407227531384,-0.1395777048704858
POMC,-0.006434637073968662,0.06507798777655713,-0.003511132166487036,-0.014623352925061438,,0.0020189090856154233,0.05880450267762755,0.13370424720700969,0.008598999702226374,-0.0022844554154950744,0.019619910738473655,-0.051871523975264074,0.08082597938970285,0.04813845038316622,0.08805107159021307,-0.046919224619225805,0.09237184138535934,0.10858797571493879,0.06904461018943832,,-0.049952105694031405,0.12655245602345236,-0.048524131505030044
CCL18,,0.010674823620677919,0.007898616055259548,,,,,,,,,-0.1338454806048279,,-0.045793515633762896,,0.10853176620085776,0.012877114469945961,,-0.09439002848355942,,,,
CCL17,,,,,,-0.029629054856817705,,,,-0.026938982059427234,-0.011759212988334669,,-0.024198981607627464,,,0.0084887645962464,-0.0001991928145856213,-0.01655211133403198,,,0.012083650789783205,,
VEGFD,,0.03937948529931194,0.009313936213981577,-0.01586202981068757,,0.0016739901384878715,-0.01906336935009713,,-0.04947419446422978,-0.028701206853868358,-0.009217342795815701,0.0852810887064649,-0.025934798112100945,-0.0554494647859952,-0.014797905798972062,,0.10413613302264034,-0.03413095250440295,,,,,
TNFSF13,,,-0.01108336657285794,,,-0.02043745892240434,,0.04189674771350056,,,,,,,,-0.04158959094487104,0.006918444961056326,0.03927475334600529,-0.03220363253024348,,-0.02791614954129697,0.05466075275014226,
WNT5A,0.0488788289388615,0.042004472006586586,0.013762010612574547,-0.020776030686318357,-0.047259404910350314,0.05886811350701987,0.017504616597370914,-0.09563664487131845,-0.12013218433464613,-0.014799865502932863,0.03614825277150568,0.07715352057398549,-0.0485386531002193,0.0893781144327827,-0.039017123466855735,0.0238624387443544,0.01030072293970823,0.04103636470401636,0.05996599291219064,0.09614482943643114,0.012486982590540032,-0.06411221173249837,-0.018231243789962583
CXCL8,,-0.0195735200276641,-0.014567272217604715,0.07481814745422151,0.04221742557741893,0.019499164874357648,-0.04219154778369759,-0.018270620531019344,-0.0441684529104786,-0.02513878691645755,0.006869244154511394,-0.1525927054056175,-0.02636247417394749,0.07252012711180349,-0.01542589600923785,-0.026250807134225434,-0.17184473359765334,0.07702063204852984,0.022094136354604187,-0.03379874091740843,0.0097556216102478,-0.08998724299127932,-0.05197901323528205
GRN,-0.03341504458027525,0.008005601934435912,0.015964352814475478,0.0007810134993775917,-0.06294086200886913,-0.01081049349944338,-0.010740122704207544,-0.04817234517201189,-0.13001352606115466,0.03466922546230652,-0.06450318705496251,-0.2832152034623565,0.07274828681066005,0.04995663835009647,-0.05659306024499225,0.01940393402724062,-0.01594391153460635,0.0443187509475468,-0.05547966034290597,0.0018915692107832434,0.039183218991013825,0.048112935587385754,0.0031891169023513135
MIA,0.10207680316318452,0.03247235486420191,0.011544889993748324,0.0018157066681981522,-0.005370998771516217,0.03303446164786475,-0.02000445188176804,0.07048740266383131,-0.013792839457768774,-0.019962677821040994,0.018687011772677585,,0.04896758879665173,-0.001190321238526708,0.01791673066965268,0.03218826604782586,0.22575217056080008,0.09983946634816987,0.055580302582722445,,0.04966166584872323,0.024011557991447944,
COL4A4,-0.023349016528711693,0.05806995040414871,0.01628092698555022,-0.041535324574359885,0.05031038332630254,-0.0008905052039641885,-0.04172298478222032,-0.02127642517104148,-0.03685429820917171,-0.028125130726358447,0.08546636809973662,,-0.03445464542571795,,-0.040419895152775234,0.007119485255758586,0.019466614146241717,0.045043275938925494,0.056698311742865534,,0.08852772009462322,-0.03227539033459683,
TAC1,0.0030222477813004363,0.0411820166077354,0.041795526045308694,0.058212452580867824,0.007082452564134247,0.03659303102183412,0.08753970814137567,0.10740329434326835,0.2288975780046723,0.0964252551844249,0.03393621233981802,0.3123151801834537,0.15241545438386253,,,,,,0.03538688505426035,-0.027903701280369855,0.02292308507310214,-0.04059430689003509,0.076994465057393
RARRES2,0.031857917849013276,0.059880454701542046,-0.014241043254277809,-0.02543346453193228,0.019459777287657215,0.07354458662965549,-0.05749497134189765,-0.04738691604731389,-0.17638152152053724,0.05711394565179243,-0.027642833627180098,-0.09217449432673608,-0.0867493946463912,0.2123570935154064,-0.049910672866259824,0.05131006145363122,-0.02998067701866167,-0.0030720143312544398,0.007518685412391563,-0.05138711500037119,0.005281323140727296,-0.00950005975714713,0.08446730881266076
FGF7,-0.010213989619321346,-0.0680912389104088,,-0.031345721502651115,0.037740284035379476,-0.028102593700082227,0.06553145423373732,0.03711543894276166,-0.010538921347223767,-0.029382350123674322,0.019371000107724905,0.016423406251367546,-0.014412797374754373,-0.02341995217237085,0.046495775787610084,0.06212458158702074,0.021197098858313303,0.05916887600835154,0.012502910247401215,0.014368410240408956,0.024088387770845845,0.11224962036842578,-0.0854839842271006
EFNA2,,,,,,,,,,,,,,,,,-0.006869181062299122,,,,,,
HBEGF,0.015007950386901857,0.020228010313946186,0.0167252394931433,-0.035793999152791606,0.02205009321210051,0.007660417568109127,-0.008882686337613204,-0.045714683701119606,-0.015867139944889922,-0.0267263263102472,0.014491086281287962,-0.13867141574559075,-0.05516298852692978,-0.06185891563342864,-0.06093819550643764,0.033164564691480596,0.07768284718541019,0.022630192908519586,-0.014139085379881362,-0.09433151618844204,0.017692762518390113,0.033778796193610135,-0.032906252119103814
CSF3,,0.017045783949804674,,,0.20000739016144234,-0.035315249942039835,-0.002809939228673027,,-0.038991138148149126,,,,,,,-0.012036583998578118,-0.10101993676451793,,0.00847873606932542,-0.03697493998861982,-0.02546347226096333,-0.019198125260335323,
PI3,,0.003988756110697201,0.018033320081781035,,0.027276015000730926,-0.06094345939421216,0.005230546780463201,,-0.043904536182135905,,,,,-0.030503107673527416,,-0.03006667084856913,-0.12769872502499452,0.08160921473855155,-0.0043890905653552895,,-0.022579854643354234,0.01583432294873067,
PCSK1N,0.044270398489227474,0.08603541129939,0.06410870788619544,0.09818899916288838,-0.07781021510696859,-0.045423242763667555,0.012975863940929188,0.021838498348000442,0.10465218372307244,-0.0664648867737937,0.04706288708694145,0.4572641934712462,0.14031612210533229,0.10967764612846208,-0.04895922549787271,0.08869760166246131,0.05203027430636537,0.027103856288320315,0.09325382169532687,0.032784223296104434,-0.006062534982327076,0.06238295501523371,0.024005734071030113
NTS,,,,,,,-0.02021366924695472,-0.03965868523249083,-0.04792479908129807,-0.014291054140216643,-0.056541350091658595,-0.06216666006941226,,,,0.046679988233528306,0.0552187268652406,,0.015450087410077366,,-0.037707930188407776,,
SFRP1,-0.02933490148378102,-0.0005378065085231882,0.01863514382827323,0.044713968139592136,,-0.02585249563192646,-0.021748003094627207,0.006804911230402286,-0.03055990223670092,-0.018952845628568117,0.028139217323796876,-0.11174073917122274,-0.058799382406417716,0.048666405019799304,-0.06353961218964659,0.09163770246151436,0.052906262592431766,-0.08752984783335772,-0.00738723004085838,0.04545644095194835,-0.03683169342167864,0.048809124060401166,-0.06714000609538885
CXCL13,,,,0.03551690196225606,-0.0184124916387058,,-0.021552548801462193,,,,,,,,,0.05247111563906577,0.01999882349380037,,-0.005938506241889992,,,0.037805112535250734,
MICA,0.03555299333976411,-0.028147415758465782,-0.033317665063430174,0.009228994817976639,-0.004028141391384899,-0.044780911273858796,-0.010080470013942671,0.054985587137674694,-0.05844564384096999,0.05856489075523594,-0.01069615941493824,-0.029403157031072703,-0.08090153342846612,-0.005012348823524286,0.013579499703674797,0.0538899858811205,0.010884357635988932,0.055468882605774664,0.057014221673566894,0.11217079788843182,0.023941189054880043,-0.019779623986516625,-0.018964497241429765
TG,-0.02334901126692092,-0.005166669830103103,0.019706453566827903,0.11436756604774387,,-0.007329307024957408,-0.046126679981289186,-0.0007563432474968727,-0.04705881528662851,0.06765197449788908,-0.02213315032392643,,0.02817002539909199,0.21471951536576095,0.08041831352739245,0.018247212690097915,0.02483951152917994,,-0.033837482929563185,,0.08663982600070669,-0.024860828320230646,
