,UKF243,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,-0.013421979888191948,,,,,,,-0.02131634099629424,,,-0.018926567261158614,
BMP1,-0.06172186885123592,-0.010512755263116706,-0.11991170632931034,-0.08186165848895177,0.03892341461352527,-0.11609085084398466,-0.10233652456587465,-0.045238570322489735,0.016101154901868628,-0.0004771259026584035,-0.018599907786468844,0.033833577366717944,0.00266713556352652,0.016447294616384327
NDP,0.027110840296528268,0.04556288525281051,-0.049953041719529016,-0.026485052631325924,-0.009774495046581828,-0.06421292753023762,0.007879867669471264,0.10042101379118554,0.08637625999959278,0.030454055635684468,0.004611762482620443,0.014073928937232616,0.10353065555570995,0.13410450796854315
TNFSF18,-0.025976067717629298,-0.014769707164226374,-0.01993123719508705,-0.010176853011136851,,,,,,-0.02460453022433471,,0.03145217382313359,0.05372384847851657,0.04292232707452063
IL36G,,,,,,,-0.02160973822855845,,,,,,,
RTN4,0.04513300538045987,-0.020022257548395973,0.12516051481039828,0.056930462074188885,0.012414882282741173,0.23398736062159156,0.14911165220611552,0.0682032107815004,-0.07613285983738309,0.14199655145809248,0.0886942084683507,0.0005471461966848148,0.0006239413662115613,-0.06362592334334137
HEBP1,-0.05640574681954382,0.023726456926207982,0.047759450686079584,-0.02936127356402894,0.06288254956556326,-0.12655322291785426,-0.01007351622807811,0.06420950281430436,0.12311405317237557,0.06151621141058298,0.014385967819355769,-0.07459291289886155,0.03839085994009101,0.05633254548341157
WNT7B,0.14699478662084947,0.07472777376205922,0.1280045307319014,-0.029171001816951283,-0.025447929838026014,,-0.009164295670854437,-0.017993162108503165,0.055075358673980175,-0.002294694970771427,0.041475112545167156,-0.03164198744599122,0.0010556677441051912,0.14697535675799733
PTMA,-0.04944825803599683,0.042714996018728,0.05166432514508307,-0.010633131822732567,0.021478191214505872,-0.30688719515014296,-0.13603312604171264,0.015963390143934015,-0.032201301994103405,0.05434784116647706,-0.027097614983394337,0.010832272447630683,-0.06988324936327714,-0.07027529631468622
FASLG,,,,,,,,,,,,,0.029101018162177986,
