,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.022286142423505923,,,,,,0.07782054803591519,
BMP1,0.024429012206775423,-1.5874952381253614e-05,0.04130831404557218,0.14420464950850656,-0.03782672093907529,0.003515023708405085,0.01804382285674894,0.06254462077599364,-0.04973677539984325,-0.052626551072796006,0.09521779097029937
NDP,0.029803873950610155,0.015957745173101272,-0.054254553895353184,0.059520584841884466,-0.014271217211191083,0.03096589512083287,0.15369078819848844,0.06214361390651155,0.05655431505021766,0.19920793879099505,0.08148371506413572
TNFSF18,0.10362940094447358,,,0.0619004512994203,0.021391184296449147,,-0.07286136259266383,,,0.01243499401597175,0.005819269747519002
RTN4,0.010999827259326878,-0.018999837101527903,-0.06944782594667037,-0.12384969937989722,0.02494379089570831,-0.03782901696695998,0.06414236457805725,-0.09361274215837889,0.020111789269262433,-0.021458384898101198,-0.16214009137517746
HEBP1,-0.001782950369479942,0.02150510101209652,-0.012648244150978911,0.10424902282406442,0.0346141981846886,0.0284144226475196,0.0008872959821861707,0.03518424796351638,-0.00815493672330714,0.12767213249671575,0.025908373168967946
WNT7B,-0.01333010167436374,-9.040214844811427e-05,0.024717898614083952,-0.05364322895699195,-0.04557375209801317,-0.05031703176030817,,0.03264257193704228,-0.015776006245148976,0.007341671076406558,0.019411661270488684
PTMA,0.011687662214488135,0.04561948892683769,0.055172681723897866,-0.10654349725236152,0.03730417432584572,0.033000941929740686,-0.09412349938030963,-0.0588535360369413,0.014009041646936886,-0.14623679024519728,0.02028923833952088
FASLG,,,,,,,,,,-0.03637857122908066,
CEACAM1,-0.019877316227502086,0.030323125969725147,-0.014777320781550952,0.056973017423483145,0.0007300309938281485,,-0.05123390352305076,0.0037644512042115325,-0.017058316518084066,0.0752191818128435,
PDAP1,-0.052586004404847266,0.017124177637340934,-0.010446466649892091,0.11180973470775944,0.058069682574680315,-0.023388705350030792,0.05243553318131368,0.07247507526062326,-0.013554006791421264,0.05109214688251763,-0.0421596890767163
QDPR,-0.01744191613304037,-0.01828187558472378,-0.04863255974337884,-0.1165217699777326,0.060242073344519254,0.0077229203469504236,-0.08166016137409363,-0.06812578322608771,-0.02343222847233906,0.025912054457869923,-0.10395403884911238
POMC,0.12779481664484282,0.014609956743048333,-0.029735463837070805,0.02337403886155085,0.017193806304293374,0.002090458377797107,0.02034355149406188,0.08418961886925805,0.027959765881144648,-0.034349168669461444,0.008833538773483068
CCL18,-0.02480501256303614,,,,,,,-0.02543533073229948,-0.031216509980648198,,
CCL17,,-0.03894678136096254,,,0.0271805476295737,0.013176032910743922,,,-0.012102049923852854,-0.03297308879190425,
VEGFD,-0.02480502043978942,-0.032334398799788604,0.011750740334481922,-0.0040156846855739,-0.002294631331826327,0.0338190603349576,-0.06965136910864748,,,,
TNFSF13,0.07393287233044686,0.007685224503039079,,,,,,,0.0148941206377387,0.011093627759258897,0.07607720075840003
WNT5A,-0.010564712051198846,-0.029649374208669983,-0.018837295310698495,0.08522471527875587,0.02274323655904343,-0.030880312453881915,0.029359305216428752,0.04713706588360903,-0.033367216063111216,-0.00024572736139108335,0.020977200789227497
