,MGH258,UKF251,UKF269,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,-0.015200536323153121,,,,,-0.02772959713912856,
BMP1,-0.04352876711344054,-0.007465076646563205,0.06975881052548191,0.049716260234997575,0.05224084972951242,0.05372160816758147,-0.020537695781606326,0.05934448537490079,0.0016616236160234249
NDP,0.05464191860036278,0.06569784260318128,-0.06700109698662327,0.04045183944671164,-0.05917050826390654,0.018777293323642506,0.09419963703346818,-0.04432125077186918,-0.020108534856468817
TNFSF18,0.006125366445568641,-0.02378581035133876,-0.02257234010727707,,-0.024885272344123858,,,0.02327966540258087,0.06072749612488639
IL36G,,,,0.010841945342553139,,,,,
RTN4,0.00906848818007215,0.027103593042684573,-0.14768618718050752,0.02513306311412846,-0.009666405220042555,-0.02850184018847338,-0.08285704578799252,-0.03049945817965859,-0.03272209525043737
HEBP1,-0.026230331834082,-0.07028841045764204,0.04525601087890923,0.0435434232331252,-0.04027965633344452,0.04148097220363838,0.0920130797033377,0.014271139148428563,-0.03846144036895365
WNT7B,-0.016736855008469963,-0.01477500805970854,-0.04297106039836434,-0.015116034573743229,-0.00025852093098289303,0.007549287369025811,-0.021684445707811865,-0.0378179179983497,0.004601045922137642
PTMA,-0.06563786176306698,-0.036060444490796414,-0.09458772507658615,0.0032075861409585128,-0.06336405940056111,0.007704133369905275,-0.07212846770981007,0.04677030096900614,0.039754698765885096
FASLG,-0.016736859739935998,,,,,,,-0.02404987013867744,
CEACAM1,-0.023239276224662413,-0.011338930028930756,0.011098918276650698,,,-0.012051874220391544,-0.01626885978769485,0.01670238256159464,
PDAP1,-0.037514484481523,0.030762148765447337,0.08698486167604141,0.020153564168707956,0.00792263900002241,0.0282027980440402,-0.030800877318596397,0.018996446433164425,0.036907638052638005
QDPR,0.0023405992951234123,0.02967388631271147,-0.08398438849109822,0.0237282106719816,0.027453686599382646,0.056282869762523204,0.03972492425575375,-0.019971228305710624,-0.03888710858228715
POMC,0.07615206429202878,-0.02014746961905942,-0.018153745085983497,0.01513230676581981,-0.0061729986545797305,0.05429485527131012,0.02688662428696089,0.09639669382230111,0.1293245258401724
CCL18,,,,,,-0.04149099505610046,0.11985736108707172,,
CCL17,,,,-0.012563675042489455,,-0.019516683367593133,-0.023485120453345068,-0.021798506008462004,
VEGFD,,-0.016240742344099172,0.1727685884716804,0.0856449847328583,,,0.03384865321330695,,
TNFSF13,,,,,,0.010503790459580935,-0.025527523002063124,-0.03551884609342015,-0.017478756252502555
