,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.017824597611074158,,,,,,,,,,0.08446740505613001,
BMP1,0.10588363796070228,0.05628663568369642,0.07145830889614421,0.13383076271826186,0.017002845368756413,0.06519369024210901,0.10111226289278713,0.23228180167057094,0.07534139878383068,-0.013289992004691005,0.07440452426748768,0.13655525175516395,-0.0031488379853928726,0.11573164001788466,0.06137580357850857,0.01853601023256611,0.00637728551866438,0.025789260228706746,0.11809958105722464
NDP,0.07232321890952337,0.07283164910705973,0.0056817968680030195,0.1153117158392972,0.02859398129826346,-0.010435820134239254,0.02170807402552802,0.02459448633124945,0.014944184433981152,0.040317320814054286,0.06859563311818342,0.09526240525472086,0.02998490206937055,0.17267580077831113,0.1290816682141878,0.1580983508488762,-0.015747227296275326,0.18686645829738097,-0.046430873346545075
TNFSF18,0.01536361299319714,0.023129221486404797,-0.028392477218303097,,,,-0.022289544159992788,0.19545536847412043,0.025267515245847697,,,,-0.03473507948172875,,,,,0.05305905836435781,0.0070348549617359315
IL36G,,,,,,,,,,,,-0.03526489133683587,,,,,,,
RTN4,-0.11285760406646682,0.09571576490485297,-0.01279345936973112,0.03519005371665649,0.03587770201004959,0.054013565660024895,-0.13732598107353064,-0.26615672111294353,-0.05909783341214021,0.00030795473570861766,-0.056352258991992504,-0.16616044817155648,-0.052531767736475776,-0.09344020954109951,-0.06782516330677518,-0.1345125835714127,0.012977234376600108,-0.009830158666968191,-0.11587771755690172
HEBP1,0.08232405425901712,-0.03872177762039668,0.02788239732463814,0.06657638533133071,-0.08467293017574182,-0.01956905389815443,0.06021895566226417,0.12692207929683233,0.060072837601104385,0.0028344328895221265,0.007260572802326068,0.009159778577679892,0.03280807412538262,-0.01579150108345475,0.09736071560044629,0.09111082612322062,-0.013896087334657135,0.15336953093691516,0.07053098043465963
WNT7B,-0.0484274895069881,0.02793989832795371,-0.022669443721531523,0.003127585029234184,-0.019791385931854234,0.046211797005202546,-0.006145396555600807,-0.09067693836637913,0.008483709534415762,0.059238401322065794,0.042216032990367074,0.0009909406203689988,,-0.004698393914135826,0.028070349137484595,0.06285123452292535,-0.0009908977474584152,0.03954916099101612,0.08596409864109575
PTMA,-0.1547296962115063,0.0015880608982537605,0.044981404576872434,0.08105054982993505,0.027452592534487227,-0.04522940868561517,0.25962086747969326,-0.20734510873426457,0.0016407487619277722,-0.042426431848185245,0.17288950477200107,0.12953800439785482,-0.03593123124786605,-0.2878116605329412,-0.09305243662309468,-0.03819478918629075,0.03945627825654293,-0.1617318527927769,0.04454005131063922
FASLG,,,,,,,,,,,,,,,,,,0.0273579531367622,
CEACAM1,,0.0036772938238418857,-0.06587906040971218,,-0.01761744654065104,0.036594025996413364,,0.16004285935744267,-0.04990648499120431,,,,-0.09245785575962774,0.1257034725068005,0.03480338106459982,-0.03666426160912323,-0.023075433124438365,0.06566994755446723,
PDAP1,0.017230563316227514,0.03233715702585883,0.05711482302674346,0.011375885648985277,0.0499871023336439,0.05320792049933171,0.12333699634568092,0.2094608354900684,-0.05897985867950258,-0.005417700095006499,0.1261282561339151,0.10540899689967409,0.1391358069599143,0.053379913864146124,-0.060206406051159705,-0.028555838451637155,0.025179258277635824,0.062107467856196134,0.03248531369452479
QDPR,0.0986228095946469,-0.007147973045442517,-0.07149949902657804,0.13128742574809882,-0.009974752978758482,0.0582629464413592,-0.1023432653767812,-0.28772044840254524,-0.06876505945953484,-0.009608439287620304,0.10188941957692071,-0.0328092248447499,0.023125363635306262,-0.2289985614960572,0.08444138505885783,0.12744653394309624,-0.03561543616255774,0.08107183760511347,-0.12461931036730917
POMC,-0.0007633985888613522,0.027662636039351894,0.06215286844143813,,-0.010564798102192149,0.0208742821797247,-0.04623168810957072,0.0685043508268132,0.004927523064273896,0.007112283346516089,0.05366964895413082,0.007724396994585971,0.12389230173448477,-0.04993701300649485,0.074932721990841,0.06894291000910732,0.031473556957026735,0.05340635233804925,-0.010735264142477144
CCL18,0.046203987995493356,-0.08302713143946318,,,,,,,,,0.19091624918411418,,,-0.09461004064368682,0.11433011687649096,0.10539997707873212,-0.07499831239516455,,
CCL17,,,,,-0.03472714980446591,,,,-0.010694496523993421,0.01712383291354032,,0.044177974134240405,,,-0.06314676218052721,-0.025231050116137854,,-0.032073073705631526,
