,UKF296,ZH1019T1,ZH8811Abulk
BMP1,-0.02528433821220816,0.0685568582783748,-0.026347976185173642
NDP,0.017311909242062766,0.018223913365371974,0.02301127115128107
TNFSF18,,-0.055583115725203865,
RTN4,0.013942026197414243,-0.05886428792240433,-0.026236546885023238
HEBP1,0.007257928044004485,-0.06474285312322925,-0.022745897605002004
WNT7B,0.08892443688965897,,-0.03761649912670952
PTMA,0.016535957909514037,-0.05962220024425531,0.02423727440205842
CEACAM1,,0.05728707202619801,-0.02107837977665725
PDAP1,-0.04655386039120346,-0.04283274776732184,-0.07784824607058534
QDPR,0.023273170024175657,0.03422841329414645,0.014831215499290062
POMC,-0.011604668084996501,-0.036247924342631375,-0.015132739527501857
CCL18,,,-0.038573176431352676
CCL17,-0.013920453093406804,,-0.014954090229279406
VEGFD,-0.010210820689976901,0.08066130081515543,
TNFSF13,,,0.0008642002352345008
WNT5A,-0.020836132557431327,0.029627851365624222,-0.013445593297360128
CXCL8,-0.009508760207750369,0.00970015435174456,-0.0576559275949388
GRN,0.01486510804580841,-0.0023065544732319785,-0.03682777643239423
MIA,0.10973811443986253,0.12048039606380705,0.06666845261971688
COL4A4,-0.019508342178070247,-0.04160523140075914,-0.03951293601025286
TAC1,0.019361672608279173,,
RARRES2,0.04812133611710937,0.09704296643482985,-0.04996439605864007
FGF7,0.029013532011158166,0.03457105850271626,0.021062155613942275
HBEGF,-0.026222366571970752,0.09219809509601494,-0.010071104018540736
CSF3,,,-0.03258813636164588
PI3,,,-0.08409672668397522
PCSK1N,0.04446504450703336,-0.030056302414777813,-0.025438248019841802
NTS,-0.00290423808569708,,-0.034886335841485525
SFRP1,-0.0139204532335972,-0.05636602338012075,-0.02495449677726907
CXCL13,,,-0.03358995267304715
MICA,-0.005260012261170505,0.008186030052095587,-0.05709719733781915
TG,-0.01007417145244478,0.021773128892422135,-0.01987024717788119
ADA,-0.01636126460417776,0.0024934080882787124,-0.01897501199617072
LAMC3,0.05103156264515604,-0.05150056846350565,0.05914728406453187
CCL7,,,-0.022412734326592607
NGF,,0.007809752197905878,-0.02588491387216756
TNFSF15,,-0.059789297140311295,0.05540943842424188
HMGB1,-0.021013128755754857,-0.008974893698314453,-0.00884526435869105
ITGB3BP,0.003688713260605824,0.06164421031856371,-0.017827103822367203
AANAT,-0.011612658801959875,,-0.019662292091972084
RELN,0.004609463943529255,0.03559564876767204,
IL15,-0.024959409461245443,-0.043578939013617375,-0.03602212470971047
UTS2,,,-0.016743880752052902
BSG,0.03695474581774386,-0.08101368772095603,-0.03369657331290341
ADAMTS3,0.014317820371796242,,-0.014795395542415976
CD34,-0.02172696931048095,-0.0016053216889714231,0.08176986666513666
PLAT,0.0005535738617124058,-0.06100798368119235,0.09480405582224799
NTF3,0.1030229950282405,,-0.04000128375701551
CKLF,-0.014073087715401106,-0.019147465599981,-0.022240949970204232
CD24,-0.021186853657031615,0.04392837828698498,-0.0016424175090078476
HSP90AA1,-0.03273990242204287,-0.037467038308642495,-0.021063237049714672
BMP4,0.00026738154832959947,0.03431213405552295,-0.06700257227606887
SCGB3A1,-0.009795391279262771,0.016665567102741953,0.0336705000630014
IGFBP4,0.02224715309146711,0.022853593462290153,-0.04784435045290104
RSPO4,0.018815268851925148,0.12348105674297759,
LEFTY2,-0.010740764766899136,,-0.019025873401543356
ANGPTL2,0.04723797886306798,0.03533176957216157,0.03600673601309616
LRIG2,-0.04261039279638494,0.0908840816277683,0.03688844778162652
ICOSLG,0.04441763180245421,0.0517352894349999,0.0528723674461619
WIF1,0.043114244458358285,,
NPPC,0.07142606486744292,-0.028672310912547485,-0.020374653490431584
LYZ,-0.0046542312406587655,-0.03172566131754482,0.031159480217238054
EREG,,,-0.00812799496198767
SPTAN1,-0.009483366518616813,0.03620975623327677,-0.005577058985576588
LIPC,,-0.04259242867011257,
COL8A1,-0.0007634055267657755,0.023039100613034193,0.031079725456963664
GSTM2,0.001052809479128402,0.015887173610969793,0.08312637007856784
SPX,-0.03876813596704392,,-0.022597551177326973
MFGE8,0.01056798929154174,-0.07383300905763694,0.0057828742939592314
TGFA,-0.0136371182675965,0.09540816306041623,-0.03435985893330758
SLIT2,-0.0015798076658374374,-0.043410823410673836,-0.012930552424252997
PLTP,0.04819332987187372,-0.043270578009131117,-0.05411250088023817
APOD,0.03904593336529621,0.009075851477833958,0.1022359815463873
B2M,-0.02492732594391055,0.0032942844802524005,-0.01934786067226832
OMG,-0.008755534276450445,0.009179438067376047,0.01026473467035482
CXCL3,-0.010478996618655548,,-0.025721027564039732
CXCL10,-0.015918362839322325,0.006571203512318168,-0.023144023467945644
RSPO3,-0.025446185107528566,,0.036821640915644674
CORT,0.10515371836657983,,-0.025556448376812424
NCAN,0.04766678751075296,-0.05546336467000876,0.0549736767903091
PRG4,,,-0.024548146321645457
TGM2,-0.02712453514474857,-0.05587174797360433,-0.036657817817367086
VEGFC,-0.011539643182577362,-0.06718020465082701,-0.013590476951226999
WNT6,,,-0.0334581750936356
NRG4,-0.022824850203971535,0.05067026337399589,
PMCH,,,-0.022781001651215625
COL9A1,-0.0072393541229451245,-0.05905838012040993,0.023805151897129916
GDF11,-0.01284310479542518,-0.08627841099995338,0.06075759607171247
IL24,,,-0.016984965878937285
SORBS1,0.022118686845212548,0.0260079132357745,-0.019602253574780282
DLL1,0.027746988277429722,0.04544475904959327,0.027155740152430434
