,UKF259,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.013267221152188983,
BMP1,0.04116520294339993,-0.0611383903038771,-0.0043276751105217,-0.020352321203980207,0.002498713817491692,0.050342251873941216,0.013540599006378865
NDP,0.003634507279306313,0.06265528770033449,0.019525737642549258,-0.01032880107402361,-0.012529994850527625,0.027501286968026152,-0.05750476133307436
TNFSF18,,-0.003674855764607718,,,,0.047359431411378355,-0.006651320546644697
RTN4,-0.02098238458052898,0.1913541588823294,0.04381948776426237,0.014030511492075624,0.03226640513373114,0.023985903221129413,0.08510174713367195
HEBP1,-0.025686807644137093,0.11957645090292843,0.010265084945286567,0.01898185367407406,-0.03594479693605239,0.04753738705910731,-0.03242655522548797
WNT7B,0.0034092534370489757,,0.03918016167274684,-0.03732250542509825,-0.022338912311980718,0.04378578023444826,-0.021738685403745166
PTMA,0.04856147677891975,0.0057095664549861045,-0.047739380735330926,0.010298050870624083,-0.0228968465215404,-0.017018670996022035,-0.09085179787984582
FASLG,,,,,,-0.024668869914363303,
CEACAM1,-0.026274338918336988,-0.003228931318822132,-0.021798924257958117,0.0273720039563478,-0.014826660991910582,0.017525145624676147,
PDAP1,-0.03690989561564322,-0.02483126111453525,0.029377795450330535,-0.005688736562552956,-0.012480617194691577,0.007925914383894261,-0.04194725744736045
QDPR,0.009252330439923698,0.024511109959681775,0.023708028287153467,-0.04011701436493173,-0.02553072464187277,-0.0071464485459447535,0.024061484654618878
POMC,0.0016856521842510594,-0.05619405475177298,-0.052340709429671645,-0.031433035376921555,-0.024254469669081048,0.0018643751647768126,0.015020884640062081
CCL18,,,-0.01550567827954545,0.021297251402062504,-0.03468058803387008,,
CCL17,0.00426175027154134,,0.03987560040197081,0.06775672324054866,,-0.0031750340407902125,
VEGFD,-0.016966711762092374,0.047564299027498695,,-0.01808101628267782,,,
TNFSF13,-0.010504576328403726,,-0.029675552591176657,-0.013418348224178788,-0.01664934657350659,-0.02525048340141981,0.041759466873583125
WNT5A,0.0729660687401193,0.03599789749996625,0.004783384677195017,-0.038783030849335064,-0.008211509728072181,-0.006999438487280315,-0.043347108598415535
CXCL8,-0.01016824724097803,0.04766705499806484,0.06996089036820087,-0.06621555018354468,-0.06964301464908489,0.009446660387708115,-0.03786193043130133
GRN,0.01578162064602563,-0.04762647669122958,0.027128279923354884,-0.008506642131467,0.030265298987874577,0.02418762583273673,0.06939298101575234
MIA,-0.012006402388129422,-0.0021870663271734607,-0.131638529847254,0.07831533518740387,-0.02801654417218651,0.012243153956181118,-0.003885416866670398
COL4A4,-0.012507969019552909,0.047551787133918166,-0.04086364836499044,0.12583118359131193,-0.016520225002914377,-0.03751956631123181,0.017714324132451716
TAC1,0.03757348217198087,,,,-0.025580214067182718,3.448469834532522e-05,0.015351125364098961
RARRES2,-0.019835790810082018,-0.09261958689661164,-0.009110267031488843,0.0021155369554085143,-0.031956336079679216,0.06328636039964249,-0.12314218524185376
FGF7,0.029549330057440485,0.08119445208809728,-0.06099603878981073,0.03961506056936247,0.04428258613606436,-0.007216465236324354,-0.03493543828037251
EFNA2,,,,-0.017184795939437135,,,
HBEGF,-0.007194766599740039,-0.00937968256093276,0.049473973993578495,-0.011495529074104964,-0.006930495845380348,0.025463710486431475,0.025991471707526873
CSF3,-0.018151558859704372,,0.14573766051875314,-0.021130191766044155,-0.02125604383401487,-0.023541167078384502,-0.02189678550079747
PI3,0.007108487991423937,,0.125759386891984,-0.03056872419399438,-0.016471571503783828,-0.03337566345416836,-0.037866985123719346
PCSK1N,0.01557733769106165,-0.09279226329586433,-0.04498934122035921,0.013365689302753314,0.022350538806809025,0.0013977843053044896,0.06214828167333836
NTS,,,-0.03607889224428972,-0.020936412806488894,0.07107548150325833,-0.010245797488019851,
SFRP1,-0.01328783165639004,0.11514496165006562,-0.008140489156518445,0.06878016794124077,0.041335588245765734,0.05586269023774855,-0.028192139982308222
CXCL13,,,-0.03473819344307657,-0.006129156532656067,0.010768968878243324,,0.006991778579421285
MICA,0.03746460701169719,0.014541655789904611,-0.020753953523324188,-0.009273788428114764,-0.02768425467878855,0.010472617296203142,-0.04097128352188861
TG,-0.01433967560480181,-0.07119825523798064,-0.020549492788682913,-0.025785481065014184,-0.0174940507081097,-0.03682203351966346,-0.039931204968664674
ADA,-0.011010019425007152,0.029036908521966304,0.0011573860946967945,-0.008146329579636053,-0.001787565955550308,0.017600458513844206,-0.04232772578681166
LAMC3,0.03576813286011247,-0.008736595510789483,-0.002285563182285187,-0.02186908493113065,0.011354085258506914,0.01541608077054831,0.1082405899509719
CCL7,-0.010367562551351756,,0.0871413629976201,,,-0.024668861142407614,-0.028202268509909086
