,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.017257037044084413,,,,,,,,-0.019085631235954068,,0.0778241071555796,
BMP1,-0.005387217351021944,0.06042528658362051,0.05605002897585714,0.04159287536810093,-0.01042292585805445,0.02692616744515326,-0.02007878400111568,0.01907879581111134,0.04760825399547707,-0.05863214546432936,0.05752240542092985,0.074889544628569,0.04940387779724333,-0.07729947503274945,0.005004280134895527,0.004451787726674181,0.01049127304384667,0.015572225686021096
NDP,0.014902619612302537,-0.0021604510915675824,-0.0008504810526562435,0.04339909279161543,-0.02748538172648029,0.0016647601106007674,-0.023114247167888048,0.0035817748864631813,0.07764933086535311,0.014589724649889788,-0.0042264823022795,0.0101568657154374,0.07564778310059246,0.039326039868434255,0.0274969782138654,0.014935907118051322,0.05693639572803428,-0.0013044850807414528
TNFSF18,0.001893372180187431,-0.024820446235294905,-0.015556149598375434,,,0.004239290802490111,0.03597382723811194,0.11030945027000329,,,,0.1543960951594106,,,-0.019682674612464753,,0.014307553179141647,-0.012138717632831744
IL36G,,,,,,,,,,,-0.015082912256850173,,,,,,,
RTN4,-0.09159228652564992,0.027271494732950468,0.03858042362743657,0.04840434718302993,-0.018999482185348717,0.018286144012394232,0.042501610207582356,-0.02685143224427653,-0.08897947093145608,0.07778662279670001,-0.029178715689736484,-0.056673676169489484,-0.03562836409191698,0.015707722502282275,-0.013139761816559431,0.03843520897699353,-0.02511002680072746,0.06130080266952204
HEBP1,-0.02023758126353506,-0.0010884936973770349,0.010217822340755502,0.0019016356844046936,0.04231902077451348,0.06668634715604085,-0.030509256688108034,0.06328073614969709,0.09193049805260757,-0.023138297267324553,-0.0043203950784522615,0.06353241222766788,-0.02945925606517639,-0.012950345979338251,0.04244927883696875,0.021733865008377363,0.058015747226615504,-0.013839463029846585
WNT7B,-0.02894414721133445,0.07380206016879176,0.001185422131149001,-0.032553776998981085,0.07118737132142572,0.064019336141553,0.023757632797180288,0.0193661329114425,-0.020982730634919847,,-0.016577858746195134,0.10982955994084448,0.013822255126416036,0.03605443694196165,-0.0411580649016081,0.019245683630283925,0.014085955742588389,-0.03267119724516012
PTMA,-0.021478476992577208,0.013889186189034414,0.05018109633821676,0.011562531677942144,0.06603107528693308,0.009477029435338088,0.026157554141294257,-0.022965994210102595,0.040608805493187766,-0.12113437153908937,0.044360704429118616,0.012357737546533238,0.002426917205604277,0.02249819862739988,-0.04390032860531726,-0.0759314463393611,-0.057994083962732104,-0.03512861166404567
FASLG,,,,,,,,,,,,,,,,,-0.021005317635985638,
CEACAM1,,-0.013835040187588726,0.1539984328991736,,-0.03338816580126335,,0.011529328304126481,0.012816152232278081,,,,,-0.031136879785285555,-0.03109572770711557,0.023928146184645657,0.019864865167048405,-0.0012675598491390504,
PDAP1,0.09716635437214116,0.023190716431125198,0.049142340175855274,0.000772444244480677,-0.04996473219868922,0.033534996369610395,0.015185024054879145,-0.024528189794062284,0.0020315150394373083,-0.05019137715512702,0.015707188262652598,0.018573336353940303,0.012572259033288267,-0.10438321974660923,0.06388304202602854,0.05491484357001493,0.024277429592887822,0.015073122436984603
QDPR,-0.014764507173357444,0.03806640492178595,-0.026470782603217665,0.06678303844730168,0.017802064383313883,0.025840175084991205,-0.002937029448453724,-0.007997516938067124,0.03209931157858563,-0.07826579893824923,-0.0031089077427925646,-0.06167015565264093,-0.02323500793312967,0.05402339652969476,-0.021320277241583255,-0.010130577844751828,0.08773216317167101,0.043590526355264
POMC,0.02555299091832981,0.026983813876845217,-0.023491918988836902,,0.021463416731784025,0.03893622420929327,-0.03397719312398409,-0.02051974321431771,-0.029882689626551658,-0.020437966221945034,0.032558348585854456,-0.0035696824015566766,-0.013066052222091796,0.02611281374031186,0.06366021177881002,0.005353212727751167,-0.035470565650357166,-0.0054986832205046405
CCL18,-0.030647482011769218,-0.0331733424430675,,,,,,,,-0.04880895489324072,,,0.041397478412707515,-0.06283651806301005,,0.014741815519094256,,
CCL17,,,,,-0.02741399085756864,,,0.015561389351747468,-0.014777004409885617,,-0.01377866855036642,,0.1003222506515514,-0.004986190031122698,-0.02516330230275256,,0.06916201132398915,
VEGFD,-0.03453075443552699,-0.012386509471523593,-0.018936680917251696,,0.06754217648114091,,-0.0020725016490930116,0.011246713800356644,0.012442998681842003,0.09522502511655791,-0.014767025856768812,,,-0.03109572770711557,-0.02653951729328937,,,
