,UKF296,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,-0.02187256594304151,0.07779818667181401,
BMP1,-0.037725916681703386,-0.011663439281818183,0.08494551979669769,-0.04968473544186043
NDP,0.027949779650573457,-0.028194908328535884,-0.03249861175091292,-0.009655137076975667
TNFSF18,,-1.3080905518005117e-05,-0.016398262394667493,-0.026348563528232123
RTN4,-0.05350260709072159,-0.002166180308603696,0.0489113964189848,-0.00011669412704755271
HEBP1,-0.024363995808997386,-0.004355223520792707,0.020490998163873626,0.014611391252018933
WNT7B,-0.014006904281507757,0.021230485447267796,-0.014895782739190315,-0.0179537231058589
PTMA,0.03807383639797883,0.004945519098716399,0.04561248258427111,-0.007942228082845955
FASLG,,,-0.015403996705295612,
CEACAM1,,-0.0015931234131581784,-0.02143239898011604,
PDAP1,0.031396048430496655,0.03694772214560139,0.005515618396000128,0.05956366860147225
QDPR,0.021677653081903232,-0.07430982674812271,0.03414551146347046,0.008784780669876483
POMC,0.00889229782035645,0.050201467480425824,0.09319504928427184,0.001459414326461647
CCL17,-0.017336620973631353,0.07829798436406187,-0.013961992842310658,
VEGFD,-0.012716621143293508,-0.03041488829567363,,
TNFSF13,,-0.0309247196614334,0.05008940406915125,-0.02866347876788324
WNT5A,0.03478233621282436,0.036334788160068576,0.024163963760859802,-0.045862948109821125
CXCL8,-0.011842270545704772,0.011831015719157362,-0.03324091901991268,-0.05528249843275379
GRN,-0.025734902589891175,0.02456743999792687,0.011345466753848196,0.0025966751196930785
MIA,0.025670409639285408,0.020518891702340225,0.032747183066725465,0.02849680309091116
COL4A4,-0.024295813641676423,0.0019604847397293643,-0.041001983840346604,-0.03203577768536041
TAC1,-0.025239699733717307,,-0.018354459306405498,0.013075438048349106
RARRES2,0.052416531195433116,-0.04899780325056221,0.012053675514484616,-0.09270850061775468
FGF7,0.004784474549502695,-0.03614054404155389,0.034415572059026275,0.045721010126572786
HBEGF,-0.03265750239876856,-0.04256639398829423,0.07334151604524355,0.02620635688822678
CSF3,,,-0.014699824571335972,-0.03369797272312532
PI3,,0.06032048493405979,-0.031937835255552785,-0.03772306748918662
PCSK1N,0.009420574874855077,0.10656867730550348,0.01458928830630912,0.05402667161690577
NTS,-0.019679115027826134,,-0.021768435704173195,
SFRP1,-0.017336621148225366,0.06092209615047276,0.11911074227781263,-0.0014284297565755222
CXCL13,,,,0.009419249527183904
