,ZH1007inf,ZH1007nec,ZH916T1,ZH916bulk
DCN,0.06312317897685052,0.15616807145214978,-0.04208893043185047,0.12259816672661646
RARRES2,0.0031938009410050396,-0.0764125977835072,0.043331484075027085,-0.020776124371158326
SEMA4A,-0.026153284215955943,0.01350337879937247,-0.046569594110326136,0.027887197486534156
GDF11,0.041716517701110595,0.05291705665977994,-0.07929609808739731,0.03936766794455715
GPC3,-0.04428203301772467,,-0.025830400984729534,0.0701513196411111
OSTN,,,,0.07492879157656586
GRN,0.03400733356445777,-0.07507539752032681,-0.026120694400831427,0.05323224841539355
CALM1,0.008389098423868143,0.02599101696995052,-0.001588609154082226,-0.051113800323736074
ANGPTL4,-0.03490158080794364,-0.04050322576153706,0.0022767416435406796,0.03133665662508375
BMP8B,0.06487863001676919,0.07137579789022956,0.01866899766942046,0.015120820325183769
TNFSF4,0.07808131486247699,-0.080582994733458,-0.011181482015363578,0.059859413465945664
RBP4,-0.0016752341549065638,-0.06332808612166857,-0.027353513009521793,0.02466782653327596
DKK3,0.0023085295443415707,0.08027268930747035,-0.11379256134520477,0.020093151893703927
COL11A1,0.10499819745467766,-0.02407511819402777,-0.017757835170697286,0.030006991543397327
COL5A1,0.0015371474372474227,-0.008612946624172692,-0.04733103800085327,0.11046774639745677
KISS1,,0.042566349278036465,,
MEGF10,0.006599136170092963,-0.03899885629722485,-0.06534788665325392,-0.020098881586399962
CEACAM1,,-0.043157227836324086,-0.020640260437797524,
EFEMP2,0.012255142218953968,-0.019600723019490163,-0.08492496487998656,0.03843905793536582
IGF1,0.04076063939458993,0.2183885950135815,-0.0914235613166078,0.020538396461788976
COL6A3,0.03150163049209527,0.004008834894499147,-0.015141379064246776,0.15470774297615394
RLN2,,-0.04866517486098945,-0.01859268171078219,-0.027228976544516302
WIF1,,,,0.11613855673801872
IL13,,0.022831665654395115,,
PLAU,-0.011433781002728963,-0.12557360592766323,-0.08528243014977888,0.11280177795320002
CXCL12,0.016238348664325438,-0.013881530884532506,0.01191939240105287,0.060761000690003876
MMP9,-0.015411846493666809,-0.017587754957631957,0.011366191012782424,0.04095784539163185
TNFSF14,0.06147516325591501,-0.04411297060440291,-0.035580627596996366,0.029648989226742518
HBEGF,-0.015013446351042724,-0.06787774930001438,0.007811761298302788,0.11362640696486566
NUCB2,0.029345369795496786,-0.05390559313779066,-0.07130291859734463,0.038005134301960904
VCAN,-0.0267556036170896,0.030400569434429998,0.11143328793389136,0.0935548924299477
VEGFC,-0.05750551077530868,-0.040688533245716994,-0.04995945542855778,-0.03299920780351949
LMAN1,-0.006720960240391269,-0.036146009862765074,0.04309908835406711,0.042946916731389354
IRAK4,0.0025520040043039097,-0.00956847213263215,-0.025519002268847832,-0.002845640520573991
MICB,0.021787568719717727,0.02264904086260723,-0.06175845532243114,0.03534153710371261
COL1A2,-0.010737887271300064,0.08292011775068762,-0.024511729484512364,0.1744653972221434
ICOSLG,0.06824057644210325,0.10934954905377545,0.016807429234338426,-0.011364261566614676
GNAS,0.037696324906867515,0.09221600655218108,-0.012315657607457038,0.014045843322741754
C4B,0.1531676926379836,0.019143074990267957,-0.016909899215473027,
COL2A1,,,-0.021909067009392248,0.21087188922126335
GSTM2,0.053681365924581295,-0.02944628628927988,-0.0465375603837957,-0.02441858650898184
NLGN1,0.07352647389392086,0.035984478510525025,-0.018210205971804717,0.009776687048518851
SCGB3A2,0.095994363104085,,0.009765945759079717,0.11012069724198034
LEFTY2,0.03426306651500508,0.18225854026910307,0.0028239488016716125,0.055417913919713735
ACE,-0.001371349362905229,0.10804861242758285,-0.06664450530647044,0.082278996732548
RPH3A,0.06310661669967343,0.1252399711301476,-0.03620074611656178,0.00947692884963343
NCAM1,-0.04775527750949484,0.04196225669612511,0.005767790672462039,0.020246954326176493
EFNB2,-0.01505306056993531,-0.029177786030025615,0.0513866603667412,0.05190907913212409
ICAM5,,,-0.003912523696492246,0.08185443949099883
CCL5,0.17202004267992477,0.008941808019921003,-0.05316719105424114,0.010870946283881786
PSPN,0.053538205721635604,-0.036682444832496025,-0.02327494577137178,0.06858836471033837
PENK,0.010552022212180698,,-0.018592683789975403,-0.05331980935751029
EGF,-0.033712060654711745,-0.06148987181813994,-0.04622846285608165,0.03214420337997569
UTS2B,,,-0.019810465643915455,
F10,-0.034231356227378856,,-0.026578248673339966,-0.03181834784111072
FN1,-0.006375428037790341,0.08449123496048205,-0.013857350119509981,0.08224702065149667
FGF2,-0.08945772782553196,-0.00151764853511964,-0.050637050198755085,0.02182226068024726
GDF9,0.187902186485926,-0.03589412367748874,-0.016015504053216622,-0.04304374802505989
