,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.032496328548900937,,,,,,,,,-0.0168427031718553,,-0.03270244765068989,,
BMP1,-0.026693082519359,-0.05920206513040477,0.0008212191623736268,0.03750931104745346,-0.07081346440896355,0.003858375698219608,-0.045364037943157805,-0.05238749614304615,0.043887788608208946,0.14018800445986554,-0.03980774967355158,-0.06868215932106056,-0.0053312991340754845,0.0855732338107167,0.12809533863425157,0.031237055036114594,0.058256276336818194,0.004482589647170832,0.0531839226934921,-0.055609541125768165,0.057240196418097335
NDP,-0.08481670327130066,-0.042801284924965974,0.0024355334233843355,0.034062154883667005,-0.13105497961839838,-0.05378093056922201,0.04889626358078717,-0.09903225772177804,-0.057277306352282994,0.03049547463201391,0.02137891556385704,-0.035291013488098405,-0.111501799878502,-0.06267273220256257,0.09826512096893614,0.07217199630374306,0.0866239778336302,-0.04096279354093249,-0.024750832840439833,-0.08904747118199244,-0.06650456818197054
TNFSF18,-0.03022803148295925,-0.027869565469170535,0.0018434676386216379,,,,-0.019666598030792116,-0.006547150853964079,-0.023603329890252163,,,,,,,,0.011546311904089182,,-0.03943283186644555,0.0025130001136495768,
IL36G,,,,,,,,,,,,-0.01452707857526378,,,,,,,,,
RTN4,0.06704937430400723,0.011960334685514166,0.011352233986661018,-0.018680892524319082,-0.02117283985425165,-0.0293812083152362,-0.027895243483189676,0.16201990999552326,-0.06501589368677058,-0.19053357555262818,-0.006081577072011309,0.02518964058208192,0.028499744036708973,-0.008265451491567237,0.010250879190536384,-0.07991847508883868,-0.07599994716813574,-0.08273222172543594,0.05967906310117972,-0.09505884182922801,-0.06008996888620274
HEBP1,-0.0013623755722134518,0.05501009762832173,0.021741988158095707,0.05940099026915431,0.010617322140401573,0.024527765051622682,0.01759226629468996,-0.00011524485373196178,0.006098038385639538,0.15134965330199454,-0.03614751563677169,0.04659690219922564,-0.05105617179338264,0.06932791797568603,0.02187036795024176,0.09908306338045232,0.032760032684939336,-0.028292253412906025,0.02694316448507635,0.06261761274096214,-0.07373114008024503
WNT7B,0.02607045617875589,-0.008524173041349888,0.02615291555940634,0.027369162870543955,0.02499246607047627,-0.10669855224031576,0.03212999628478927,0.16118585064748622,0.03761357379493299,,-0.04453146991105292,0.004810629452924649,0.004309382607446874,-0.03318914103780816,0.008697797363645197,0.01796592431231804,-0.02075552492002316,-0.04388735039688793,-0.023041766107946258,0.10733002607719747,-0.03576616621884718
PTMA,-0.002495619316866871,-0.1790630644986582,-0.01838425034542519,0.017860244108150444,0.05711661302089021,0.08713036141366609,0.006982163926020361,-0.05209644206102997,-0.033633407997935204,0.214642178686299,-0.03726251606253843,-0.03350308442560942,-0.07838985742951562,0.04772881550543573,-0.0895768581451942,-0.01564539565458621,-0.13043194117140625,0.07697876071038498,0.06113351909594494,0.19241270527033058,-0.026415473071132515
FASLG,,,,,,,,,,,,,,,,,,,-0.02836282169084212,,
CEACAM1,,-0.02513724429648881,-0.01490361151598306,,3.3712495966894864e-05,0.054779490932031404,,8.17105261861265e-05,0.047155548407172926,,,,-0.027964566988464154,-0.02976455328473583,-0.0600753222195509,0.03621852239266595,0.05404193054759932,-0.028644758283954512,-0.03946270064255717,,
PDAP1,-0.003272653709030482,-0.14505830771875386,-0.022808521275957408,0.02508016435832545,0.058076710931007906,0.058512925471723785,-0.013612207661683957,-0.019635330639366157,-0.05487537435233034,-0.0029968888700099296,0.04512758881742091,-0.028138895328011476,-0.03598473915620426,0.051885047233372186,0.0959149302987077,0.03197575981577393,-0.033173021910021444,0.060491267590170386,0.024421420125324677,-0.04913423290946576,-0.006468305643313286
QDPR,-0.07364884343628465,-0.11112947981651938,-0.07220751091353486,0.002043681842255394,-0.06960833774603067,-0.12391714926249371,0.052228976517674434,-0.10104271805179045,-0.03465365645696688,0.11947530391598006,0.039290293177666906,-0.06565105867674113,0.06364391312557059,-0.036823358172866666,-0.07497976531822753,-0.01928751038983297,-0.10614887229118282,-0.053313214579918645,-0.006636481340828694,-0.14215662761493764,0.007818782348894064
POMC,0.004826372191282419,0.032948060928381255,-0.029453824212046707,,0.02036187324436821,0.0057105557746422765,0.01589055927137552,0.06271744381372461,-0.027387437497287753,0.06695899787955026,0.10973481468112674,-0.03112442155066902,0.07911852958653788,-0.003011798027483866,0.013239626719589422,0.07545917727715941,0.05096934563512526,0.020091262538140864,0.04309974486106688,-0.01825855563104955,0.034469065741677
CCL18,0.02975991891204874,0.021159370253663715,,,,,,,,0.14957934032880063,0.0007882813726763043,,-0.053694896676605,0.24788724255728614,0.08016356996254329,0.05704867888177471,,0.05795784738327148,,,
CCL17,,,,,-0.0323359054839361,,,,0.00899739644855858,,,-0.013270898702124381,,,0.023889857857126377,0.006205711700180483,5.5172960110438125e-06,,0.0058310069518431274,,
VEGFD,0.01745374236045531,-0.04445841950009629,-0.01095151051036255,,0.022907942003489137,0.01600829651657754,,0.01019061755630767,0.012697146316895518,-0.06139469555191492,0.0390789345352733,-0.014222833183081313,-0.06049330319509635,,,0.020268687403129183,0.03951845739917945,,,,
TNFSF13,,-0.02336730683221407,,,-0.016216834828490834,,-0.01907249740608669,,,,,,,,-0.00883753557232276,0.027073516698484273,0.03969544756438252,0.02673112261982928,-0.0010418887344801574,-0.06678848794130383,
WNT5A,-0.08111079159008176,-0.009619249701007521,0.0044201462869236895,0.044507379822355045,0.0022760186179673937,-0.06310381269456981,0.011499536451477764,-0.07933759496405525,-0.009341653136702453,-0.023359201055835152,0.06861211466944203,0.006831530486557397,-0.0681389338337801,0.04568156638734383,0.07132562819954502,0.11924767431787965,0.07174207608778259,0.06339128404851513,-0.0040756720508895415,0.13566823797139405,-0.08321251421920409
CXCL8,0.07234251804552266,0.2365360781766492,-0.047464690205144655,-0.0028682862583361483,0.2892871282792517,0.2536053591944957,-0.027129390534081494,0.01750995079535857,0.05575238999480081,0.1452539073938924,0.09987461230565901,0.13938132579554863,0.18855799891242658,0.042406467956333536,0.16299429183246372,0.015339929640388323,0.015552663040255614,0.12802391526576412,0.13938116622465002,0.2947593780495851,0.05873618589194444
GRN,-0.004433790162596534,-0.05559499615633684,0.051012775769203135,-0.03930342250750251,-0.05687586023649213,-0.0015449596453504862,0.020066253787228722,-0.11419651185306472,-0.07761629763992496,0.20939468635058733,-0.03573186027359377,-0.00246235004898719,0.012808780860622917,-0.028314387181488987,0.11445700950415887,0.12275204694989053,0.13240904080977975,0.08042252661955708,0.01192844418148469,-0.07761284729389366,0.03364224126217987
MIA,0.022338451627599343,0.07091247251265057,0.023942092663943853,-0.005745416742072329,0.04054048115619952,0.15176539093460711,-0.03448675365518206,0.020601591709074343,-0.01734472602741546,,-0.044132912538386644,0.015988078112570605,-0.046916568242160915,-0.00460675953233456,-0.03200803954125192,-0.0716426326408841,0.09049262080239737,0.12163536949049278,-0.033974008275593826,-0.025637316613834497,
COL4A4,0.04279090267205158,0.008188227302366364,0.038267680500061074,0.02181971977586534,0.024226124782827076,-0.04054709362343482,-0.018146638651024675,0.0032676875871580657,-0.03073412827453143,,,-0.01889517983344365,,-0.026681490751647413,0.05016242433772232,-0.0011220678697719188,-0.03420675010046671,-0.012762984422809653,0.007560243790329579,0.07659350875931915,
TAC1,0.07159510108451941,-0.018979588911801546,0.02313947731343177,0.011611143810486528,-0.04892966471355465,-0.10557171047654473,-0.02182798749128882,0.15045583067888318,-0.06392431477753305,-0.07533092605115024,,0.09133127507697393,,,,,,-0.06384908783700254,0.10440169823102606,-0.001221258016867626,-0.0314384670871686
RARRES2,-0.00798599743679763,-0.006079585782221577,-0.03838992167200459,-0.028085835391055473,-0.023306250140863898,0.12973735614079548,0.045118033038429185,-0.09459794726195743,-0.032852092980630236,0.09602816175821609,0.07088548905292429,-0.0652928030977945,0.05570496292808591,-0.021960786914879814,0.2219473637786414,0.10686644429875301,0.04801159230275447,-0.0036288164130675437,0.01051688712518554,0.22489746443708433,0.02518062725645153
FGF7,-0.03008824243803821,,0.04427094260719632,0.017464797551104874,0.003826725899221089,-0.018351129439593633,-0.037978836875449305,-0.025669269989232572,0.016170516726290277,-0.021475347030983513,0.024733276032455294,0.01801959810902986,0.05968744928916355,0.13266852583319175,-0.07521167400755553,0.03279107946616512,0.0159849214117231,0.06688707338194289,-0.046118906503488585,-0.0474281531881546,-0.02317186809928656
EFNA2,,,,,,,,,,,,,,,,0.021446347188392577,,,,,
HBEGF,-0.06504716168844885,0.0008020696027376127,-0.03424744233652543,0.04563584766100582,0.09044499695104896,0.16298762520028567,-0.008582668129932816,0.011361034110200407,0.11586369553048052,0.08564757607024048,0.015458597708210457,-0.003280319616715449,-0.052217319403390264,0.033303348679319694,0.11427756215375694,0.08705885993856075,0.035478874043267945,0.0633235199627158,0.008796453719102263,0.11492680810026698,0.04264457351356582
CSF3,-0.03200101259171815,,,0.08036234884367903,0.18609618935173006,0.22995887363970102,,0.12253260447195638,,,0.026211356494989967,,,,0.17856258396604804,0.11268085313706049,,0.06902759155335597,0.036738261941423246,0.13332843590144106,
PI3,0.07632403012091106,0.10092775028801433,,0.11323930439344104,0.24642996512790957,0.16318480921268885,,0.055208406803021616,,,,,0.039465737413669724,,0.20986299918313478,0.06801839923456694,0.03342046852176206,0.10978503166825872,0.07158556640895898,0.23431977370582718,
PCSK1N,-0.06869564128138282,-0.0954060114768277,0.009634127809562555,-0.010370198649951524,-0.21064939498388496,-0.0967165524066998,0.015105879811042564,0.12988917311434114,0.025106675253286307,-0.22786531199824103,0.012579022799091724,0.01998125316186624,-0.0663786722759951,0.11036163103470997,-0.08874022110922265,-0.10680494315767759,-0.011564712755585996,-0.052902392611791874,-0.02773312593336983,-0.19491634932337926,0.028330472955021224
NTS,,,,,,0.018913760422243645,-0.022152922728200776,-0.07448559210874531,0.013927407483970576,0.07433693898744813,,,,,-0.07500601516787948,-0.05445088314417267,,0.0014793577404291628,0.022505108978350848,,
