,MGH258,UKF243,UKF248,UKF259,UKF266,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.0344693805945258,,-0.033451900467696874,
BMP1,0.06743847647441267,0.08144897736061031,-0.008600445925284349,-0.022612187800854437,0.04202450718819148,0.00543827186406576,0.09902305137797279,-0.18791307698396606,0.05271715672389758,-0.022731732184122798,-0.050595190353830255,-0.07061704533121385,0.035120331487637296,0.03221414924245058,0.07253443805800787,-0.034987263152222774
NDP,0.015137052300006781,0.08588837424377999,-0.020101277860120694,-0.030264863969227847,-0.00812559315420001,0.024149321313617873,0.12133904687942404,0.15564136371474194,0.01989644884504844,0.008689094326176086,0.06178517231704505,-0.010716525621644763,0.01970152241454689,-0.03327684836459606,0.029194051346602905,0.0002212930483411491
TNFSF18,0.04647674239257237,0.06836797421716018,-0.03995359145894064,,-0.012399101177060105,,0.08281118273340378,,-0.016803773369623673,,,,-0.020981698186382798,,0.012802420430366846,0.047058987955967566
RTN4,0.04127299316204899,-0.1395615056957776,-0.02706769051416586,-0.0013485448970466016,-0.022836702912592117,0.035935977092730165,0.049422058803985966,-0.016096712194105082,0.03203127661584099,0.05673418719187271,0.06437066233716073,0.08176516098779615,-0.07650488749594675,0.0447760889452015,0.004514720711078012,0.10332316394387457
HEBP1,-0.019277983163937286,-0.09402679861386203,0.011023776736086935,-0.02883382484120462,0.01034993356578387,-0.06894130537406062,-0.026863723430939995,-0.014933927302764112,-0.015008484181121879,-0.029341017301306612,0.06743670653037949,0.029434807615077805,0.02203492786910446,0.03088092631564999,0.027756122977702136,-0.009289023526328977
WNT7B,0.11830048200098008,-0.05934521193597078,-0.01683695367461322,0.04698962009425658,0.052952490657360844,0.014611826863614572,0.10495283825068731,-0.003376360676186954,,-0.031854573502233516,0.0036379670274661077,-0.05595725361668165,0.028409716023514612,0.021143278389145006,0.04921460224752253,-0.06074450332275669
PTMA,0.07954628026396456,-0.10098342933002152,0.020532457674799328,0.036249400304458654,0.0919369540318322,-0.02210809991835919,-0.02739066287189316,0.09062065871138758,-0.06355989962238955,-0.05939995676031632,0.1451188949438725,0.055925312636569094,-0.05326919134322716,0.08805923586390654,0.004195549822503943,0.004616804244741336
FASLG,0.009216760450272192,,,,,,,,,,,,,,0.0009185557098285342,
CEACAM1,-0.035601793741321594,,-0.02542936600759209,0.010205817638514091,,,,-0.04949254510967949,0.04246247511707541,0.11886840771992743,-0.009461168297185935,0.03812651337819479,-0.022107166271943753,0.0054190109567203775,0.07545650195494612,
PDAP1,-0.0675951854363302,0.04824151543017591,-0.03446455745639104,0.015782609440797308,0.047880294481525136,-0.06052868854422188,-0.011586787577649856,0.06381024768098917,-0.0069237711206011025,0.03458695569945607,0.07199695573857724,0.04949672565228631,0.000916785712724563,0.08130192032155062,-0.012095559721389135,0.008650338928660867
QDPR,0.1643658320490332,-0.0038468449773815224,-0.08152698762570447,-0.0021917870142811784,-0.06010503948845468,-0.01012243922137442,-0.029092906330492285,-0.03680190815113699,-0.038642431176807476,-0.07125049954882379,0.0426302470901262,0.019682143313158415,-0.12187111285545318,-0.018488465494804124,0.06757905922194381,0.009752093636902139
POMC,0.027854957733341595,0.11977034432532453,0.0012403451702000811,0.007744597178866048,-0.03271132968491083,-0.01957551203432891,0.031951082917405324,-0.03695557026544089,0.023060165917295754,0.026457681478081658,0.0028738521792517607,0.03120518210556674,0.05244130711653521,-0.04163934637771242,0.0342898806557898,-0.05398045500592854
CCL18,,-0.039179125756817534,0.0010542817891272696,,,,,0.033609548238323086,,-0.020254963143411644,-0.018668397870770608,-0.011123608580945866,,-0.03530373947859856,,
CCL17,,,,-0.01932048415119087,,-0.013718240893102624,,,,,-0.05047519326684854,-0.01044991458132421,0.08127976881167656,,-0.02629686431003372,
VEGFD,,-0.04414342326680421,0.04584929307329007,-0.021525152900090824,,-0.010062495595615596,,-0.02143124224718261,0.007774088291322686,,,0.027016602043116296,0.03264194896384839,,,
TNFSF13,,,-0.023947084358154874,-0.013326837562287919,-0.012024541543332722,,,,,,0.004144854934038334,-0.03422547344963917,0.017102403732792454,0.01163962203954898,-0.003561330534065043,-0.044974977425209894
WNT5A,-0.035435927480921336,0.0035665342377251413,0.03862138641112876,0.009679262790163824,0.052516415286147304,-0.06856210524876179,0.040439145582049946,0.03701622939279597,0.06443379464757389,0.11438589818790891,-0.030928108449224244,0.029784269831628185,0.01316043202991074,0.04831446049085828,0.07677332614366258,-0.010030726900796774
CXCL8,,-0.07931708161053486,0.018168625935489825,0.020295847354532055,0.02516246009716083,-0.009370633430491607,,0.03535287174044155,0.022413329054082734,-0.03566205162086233,-0.09907322668543192,-0.0610990025079836,-0.004787599102059995,-0.030543960569331313,-0.004861106990671631,-0.029934929849518614
GRN,0.016273104909195615,0.0459668024849753,-0.0015876207081391579,0.007537390892495827,0.05034026391804668,-0.04715182004334595,0.03798376943698784,-0.08970254579389983,0.08633310612264776,0.050697145435057545,0.03314178519572071,0.013558565501397552,0.02051333961226074,0.005848932554142808,-0.01672645853169075,0.005531811045510678
MIA,0.11905568149895575,0.022389583342445833,0.006775406916544943,-0.005168790282158396,-0.021742690178008745,-0.011443969598172211,0.10054258859218618,0.030627692067053996,-0.08806389273274713,0.03468103861328177,-0.016575455316331436,0.009229293896185152,0.045855511284631424,-0.008537699915139281,-0.008020854248774563,-0.050857022800302784
COL4A4,-0.013427793461370201,0.08730723698450085,-0.0017291405300231208,0.06203388781116559,-0.011440820029235224,0.011375916567817638,,,-0.06389089532937124,-0.0256086021427702,0.0405471001583692,0.052358661645805285,0.004775357336956598,0.0053782172172853705,0.03877135355314135,0.01568264810828364
TAC1,-0.03372576870054578,-0.044124722804612646,0.04374943551962287,0.040583721670629805,-0.012488034598199966,-0.019365492319789186,,,,,,,,-0.021139897969281108,-0.009003495580532154,0.03418340589718039
RARRES2,-0.12015271275107012,-0.060077063970633234,0.022782402209230418,-0.027991179481499776,0.09383923601093265,-0.05219767370547768,-0.06123791980802509,-0.01898024444038849,-0.08780837936272008,-0.10050015337380669,-0.0844584845712642,-0.028005201724315972,0.04660495561200149,0.011758574911676666,0.08407649506968382,-0.04235814400291214
FGF7,0.06623635975560813,0.011500688568585915,,0.03235857692953503,-0.01005032416703327,-0.004700605796661399,0.07422816417127187,0.014231907639113806,0.0651324459496744,0.08146658453062273,-0.028273712542731283,0.01689449377341622,0.07739086266911992,-0.0005482719516291315,0.03366929341135948,-0.0001927795489072217
EFNA2,,,,,,,,,,,,0.0018677369567073065,,,,
HBEGF,0.03820491108986939,0.02750626647290558,0.028253192571426895,0.024149666663472475,0.070971802793307,-0.02584145350785415,0.05965607636546894,-0.20268075294998342,-0.05170558336078368,0.009360063998640372,0.02893490708594255,0.02984381439336231,-0.025436939804630975,0.015093151353011362,0.0027286040244654543,0.001837824516498457
CSF3,,-0.04443802428906612,,0.08887759797246719,,,,,,,-0.09083307767133494,-0.047734617546562635,,-0.022180410347662348,0.019553393250414414,0.08386415757274666
PI3,,-0.029343849139124818,0.019466798513100472,-0.01588336597674021,,,,-0.09919267870888683,,,-0.004200679162941169,-0.039442755272258864,0.026060964794340974,0.0027136948787422253,-0.01921742202233142,0.00989816606487451
PCSK1N,-0.07473042295111852,0.044305106182414296,0.03613557879124961,-0.013388008901107104,-0.04088366421994112,0.045278185518789496,0.07083156293561362,-0.12723167513157904,0.023674632266992242,-0.08525531498462575,-0.016874061475127013,-0.007165572266336813,0.06160965662949863,-0.0030646463905148694,0.04118453649638757,0.11373359824680143
NTS,,,,,0.08960352827265843,-0.019202600781190387,,,,,-0.018388448396580624,-0.013930887387841432,,0.025760137127413783,0.08752813340901776,
SFRP1,0.028046254087703174,0.05590504128634442,-0.025670104146381816,-0.016857869227996463,0.01198350969251525,-0.013718241031256576,0.07594550571135793,0.08916666461431416,-0.06141648220750177,0.022996936730284457,0.05512887560715012,0.06414796393980327,-0.04681722483324671,0.024591271774764015,-0.04004725641489324,0.030644313530695685
CXCL13,,,,,,,,,,,-0.05088747335489179,-0.022708992898447144,,0.08294155946180677,,-0.004438612408585981
MICA,0.018300526805102368,-0.007321560933191405,-0.0018316643283173323,0.09340866515115319,-0.017472291787737137,0.03988230340081799,0.037280631791602334,-0.08466692435642209,-0.0038834971708335674,0.010118578559272227,-0.011108921383072089,0.06822412495085675,0.0063392997148916125,-0.010760354723899291,-0.0016227329491675091,0.032593613754674476
TG,0.01943574783525233,-0.019336360940109234,0.01611415007948838,-0.018192311760767264,-0.01612118643841637,-0.00992783136121562,-0.05655298517762682,-0.061234575873082196,-0.08992797359241214,-0.032979815564435355,-0.02480180056858361,0.013000245121475233,,0.004833306030045275,-0.03681861668281447,-0.03275431009219854
ADA,-0.002375801849084081,0.06164961480974697,-0.0020408939275771126,-0.012573160749101373,-0.0048973367118735345,-0.016123596527343634,0.0482018972405045,-0.02982953861956697,-0.04256406762371875,-0.092458951621056,0.014168642984092632,0.00018001598656595808,0.005424864919193754,-0.03886317225699429,0.014405353597926414,-0.020270232078213154
LAMC3,0.020126231107327874,0.06233129888519846,-0.012956518563072507,-0.016755596451520072,0.09961319581925526,-0.009304019821661425,0.013767048307331284,0.017064761250161962,0.01692537059482042,-0.041386332337706444,-0.01319715584067469,-0.03726919128417026,0.05981275219960373,-0.008874253501301825,0.038478925189819116,0.12671039656310681
CCL7,,,0.013238705399926025,-0.013153012336645087,,,,,,,0.03184719778095976,,,,0.02904495952387994,0.06244690050085437
NGF,,0.06908754222899205,0.043351187404801296,0.011310951751731494,-0.015383935838895068,,,,-0.047669508927386604,0.08888217536200975,-0.006231368559178974,-0.01402148655733889,,0.042518832395863966,0.03432551423969627,0.019347505480917678
TNFSF15,,-0.03167288036374903,,0.06280183842658195,0.022616527228354718,,-0.010179529615130446,,-0.020837836794244415,-0.007168192717071388,0.026791364420790057,,,0.01796299901450555,0.004789282232067514,0.04838988546753364
HMGB1,0.06301104602944434,0.09105251663053171,0.03698356736160549,-0.048996650631429446,0.027921220791905163,-0.017471262280653415,0.0940237578749731,0.15612384845297225,0.06502060641009562,-0.014795208802616517,0.21721656317804103,0.03729350799638118,-0.012796826189254077,0.08616213574569175,-0.0075034289129927625,0.04634793871752644
ITGB3BP,0.06540149202515635,-0.012829373250949655,0.06737734228234815,-0.02934609588253908,0.04778585600746645,-0.03469361915357497,0.0044567665049815314,0.05863418701070065,-0.05050128424194621,0.03902568246259121,0.06432551605310666,-0.0259768348357135,0.023989233253260165,0.011574615690441312,0.04135653447703521,0.011521386287263746
AANAT,,0.0346231463813821,-0.01782271472954228,-0.013326838984635925,,-0.01144397023471502,,0.031964094245628225,,-0.02109639316425068,-0.01108434113222975,0.0038264735207891505,0.06230372816605991,,0.10930070193410707,0.1334055501114727
RELN,0.03769948741430141,0.009990938921542625,-0.0632239763467079,0.028435372065754406,0.05551647704862895,-0.016644742506839054,,,0.015438671737014343,,,,-0.03900036646211566,-0.04041355046726488,,0.0593081063754631
IL15,-0.043404649143898216,-0.01815265011873179,-0.014443406159547494,-0.021747731425633375,-0.01329155393862381,-7.885759820266887e-06,-0.008932102984420681,-0.10150280695262717,0.05077548550045042,-0.03566214482679937,0.0031717062888369616,-0.016874997940653738,0.05095135114842935,0.10023225188154145,0.03953336859780323,0.06952639978750255
UTS2,,,,,,,-0.015625548853637296,-0.045888378964965344,,,0.03128479520553742,,,,,
BSG,-0.05486248261754583,-0.006940064200212777,-0.03256729156238125,-0.04481815442614011,0.0028101156806208476,-0.025550532940557875,0.1236049616502325,-0.07911826674034105,0.01509084089641946,0.03797381511744745,-0.06726890456801422,0.020432974649253605,0.11329648964126661,-0.0010844367807103636,0.02396852988070719,0.06248457653369903
ADAMTS3,-0.044435337307652104,0.08071840313765884,0.026515043825341533,0.06775264309549002,-0.021408848315929055,-0.056832706416836756,0.0761343408317573,0.06246705133744067,,-0.025260783112339816,0.008033611703218587,0.002973516046024814,0.06617565671944163,0.05162629459455427,0.09852615202920428,0.016232773876131215
