,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.019995967946445606,
BMP1,0.06744055528666004,0.09792437170817714,0.04842065575299429,0.0649520215768452,0.10774005843228938,-0.04010404402004559
NDP,0.024263633836342533,0.040255131970290854,-0.056869998915628495,-0.03788123048535779,-0.061910157450082014,-0.07146361070116822
TNFSF18,,,,,-0.021236103854549524,-0.004402265245218384
RTN4,-0.016042628308346785,-0.05216233570703105,0.06210731649975206,-0.063988484928171,0.00919074193893334,-0.04086193622679425
HEBP1,0.08220991300731349,0.07001159095390672,0.036810885635994245,0.0010614580347124145,0.024495549047480084,0.13089064613235868
WNT7B,,-0.01475973256202,0.016170623350576053,-0.023135554064260294,0.09122199607789915,-0.04385429293045003
PTMA,0.1262473277940904,-0.09128476567519446,-0.019044878569963248,-0.05934506705221586,0.02308304915069416,-0.011701890795944504
FASLG,,,,,0.12399029654693045,
CEACAM1,,-0.017058310646237515,-0.0144815559270544,-0.015355403709017543,-0.02412953628295479,
PDAP1,-0.05282613795113079,-0.059192792579945586,-0.05297828098318402,-0.09760513178353111,-0.01135853445714495,0.0677645733399999
QDPR,0.11573358051256451,0.028223648193810826,0.04296958083537566,-0.04454814190283153,0.021622013936843525,0.05837548956821898
POMC,0.043993814860606564,0.0011538854851980177,-0.03392511514070873,-0.025119423295647085,0.004718001654510055,-0.029751872613845043
CCL18,0.061733292123728266,0.055722627846099604,-0.03536300061063052,0.061518123080314235,,
CCL17,,0.16729972687884476,-0.020905035124586017,,-0.015719024883002905,
VEGFD,-0.021864772948659097,,0.04199688880633975,,,
TNFSF13,,-0.003924383941230709,-0.022723058460012997,0.06977766952305284,-0.009254685658026167,-0.03744056382566141
WNT5A,0.018645676383454154,0.10591526984183679,0.015232087088408498,0.03541423923315998,-0.009729232405117074,0.04027271466840142
CXCL8,0.08740799413496009,0.12922854243814091,0.11285703129756262,0.021686276262799647,0.001791231515245091,-0.046118891921614766
GRN,0.1062607961645466,0.07632690389253731,0.030937440401976022,0.12426786519110025,0.024117444095676302,0.0033382319378302424
MIA,,-0.05423168840418035,-0.06838919604680416,-0.021216765287083293,-0.025898704248547757,0.02025524499479412
COL4A4,,-0.031977027843204046,-0.023187235359552676,0.044112552256784225,-0.04616183459754782,-0.02923974544447493
TAC1,-0.011302441613245095,,,-0.026492445883735297,-0.020664256586433276,-0.02998526193819908
RARRES2,0.005702744775603731,0.12039586467324137,0.05948169718670943,0.01123834975156548,0.02349435395528201,0.04660547466770789
FGF7,0.013804868193610358,-0.036273051813656226,-0.03617974278534433,0.03325926984175528,-0.018187517672371527,-0.008797093947523154
EFNA2,,,-0.013763749758380253,,,
HBEGF,0.08681752511431433,0.12331974499141492,0.01961500362982042,0.07750903449421807,0.006708401675653856,-0.0037607208378320767
