,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.04776338609142857,,,,,,,,-0.0035411599961037016,,,
BMP1,-0.053521274520196845,-0.023175937993208728,0.08912929364327384,-0.0014964932387412347,0.013151574543054543,-0.03588405660091753,-0.06264317891507122,-0.21037839827927227,-0.026903493354659764,0.029848040329687263,-0.07896212682544394,-0.07945012602329027,-0.032400691039029136,0.010790101755548169,0.04955778303183592,-0.02559604564188955,-0.06323467811901383,-0.050926093190399334,-0.030454472103580606
NDP,0.021209586910465216,0.00737516523940354,-0.022247139292186448,-0.01047174658657889,-0.05455003574104649,0.04718036359018151,0.07258488525943851,-0.08578320809226193,0.006408674927221515,0.011671831487480449,-0.042270980844811706,0.06677539181721145,0.12331247092652359,0.005250132964156772,0.052635960674093124,0.00483226956084619,0.06046257716760463,-0.000504434368307562,0.035322321299553504
TNFSF18,0.029488618426665798,-0.021274474419713772,0.02316409013720634,-0.036743648854400644,,,-0.06037916823197969,-0.029667530092145348,0.0074307862405556275,,,,-0.027738325336614196,,,-0.014879096660635603,,-0.062346066898624666,
IL36G,,,,,,,,,,,,0.08713049482802222,,,,,,,
RTN4,0.04184501111125118,0.1384384364555032,0.02394327429171869,0.04542905417861799,0.019137779040519914,0.06951294213250679,0.2078872344774364,0.267687837378836,0.12186013320651053,0.06477812802954874,0.26316522878437326,0.14267274153439521,0.06542010896845157,0.019361801489755314,0.023986185192128397,0.06087370758342524,0.007716904152247678,0.15221458688626754,0.06806289623387993
HEBP1,0.017102587569425922,-0.0466501399673098,0.005726069112902773,-0.011725935846615326,0.027990930573428885,0.000670698767072548,-0.019482667228539932,-0.09346006319861579,0.006472664765684484,-0.018658518539391884,-0.06147024170693532,-0.004121184258104186,-0.026828493597740952,-0.03571184642625692,0.0721721934189562,0.06642411134818724,-0.00605720866862159,0.08052753617130441,0.07107485203683293
WNT7B,-0.01698506487420097,0.14986730073845342,-0.07710433761471705,-0.02282401566093013,0.02064791364642708,0.1332709094345213,0.06426169161152719,0.16146184516281203,-0.04351897065341344,0.009323866036076668,,-0.01391350326713118,-0.030537188784998823,-0.034897163885269415,0.07914242886961906,0.03642370535602942,-0.022338910833978803,0.09552049655141313,-0.021941221576715818
PTMA,0.13740847651349392,0.06653082503631409,0.015112468053633886,-0.008315959696624062,-0.05606793966867844,-0.04366531135435559,-0.1639783753401338,0.10469809667705943,0.06035058026691792,-0.029010727658217144,-0.3077775107321216,-0.09626288815490182,0.057494003313055576,0.0023253802366260848,-0.050091748107989706,0.1301555550074403,-0.07116484105724036,-0.11703690386576321,-0.06756555798626893
FASLG,-0.0169850696758353,,,,,,,,,,,,,,,,,,
CEACAM1,0.07305493459529744,,0.014926542583576927,-0.017516059247659848,0.0029339882739269083,-0.04738649589567888,,-0.07602913582298663,-0.0037333432901780995,,,,,-0.03129633553233582,-0.015175142431838467,0.0065414930626340115,-0.014826660010939217,,
PDAP1,-0.010703643781580436,-0.10423593117917318,0.029088660287430762,-0.0016269394326053651,-0.014090855942785613,-0.024615741838787054,-0.07616834455026215,-0.16416221013139717,-0.042028319135990394,-0.003742752476835742,0.08921410780255903,-0.04736860391840718,0.004196836895068605,-0.07837886652893868,-0.05079553525913833,-0.0539957182138789,0.05366421896200195,-0.08546302459413592,0.027404231753842646
QDPR,0.01410670298782427,0.07522377101188636,-0.07075783571943468,0.007101133703377257,0.0481831260512346,0.12770048029783934,0.07383343321988617,0.09288673734232598,0.13151367362570027,0.045515338294142206,-0.24884624205372416,0.07921490076101774,0.010033933153198707,0.034514521064112236,0.0328072192556377,0.08106557740164337,-0.03758410454167295,0.16238467155553923,-0.06151300121362384
POMC,-0.044609665828669924,0.047455751845425886,0.0448637899204215,-0.02093432529334824,0.048188096011447065,-0.0026183429948973677,0.04494224761680309,0.06176950684429629,0.04253736787250426,0.04052878862940307,0.0495548496038615,-0.0029213076294489723,-0.03252196531078342,0.06268993700676742,0.06031845955539207,0.09627119405733016,-0.02425446806434076,0.08989843127055906,0.05073213786671977
CCL18,,-0.02853081947404095,-0.033703168322637776,,,,,,,,-0.11735465639958308,,,-0.02218961645354213,0.02013767826746983,,-0.027394316147128783,,
CCL17,,,,,0.08050943115780863,,,,0.028335509171189203,0.014552226908429536,,-0.015500925220178076,,,0.05421074406098227,0.012885824892174193,,,
VEGFD,,-0.03214589442369614,0.0482688485512113,0.028811800644194162,0.05752532710991754,-0.010064466418983039,,-0.055266778701155206,0.045849029412317374,-0.011517631003114523,0.06999347754243164,0.03574342861518377,,,-0.015175142431838467,-0.027055599900490442,,,
TNFSF13,,,0.061359790090252116,,0.022858086488012658,,0.08718597684823415,,,,,,,,-0.02381136739412697,0.005344668057462764,-0.016649345471941492,0.06033438815043908,
WNT5A,-0.008977817787102426,-0.04579716974685214,0.007200519702635052,-0.010959909991258107,0.02080072246120865,0.05795581532890591,-0.12210219966294977,-0.20371138906183822,0.0010236791947300687,0.018175013233903737,0.020190808542614343,-0.055263600597965985,0.06299511523143698,0.01171531154703868,-0.025100491368102096,0.038255818379969164,-0.022805838336486316,-0.09186319274731865,0.009327542293125738
CXCL8,,-0.0283910242368714,-0.038968762100474445,0.004948823100009812,-0.019090323088697653,-0.10746604827918506,-0.05907397161817037,-0.061002698924012895,0.009418304149410852,0.0005861050968779471,-0.08799552267298506,-0.048926808825584624,,-0.03906831337141936,-0.06494634440756093,-0.06775763917480679,-0.006588383850222966,-0.10766151008619358,0.00044420535857218175
GRN,-0.04210289416427188,0.008606622810043757,0.0689750751595982,-0.0012346917720586408,0.0200245661070331,-0.05590252550644272,-0.12532900964425076,-0.21207299511372996,-0.0346450465329928,-0.02547429339043742,-0.21078300510863804,0.011321741737329362,-0.06908450789611398,0.022733464879604717,0.012241507216525314,-0.013292499393566418,0.014972894335827248,-0.03664530220539948,-0.052361103717234896
MIA,-0.02223199120683366,-0.060737617488539494,-0.016545087793680642,0.007018835112144335,0.03191704523064709,-0.007589605416130899,-0.019252671088345753,-0.10226201981785563,-0.011866599693720644,-0.017718130750947973,,0.03643297229323821,0.025750102734149793,0.025749060769403694,0.05154571481568926,0.025074085052457534,-0.04577222198359227,-0.05199814573939815,
COL4A4,-0.019670780304333193,-0.03236045286992585,0.07001633990378606,-0.018529257667386546,-0.03784556127392455,0.017212869736506892,-0.029668136841076494,0.009379668364528346,0.00996520597978288,0.003072375816127812,,0.051859239253365115,,0.0243576363221445,-0.0242977758021437,-0.00894926868871267,0.021734229923832095,-0.0625068900471094,
TAC1,-0.016985060434957754,0.14476907186134313,0.034413680694723156,0.0869537208284988,0.10600225964482032,0.09234897383509368,0.17937670427542746,0.2610665429618036,0.14364244497212778,0.05135444661457767,0.22354396292287276,0.07993317534800372,,,,,0.1126289604739785,0.09338760008769387,0.11380522425216276
RARRES2,-0.013384540964652478,0.015441175178515705,-0.10020378589377724,-0.013724706174135525,0.008286052099031702,-0.09441490407591958,-0.1157402972170336,-0.18729900127329807,0.1312968453665084,0.03360925095708388,-0.06674147395000114,-0.03840886719257209,0.05573750345781487,-0.04711248117670787,0.015832638502291302,-0.047915790232534734,-0.012208015545170382,-0.04795704405722446,-0.057091868804380004
FGF7,0.06364537516567788,-0.009680387764649063,,0.0662079028003068,0.0009581330847270749,0.03725636506314823,0.02048148024529828,0.008802692920886443,0.01853060581439816,-0.02017915393573618,0.01639135796006873,-0.011561125690102154,0.014289834641573703,0.023835896829321468,-0.004303946740197083,-0.0246240920442637,-0.007959859131356706,0.04766531750188499,0.007929236401621482
EFNA2,,,,,,,,,,,,,,,-0.01442295731423432,,,,
HBEGF,0.03687707653961396,0.05308261208050166,0.09127474002379576,-0.009940262442003599,-0.01624997250425459,-0.05587631812499701,-0.03366306355817388,-0.05374522931502633,-0.09010425704419274,0.015945394110885268,-0.1329622013715898,0.014999120999938676,0.0463168075938831,0.03329772527079935,-0.016810196994756436,0.0018773223209539868,-0.07557164054059166,-0.06751723305885567,0.0011030339297466393
CSF3,,-0.032360427250058645,,,-0.016059895647017826,0.004130273364857595,,0.019037814515253056,,,,,,,-0.019642273845228393,,-0.02125604242765842,-0.02641155346978948,
PI3,,-0.03833575169642668,-0.02991399755914879,,-0.01882398164099028,-0.04806306355992422,,-0.033301023825601794,,,,,,,-0.05252124705882914,-0.04027926418330507,-0.06011325437079769,-0.07079510070277521,
PCSK1N,-0.08191733569829483,0.15125641166806247,0.03283195460723003,-7.83322233228699e-05,0.018113903316663946,0.043329043803143175,0.07216809392531794,0.12694597788575768,-0.06404098634879936,0.050159834303795774,0.2856032687699123,0.15519669394864347,0.018047448158230076,0.03482995754275216,0.014249712310454233,0.009249644364548691,0.04189974208979992,0.1078821242187623,0.0034760394928615335
NTS,,,,,,-0.07509965743442212,0.016081178098025947,-0.021887118079071406,-0.01423477721463668,0.01658185868305134,-0.024384165305402505,,,,-0.017571636537632846,,0.0679865397268429,,
SFRP1,0.012468571537345593,0.048766520414817056,-0.023195313969008504,-0.041881538195107426,0.010350194297061271,0.023023026615447945,-0.01866670755796874,-0.026408227274247634,0.029646317900273143,0.03320384610140034,-0.06179882684613367,-0.010420751753343055,-0.006624506081611154,-0.040895497971857576,-0.007139644553858128,0.05940648465087733,0.0019043568942434836,0.051061482770729145,0.06430553009559299
CXCL13,,,,0.012631441254433167,,0.044392481846425136,,,,,,,,,-0.025001586891031633,,0.02361094820213174,-0.014254312525857637,
MICA,0.0017366941768755858,0.026009222321281836,0.04180741946303485,0.027059171383867455,-0.011616161855996678,0.008376921842305374,0.019544795693680304,-0.06272212066149285,0.010775931671938143,0.010492602201548113,-0.017668947335356275,-0.07548854815987215,-0.03202269136433747,0.08913185893561422,0.05241435463723945,0.03277581724560734,0.008276311627055034,-0.04271261840696444,0.051839931361200665
TG,-0.01967077587144711,0.06238608519133759,-0.022630028959206867,-0.02381831136579022,0.006279418089690235,-0.029177655973530826,-0.009455562363646522,-0.04590351778206617,-0.0037858805856678317,-0.020753921027388766,,-0.033977423883323074,-0.03554795913742786,0.1471022098482779,-0.021641391264601656,,-0.01749404955065673,0.05382349214270638,
ADA,-0.016996436956276912,-0.038148699235978765,0.012484079799363234,0.03879176205644153,-0.04020865779428684,0.03484631446469639,0.012342033654230618,-0.16939202299597134,-0.0642612685644671,0.012740379044863371,-0.09180955883335142,0.008336424134951677,0.04875846836023618,0.017782932960812216,0.044335653261990196,0.08511472076290523,-0.013417865185227865,-0.02331054353305273,0.052771015292854336
LAMC3,0.02596077537652849,-0.02200619142709302,0.07835447167735331,0.03500866773849223,-0.02814888306744793,0.02079030738465212,-0.02391568217142807,-0.15542891936973705,-0.06672799539514428,-0.001042893859792896,-0.006294987161780479,0.1421651275410331,-0.03253890476778314,-0.057720506250287726,0.0029744179458550016,-0.00048425811289864036,-0.04438573471020531,0.03747275625471304,0.0043302495705771615
CCL7,,,-0.030581450847487424,,-0.015262644436471726,-0.06239546439532761,,,,,,,,,,,,-0.08682094457440513,
NGF,,-0.01864376203239454,0.056101469297640816,,-0.007721014956849645,0.00972915864201883,-0.04284486206369159,,,,0.0706201230882991,,,-0.032975170994927416,-0.014229088502957014,,0.005989432321394284,-0.007538869791777929,
TNFSF15,,-0.023064660439080276,,,0.00020737771097277243,0.005944381676672227,-0.005771884226380894,,,,,,-0.03276621961744918,-0.03330213470398913,,,-0.013199637426353389,-0.03417970012102562,
HMGB1,0.002913380443932635,0.14049069422385255,-0.005133187800351037,0.01719313584871829,0.03554460514143792,0.0824595336064852,-0.07307087414683602,-0.20234985295330374,0.04806719162762111,0.021421925261943003,-0.17252954515906033,0.10184480683435893,0.022940019454430936,0.01352736731500377,-0.012563124865571304,0.013995530652065664,-0.050304928113408066,0.029329925868217845,-0.06647416902979486
ITGB3BP,0.018402293532186025,-0.07249036612687904,-0.04122935829651035,-0.005457728309576401,-0.04323919371316402,0.0054362614702440585,-0.05563902087606603,-0.18280542433598918,-0.04730596089691414,-0.037454118514717014,0.02034124119800952,-0.0874787407518655,-0.008001157165231509,-0.013785290434926996,-0.03208121907163118,0.00011070997053591747,-0.011311133581883962,-0.06121470318705688,0.12132721894367264
AANAT,,0.03784754537447485,0.05933412789301425,,-0.015464351410810701,-0.0017695137267314768,,-0.025623493556861873,-0.03310910223924073,-0.026806841895453463,0.07088760957652572,0.017791602756062803,,0.09533023822420439,-0.019409394149937687,0.014177865909442445,,-0.013358789368052506,
RELN,-0.01630759471203579,0.17002879336115562,0.008796720434252801,0.014970373416626074,-0.01571976286210166,-0.0016690582557281248,0.06883400188979447,0.07312810998900765,0.017337881112817557,0.005406042934410964,0.07516445221705284,-0.01590128562180523,,,,-0.03116829053124934,-0.01594373153559871,0.07666798511219251,0.020562927633003374
IL15,-0.03392433192675349,0.0993627522917859,0.014313278532154075,-0.03034416428109515,-0.02465565110531746,-0.03651074446393603,0.02306711697953807,-0.08203840682189192,-0.007217640903512361,-0.04075983230840711,-0.006966223129770175,-0.025407663505292007,-0.028883513257537942,-0.03906841547992381,0.06913843216243747,0.028690400171342664,-0.03219797814723113,-0.07710999063462105,
UTS2,,,,,,,,-0.10193401538676046,,,,,0.02582787040462948,,,,,,
BSG,-0.04634668172096064,-0.05899327785057307,0.01021668557224526,-0.034603997928278986,0.025385587824608737,0.0316642027423948,0.01152372689524748,0.10163001885968034,-0.10010344023051558,0.048900602264990094,0.19560203890544875,-0.09505960608034855,0.026560641358776702,0.055214811052994583,0.02766995609427721,-0.08043119571913547,-0.06125055983835885,-0.07318783948294455,0.07731531294806644
ADAMTS3,-0.0050732130476518296,-0.03722575006286539,0.03710054573162869,0.042570086608322406,-0.018537000820368153,-0.01466053689516427,0.006180204280861209,-0.17133942249445405,-0.006161282189194318,-0.03876439562458574,0.042784375842701686,-0.05907871956925914,0.085050638719935,0.0712351855249433,-0.02065203101399999,0.0054112297882493166,0.05675483957410617,-0.04692023027831834,
CD34,-0.020865969855471053,0.04188358682544664,0.08838357330855337,-0.03002509279400766,-0.0236250202885992,0.028796026304477976,-0.015890657942387365,-0.14676700758637595,0.04053235464227355,0.025590951159396438,-0.009431870448875928,0.10710700634769248,-0.05089670454642809,-0.013949465398798797,0.08003860920367305,-0.04940867276363318,-0.04135870784784992,0.01768633058385072,0.012885639435486944
CCL23,,,,,,,,-0.0511090769094055,,,,,0.06624660251251382,,,,,,
PLAT,-0.04771299554041345,-0.049008455583347134,0.06250304644861071,0.023908444560487446,-0.014821418124389186,0.01741063479011218,-0.16070396657893404,-0.20558115552185163,-0.1837831547720346,0.051303116660575014,0.061047261669460326,0.033561791840635034,0.0015551742888545448,0.09684674403590371,0.03711481264687486,-0.046583981942372406,-0.12620617332850018,-0.05161805329401565,0.004980429223363264
